MANDT,EBELN,BUKRS,BSTYP,BSART,BSAKZ,LOEKZ,STATU,AEDAT,ERNAM,PINCR,LPONR,LIFNR,SPRAS,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,EKORG,EKGRP,WAERS,WKURS,KUFIX,BEDAT,KDATB,KDATE,BWBDT,ANGDT,BNDDT,GWLDT,AUSNR,ANGNR,IHREZ,KTWRT
200,4589440184,C003,K,NB,"",X,B,20251218,USER38,00085,00058,V890810,F,PT38,5,34,75,1.647,2.721,P001,001,EUR,35.20724,X,20251218,20251118,20261218,20251228,20260107,20260117,20261218,1886228697,5618863524,REF7360,248467.41
100,4540759190,C001,K,UB,"","",C,20250110,USER78,00059,00054,V444267,E,PT20,15,32,76,2.914,1.398,P001,001,EUR,82.80823,X,20250110,20241211,20260110,20250120,20250130,20250209,20260110,7290117190,8822058286,REF8648,253349.55
200,4565125882,C003,F,UB,X,X,A,20231027,USER7,00082,00064,V392386,D,PT43,27,35,61,4.013,1.627,P002,002,INR,18.91225,"",20231027,20230927,20241026,20231106,20231116,20231126,20241026,4707449450,3463516399,REF9697,49564.04
200,4563789945,C002,F,ZNB,"","",C,20240605,USER12,00014,00015,V804580,F,PT42,27,49,66,4.924,2.165,P003,001,USD,62.91758,X,20240605,20240506,20250605,20240615,20240625,20240705,20250605,2371113309,6151089610,REF9533,294500.48
200,4593025146,C003,K,NB,"",X,C,20250528,USER6,00099,00035,V154103,F,PT21,13,32,61,2.649,1.902,P002,003,EUR,2.788,X,20250528,20250428,20260528,20250607,20250617,20250627,20260528,4672837434,5563978213,REF1309,108782.16
200,4517394167,C004,K,UB,X,X,A,20241107,USER42,00019,00067,V967239,F,PT54,9,59,64,4.74,1.123,P001,004,INR,72.50549,"",20241107,20241008,20251107,20241117,20241127,20241207,20251107,1426184384,4394396419,REF3392,433103.53
100,4523725379,C002,K,NB,X,X,C,20240808,USER24,00073,00050,V274783,F,PT34,20,50,72,2.344,2.368,P002,001,EUR,12.6411,X,20240808,20240709,20250808,20240818,20240828,20240907,20250808,7394167784,2653552734,REF7917,163413.62
300,4540934277,C004,F,FO,"","",C,20240915,USER80,00086,00081,V125577,E,PT25,23,45,90,4.729,1.809,P001,001,INR,25.50799,"",20240915,20240816,20250915,20240925,20241005,20241015,20250915,3016867002,1670456970,REF5866,30292.75
200,4598198299,C003,F,ZNB,X,"",A,20241114,USER13,00027,00087,V635978,F,PT10,22,30,85,3.31,1.296,P003,003,EUR,64.65217,"",20241114,20241015,20251114,20241124,20241204,20241214,20251114,9336970048,4489431874,REF9832,215282.47
300,4507290294,C001,F,ZNB,"",X,C,20240626,USER89,00061,00079,V382327,F,PT11,2,32,68,2.596,0.253,P001,002,EUR,57.5449,X,20240626,20240527,20250626,20240706,20240716,20240726,20250626,5698268034,5843234107,REF3168,240652.21
200,4577416529,C003,F,UB,"","",A,20230801,USER46,00058,00024,V125795,E,PT27,25,55,72,1.813,1.762,P002,003,USD,56.21308,"",20230801,20230702,20240731,20230811,20230821,20230831,20240731,7581733800,3897421872,REF3093,382783.79
300,4558949684,C001,F,UB,"",X,A,20240828,USER36,00020,00044,V573998,E,PT59,6,31,71,4.241,1.755,P003,002,INR,35.73163,X,20240828,20240729,20250828,20240907,20240917,20240927,20250828,3144715925,5373145380,REF7102,492493.08
200,4587360770,C002,F,NB,X,"",B,20231126,USER30,00064,00029,V461651,F,PT35,6,52,87,3.008,2.101,P001,001,INR,7.98433,X,20231126,20231027,20241125,20231206,20231216,20231226,20241125,8832448364,5758974608,REF8588,298023.44
200,4597788066,C002,F,NB,X,"",B,20250715,USER91,00024,00031,V203079,F,PT55,22,38,71,2.97,2.38,P003,004,USD,38.94866,"",20250715,20250615,20260715,20250725,20250804,20250814,20260715,3164559184,7201342726,REF6894,69359.1
100,4595694270,C002,K,FO,X,X,B,20250211,USER66,00012,00042,V529010,D,PT53,3,33,61,1.155,0.358,P002,001,USD,29.72951,X,20250211,20250112,20260211,20250221,20250303,20250313,20260211,6836320050,8708411879,REF7804,161313.45
100,4508597738,C004,K,NB,"",X,C,20250318,USER42,00016,00030,V602645,F,PT16,25,53,75,0.44,0.807,P001,004,EUR,0.68992,X,20250318,20250216,20260318,20250328,20250407,20250417,20260318,9410305161,9392223181,REF5131,344059.83
300,4589851476,C004,F,UB,"",X,A,20251211,USER18,00081,00069,V696082,D,PT57,4,38,64,2.142,1.168,P002,001,USD,18.89639,X,20251211,20251111,20261211,20251221,20251231,20260110,20261211,6978458668,2393423788,REF2779,263709.4
100,4510009089,C004,K,FO,X,"",A,20230606,USER88,00091,00083,V580243,F,PT27,0,31,83,1.582,2.315,P003,003,USD,83.2741,X,20230606,20230507,20240605,20230616,20230626,20230706,20240605,8240997949,9064424883,REF5393,37288.44
300,4534807066,C002,F,ZNB,X,X,C,20240913,USER89,00010,00065,V318372,E,PT27,9,31,69,0.958,1.134,P002,001,INR,65.47235,X,20240913,20240814,20250913,20240923,20241003,20241013,20250913,8654124554,2734307102,REF4272,447185.01
100,4506820126,C004,K,UB,"","",A,20240725,USER71,00041,00069,V704077,F,PT60,6,47,74,0.802,2.876,P002,001,INR,2.64529,"",20240725,20240625,20250725,20240804,20240814,20240824,20250725,2213291979,4874713906,REF9907,50684.23
100,4569179582,C003,F,ZNB,"",X,B,20250926,USER60,00048,00052,V885002,E,PT45,11,38,81,1.432,1.572,P002,002,USD,64.4631,"",20250926,20250827,20260926,20251006,20251016,20251026,20260926,2845416847,7211514078,REF8371,210763.31
200,4563207532,C003,K,UB,X,X,C,20250424,USER54,00044,00028,V919415,F,PT42,26,50,86,1.444,2.524,P003,003,USD,63.25617,"",20250424,20250325,20260424,20250504,20250514,20250524,20260424,6425937479,9033531611,REF4831,41653.31
200,4570242584,C001,F,ZNB,"",X,B,20250705,USER95,00026,00020,V912115,F,PT52,16,54,78,1.018,2.824,P003,001,INR,38.64443,X,20250705,20250605,20260705,20250715,20250725,20250804,20260705,7256099018,5378791346,REF1968,37345.95
200,4594307660,C004,K,NB,X,"",A,20230912,USER20,00026,00065,V492930,E,PT60,19,58,73,2.972,2.287,P001,004,EUR,16.63576,X,20230912,20230813,20240911,20230922,20231002,20231012,20240911,7518795305,5010731696,REF5381,161715.02
200,4561064405,C002,K,NB,"",X,A,20241119,USER79,00065,00036,V533881,E,PT53,1,40,82,4.779,1.525,P001,002,EUR,82.50273,"",20241119,20241020,20251119,20241129,20241209,20241219,20251119,3931083493,6423573744,REF9795,290840.04
300,4553935913,C003,F,NB,"","",C,20240822,USER75,00089,00029,V638424,D,PT12,15,30,70,0.839,0.837,P001,004,USD,19.476,X,20240822,20240723,20250822,20240901,20240911,20240921,20250822,1314612589,3015406469,REF4481,421398.05
300,4585311761,C002,F,ZNB,X,"",A,20230523,USER92,00094,00020,V791013,F,PT21,24,43,73,3.677,0.437,P002,002,EUR,30.3161,X,20230523,20230423,20240522,20230602,20230612,20230622,20240522,9839485867,3264189481,REF2450,18012.17
100,4518657662,C001,K,UB,"",X,C,20230916,USER20,00036,00077,V536165,E,PT45,4,34,79,2.563,0.094,P002,004,EUR,11.27736,"",20230916,20230817,20240915,20230926,20231006,20231016,20240915,1254638772,5522677763,REF3584,423606.96
300,4554695766,C002,F,ZNB,"",X,A,20250928,USER22,00041,00012,V205537,F,PT30,23,33,90,3.657,2.101,P002,001,INR,70.62111,X,20250928,20250829,20260928,20251008,20251018,20251028,20260928,7615554925,3757075123,REF3960,86840.84
300,4503642422,C002,K,NB,"","",C,20250131,USER21,00062,00078,V743830,F,PT42,12,45,69,0.385,2.12,P002,003,EUR,30.91866,"",20250131,20250101,20260131,20250210,20250220,20250302,20260131,2587901374,7402881330,REF1977,399781.63
200,4575222069,C003,F,NB,X,"",C,20240212,USER13,00086,00079,V776041,D,PT11,12,60,61,3.636,1.362,P003,004,USD,57.29255,"",20240212,20240113,20250211,20240222,20240303,20240313,20250211,1082964365,5312428778,REF4011,53790.76
300,4585682789,C002,K,ZNB,"",X,C,20250511,USER83,00089,00076,V262832,D,PT59,7,50,85,0.7,1.581,P002,001,EUR,53.42469,X,20250511,20250411,20260511,20250521,20250531,20250610,20260511,5394469507,8766257234,REF9104,158265.92
300,4599969086,C001,K,NB,X,"",B,20231019,USER33,00083,00091,V793543,D,PT56,16,44,90,4.426,0.476,P001,001,INR,15.83489,"",20231019,20230919,20241018,20231029,20231108,20231118,20241018,7863605310,4607537835,REF1989,192235.42
100,4521993909,C001,F,UB,X,X,B,20251206,USER52,00033,00064,V192485,E,PT25,13,40,82,1.945,2.67,P002,004,USD,29.04128,"",20251206,20251106,20261206,20251216,20251226,20260105,20261206,2821504442,2106332422,REF9969,291328.29
300,4503034379,C003,K,ZNB,X,"",A,20250301,USER12,00025,00068,V439364,D,PT45,7,58,70,0.675,2.01,P003,003,EUR,44.78996,"",20250301,20250130,20260301,20250311,20250321,20250331,20260301,3294560729,9336753557,REF9036,249732.52
100,4550867118,C001,K,ZNB,X,X,A,20251231,USER26,00012,00088,V922204,F,PT11,13,45,74,1.896,1.263,P002,004,EUR,74.63606,X,20251231,20251201,20261231,20260110,20260120,20260130,20261231,7307782218,3341890024,REF4632,215200.95
100,4543137250,C004,K,ZNB,X,X,B,20240122,USER39,00084,00031,V434124,E,PT42,4,35,61,1.12,1.589,P003,003,USD,10.21053,"",20240122,20231223,20250121,20240201,20240211,20240221,20250121,2886436556,3915589327,REF2461,145699.44
100,4575265657,C004,K,ZNB,X,X,B,20231204,USER59,00099,00043,V327556,D,PT29,25,55,74,3.537,0.134,P002,004,USD,37.35305,X,20231204,20231104,20241203,20231214,20231224,20240103,20241203,1011490402,8021675201,REF4420,10324.53
300,4584492996,C001,K,FO,X,"",C,20240714,USER1,00065,00098,V229850,D,PT43,11,38,63,0.67,0.119,P001,003,INR,7.3913,X,20240714,20240614,20250714,20240724,20240803,20240813,20250714,5686400076,6516566759,REF2198,390080.86
200,4574258238,C001,K,NB,"",X,A,20230912,USER73,00094,00011,V504060,D,PT44,14,47,60,0.448,1.31,P003,002,USD,6.69346,"",20230912,20230813,20240911,20230922,20231002,20231012,20240911,8446124141,9497114864,REF2919,45219.36
100,4518860305,C002,K,UB,"",X,C,20250918,USER5,00027,00046,V217738,F,PT57,24,56,71,4.428,2.107,P003,001,EUR,28.1021,"",20250918,20250819,20260918,20250928,20251008,20251018,20260918,3862851986,1890306266,REF4789,307499.56
100,4597175591,C003,K,FO,X,"",C,20250807,USER26,00065,00049,V847441,D,PT15,28,52,90,0.321,1.282,P001,002,INR,15.41128,"",20250807,20250708,20260807,20250817,20250827,20250906,20260807,9353460864,6997906350,REF1404,121514.33
200,4532046121,C002,F,NB,X,"",C,20250501,USER39,00074,00081,V289754,F,PT52,5,30,63,2.911,2.269,P001,003,EUR,40.41212,"",20250501,20250401,20260501,20250511,20250521,20250531,20260501,4654433777,8630443019,REF2198,182088.39
100,4551588643,C003,F,FO,X,"",B,20250322,USER13,00057,00030,V371360,D,PT23,17,56,63,0.553,2.339,P002,004,INR,47.41608,X,20250322,20250220,20260322,20250401,20250411,20250421,20260322,8959576434,1672501905,REF5206,387865.94
200,4502473153,C002,F,ZNB,"","",B,20241214,USER64,00036,00083,V885108,E,PT53,2,44,67,3.139,2.914,P003,004,INR,33.82437,"",20241214,20241114,20251214,20241224,20250103,20250113,20251214,6576948041,3558542739,REF3380,332490.49
200,4512689685,C004,F,UB,X,X,C,20230522,USER85,00087,00021,V796117,E,PT44,10,53,85,2.078,1.755,P001,003,USD,19.91699,X,20230522,20230422,20240521,20230601,20230611,20230621,20240521,8709464940,7972017436,REF9731,420252.49
300,4552815050,C003,K,NB,X,X,A,20231109,USER86,00042,00034,V541857,D,PT41,27,38,78,0.018,1.064,P002,001,INR,37.01378,"",20231109,20231010,20241108,20231119,20231129,20231209,20241108,8488406804,8190062957,REF1550,346498.41
300,4524539762,C001,K,ZNB,"",X,A,20230811,USER80,00090,00049,V802600,F,PT18,12,42,61,4.293,1.769,P003,002,USD,81.36391,X,20230811,20230712,20240810,20230821,20230831,20230910,20240810,4298540505,8202970922,REF1570,398441.23
100,4595355749,C004,F,NB,"",X,C,20240926,USER74,00065,00045,V122503,D,PT27,17,38,79,2.337,2.432,P003,001,EUR,41.97488,"",20240926,20240827,20250926,20241006,20241016,20241026,20250926,2974082132,5648376324,REF8298,127471.92
100,4558703151,C003,F,NB,X,X,A,20240121,USER59,00095,00042,V598264,D,PT21,9,41,90,1.361,0.678,P002,001,EUR,72.096,X,20240121,20231222,20250120,20240131,20240210,20240220,20250120,2345368166,1866875230,REF1338,317923.05
100,4599112552,C003,F,UB,"",X,A,20240104,USER83,00019,00026,V329113,E,PT35,27,50,88,1.066,0.367,P002,001,USD,3.98314,X,20240104,20231205,20250103,20240114,20240124,20240203,20250103,9427507088,6622728580,REF2335,324428.65
300,4565642686,C003,K,NB,X,"",B,20240523,USER84,00098,00067,V382550,F,PT47,24,58,89,4.685,0.99,P003,004,USD,34.85766,X,20240523,20240423,20250523,20240602,20240612,20240622,20250523,8390571992,1035321418,REF4636,495917.09
200,4513045912,C004,K,NB,"","",C,20251113,USER33,00022,00015,V911304,F,PT43,27,44,75,0.154,2.705,P001,001,EUR,42.31085,X,20251113,20251014,20261113,20251123,20251203,20251213,20261113,1184180908,2990730527,REF5728,123648.51
300,4560349762,C004,K,ZNB,"","",A,20241025,USER26,00039,00074,V596410,F,PT36,17,42,73,4.253,2.391,P002,002,INR,54.09687,"",20241025,20240925,20251025,20241104,20241114,20241124,20251025,5369839124,5981376087,REF2917,174748.3
100,4537367165,C001,K,ZNB,X,X,C,20251016,USER33,00039,00035,V596792,F,PT42,9,44,89,4.094,0.431,P001,001,EUR,62.40303,"",20251016,20250916,20261016,20251026,20251105,20251115,20261016,5316341273,6728672064,REF3171,311788.86
100,4515226905,C002,F,FO,"",X,C,20231129,USER75,00041,00047,V129587,D,PT15,11,50,76,3.171,1.201,P001,001,INR,50.79864,"",20231129,20231030,20241128,20231209,20231219,20231229,20241128,5709137809,3037716263,REF1406,224614.19
100,4594274130,C002,K,FO,"",X,B,20250122,USER2,00064,00090,V540353,E,PT48,4,49,71,3.849,0.149,P003,003,USD,75.32895,X,20250122,20241223,20260122,20250201,20250211,20250221,20260122,1050570899,5816688801,REF1159,279653.34
200,4595085647,C004,K,ZNB,X,X,B,20230813,USER3,00029,00096,V945738,D,PT12,21,50,88,2.587,1.723,P002,004,INR,15.84699,X,20230813,20230714,20240812,20230823,20230902,20230912,20240812,2910449993,3504280525,REF5158,319786.68
100,4503250837,C002,K,NB,"","",B,20240728,USER43,00097,00092,V946919,D,PT35,1,31,73,1.88,2.936,P002,002,INR,33.58133,X,20240728,20240628,20250728,20240807,20240817,20240827,20250728,8868405831,2575331953,REF8291,425401.54
300,4544595054,C004,K,ZNB,"","",A,20241026,USER87,00019,00032,V640965,D,PT36,22,33,80,1.303,2.329,P002,001,EUR,78.22332,X,20241026,20240926,20251026,20241105,20241115,20241125,20251026,8329604087,1002790304,REF1405,367322.54
200,4581175111,C002,K,NB,"","",B,20230823,USER6,00041,00030,V527933,E,PT29,18,48,65,0.541,0.964,P001,002,INR,1.04006,"",20230823,20230724,20240822,20230902,20230912,20230922,20240822,2371532294,7659222390,REF6422,38837.65
300,4509406781,C001,K,NB,X,X,A,20240827,USER19,00043,00058,V586258,F,PT58,19,40,84,2.749,1.125,P002,003,INR,72.97754,X,20240827,20240728,20250827,20240906,20240916,20240926,20250827,6224076420,4231527656,REF7651,100082.51
200,4565867871,C003,K,FO,"","",C,20231218,USER56,00045,00024,V655575,E,PT26,3,33,66,3.454,1.746,P001,004,INR,31.02106,"",20231218,20231118,20241217,20231228,20240107,20240117,20241217,9995695995,2964843289,REF7041,238011.86
100,4517522155,C002,F,UB,X,X,A,20230702,USER40,00026,00045,V690275,E,PT33,29,38,60,1.736,2.75,P002,002,EUR,43.55555,X,20230702,20230602,20240701,20230712,20230722,20230801,20240701,3824943988,6008708951,REF6982,127138.3
300,4546440526,C004,K,FO,X,X,B,20250511,USER30,00087,00016,V996807,D,PT57,6,45,68,1.361,0.717,P002,002,EUR,68.37296,X,20250511,20250411,20260511,20250521,20250531,20250610,20260511,1002995557,2048902685,REF6117,307643.0
200,4598588075,C003,K,ZNB,"","",B,20250304,USER11,00065,00050,V388716,F,PT35,11,40,71,2.563,0.993,P003,003,EUR,78.1342,"",20250304,20250202,20260304,20250314,20250324,20250403,20260304,3745325177,2671078334,REF8547,277876.21
300,4593368721,C003,F,FO,"","",B,20250531,USER56,00088,00046,V579882,F,PT60,6,37,84,1.384,2.443,P001,001,INR,10.38518,"",20250531,20250501,20260531,20250610,20250620,20250630,20260531,3675929859,1559413479,REF8511,462185.59
100,4541879193,C004,F,FO,"",X,B,20240529,USER52,00089,00048,V696137,E,PT25,20,50,79,3.579,1.394,P003,004,INR,30.02461,X,20240529,20240429,20250529,20240608,20240618,20240628,20250529,7325534524,4118935470,REF5854,18472.78
100,4522590973,C004,F,UB,X,X,C,20240315,USER34,00049,00091,V915173,E,PT50,10,51,73,0.6,2.335,P001,004,USD,37.88365,X,20240315,20240214,20250315,20240325,20240404,20240414,20250315,2537647317,2317659556,REF3882,483873.36
100,4545050456,C004,F,FO,"",X,C,20240612,USER25,00013,00036,V987535,F,PT49,2,38,88,4.769,2.374,P003,003,INR,59.37434,"",20240612,20240513,20250612,20240622,20240702,20240712,20250612,3614524557,8433686588,REF7307,168936.21
300,4577205339,C002,K,FO,"",X,A,20250506,USER73,00013,00022,V748415,E,PT14,8,53,67,0.274,1.346,P001,003,USD,34.99941,"",20250506,20250406,20260506,20250516,20250526,20250605,20260506,8296875092,7283571288,REF9944,143974.7
100,4571746531,C001,K,FO,X,"",A,20251010,USER32,00029,00054,V884738,E,PT46,26,56,75,0.391,0.752,P002,003,USD,78.73402,X,20251010,20250910,20261010,20251020,20251030,20251109,20261010,7631699827,9149646545,REF4829,103000.76
200,4597672810,C001,F,FO,"",X,B,20241002,USER91,00061,00011,V748356,F,PT30,2,45,86,0.278,0.816,P002,001,USD,35.78836,X,20241002,20240902,20251002,20241012,20241022,20241101,20251002,4168000714,7569815572,REF8187,246774.57
100,4570548557,C004,F,NB,"","",C,20251105,USER18,00048,00058,V780715,F,PT50,11,33,64,2.776,0.61,P001,004,EUR,17.82769,X,20251105,20251006,20261105,20251115,20251125,20251205,20261105,1732727246,8029548884,REF7538,167416.95
200,4529418861,C001,K,UB,X,"",A,20250212,USER65,00060,00071,V128133,F,PT21,6,60,78,1.964,0.094,P001,003,INR,62.96859,"",20250212,20250113,20260212,20250222,20250304,20250314,20260212,2919670307,8839294238,REF9565,473977.58
300,4536529827,C002,F,UB,"",X,C,20240222,USER61,00054,00092,V784568,E,PT15,21,45,73,3.028,1.082,P002,003,USD,13.89645,X,20240222,20240123,20250221,20240303,20240313,20240323,20250221,6625491063,4410225529,REF1647,117803.09
300,4584302981,C002,F,FO,"","",C,20251130,USER91,00023,00055,V307134,E,PT46,22,41,60,3.901,0.227,P002,003,INR,39.58549,"",20251130,20251031,20261130,20251210,20251220,20251230,20261130,1312755941,7271363326,REF2079,377175.79
100,4507947874,C003,K,UB,"",X,B,20240505,USER65,00059,00025,V233254,E,PT53,0,57,78,4.695,2.28,P003,003,EUR,76.76055,X,20240505,20240405,20250505,20240515,20240525,20240604,20250505,6660563433,3367587327,REF3622,288776.42
200,4558412991,C003,F,ZNB,"",X,C,20250513,USER21,00013,00081,V550823,F,PT43,3,30,62,1.037,1.692,P001,004,USD,4.01085,X,20250513,20250413,20260513,20250523,20250602,20250612,20260513,1581120272,8162442195,REF6241,462210.22
200,4570577220,C003,K,NB,"",X,B,20240402,USER31,00055,00063,V637765,F,PT48,12,39,77,0.109,2.896,P002,004,EUR,66.34605,"",20240402,20240303,20250402,20240412,20240422,20240502,20250402,1717964357,5526198494,REF4432,100190.9
100,4536619093,C004,F,UB,"",X,B,20260128,USER66,00070,00055,V376311,E,PT19,4,41,74,4.869,1.53,P003,003,USD,27.2416,X,20260128,20251229,20270128,20260207,20260217,20260227,20270128,4270753211,7788232922,REF6708,26931.88
100,4551598031,C001,F,ZNB,"","",C,20240419,USER33,00031,00051,V807476,E,PT10,2,40,72,2.245,1.343,P003,003,USD,63.38342,"",20240419,20240320,20250419,20240429,20240509,20240519,20250419,3192592008,9542688148,REF9792,150216.68
300,4587429243,C004,K,NB,X,"",C,20230901,USER92,00085,00034,V864876,E,PT52,19,36,80,1.168,0.113,P003,003,USD,81.85705,"",20230901,20230802,20240831,20230911,20230921,20231001,20240831,9632869703,3741510503,REF5619,472253.06
300,4572671586,C002,F,UB,"",X,B,20231220,USER64,00048,00016,V124436,E,PT48,30,55,86,0.139,2.037,P003,001,EUR,2.84299,"",20231220,20231120,20241219,20231230,20240109,20240119,20241219,8260493682,2393056021,REF5956,78390.43
300,4598772098,C003,F,FO,"","",A,20250410,USER79,00081,00089,V425209,E,PT18,25,37,71,3.129,0.03,P002,002,INR,72.5719,"",20250410,20250311,20260410,20250420,20250430,20250510,20260410,3846176846,8712636125,REF4280,118231.25
100,4597543989,C003,K,FO,"","",B,20250225,USER18,00090,00057,V327940,F,PT30,10,55,82,0.978,1.274,P002,003,INR,37.04377,"",20250225,20250126,20260225,20250307,20250317,20250327,20260225,1957569791,4844461234,REF1655,444239.97
300,4518252724,C004,F,ZNB,"",X,A,20250626,USER91,00038,00078,V764967,D,PT30,0,60,79,1.308,2.598,P001,001,EUR,24.08091,"",20250626,20250527,20260626,20250706,20250716,20250726,20260626,7523335570,4247677600,REF6936,155503.38
100,4527630972,C003,F,NB,"","",A,20250426,USER77,00017,00083,V469897,F,PT46,24,33,63,3.798,0.324,P002,002,EUR,46.23786,X,20250426,20250327,20260426,20250506,20250516,20250526,20260426,4974733674,8788338350,REF6798,211433.16
300,4591379137,C001,F,FO,X,X,B,20230831,USER93,00020,00099,V799504,E,PT30,24,58,82,1.86,2.316,P001,004,USD,35.42658,"",20230831,20230801,20240830,20230910,20230920,20230930,20240830,3418647340,2436838853,REF3643,272151.64
200,4547889905,C002,F,UB,"","",A,20250114,USER30,00035,00098,V169711,F,PT44,15,50,70,0.379,2.607,P001,004,INR,74.52373,X,20250114,20241215,20260114,20250124,20250203,20250213,20260114,1875150093,1821450010,REF2549,37592.6
200,4585339768,C004,F,NB,X,"",B,20231105,USER73,00086,00063,V948377,F,PT25,13,47,63,3.172,0.75,P002,003,INR,39.57583,X,20231105,20231006,20241104,20231115,20231125,20231205,20241104,5179861224,8063964746,REF4445,329541.9
100,4585230201,C003,F,FO,X,X,B,20241019,USER29,00067,00037,V657379,E,PT11,13,58,65,2.765,1.583,P002,001,EUR,66.38333,X,20241019,20240919,20251019,20241029,20241108,20241118,20251019,4832331933,9859875040,REF5450,467744.38
100,4513800783,C004,F,UB,X,"",C,20240505,USER62,00042,00018,V123631,E,PT25,0,57,81,1.637,0.455,P003,004,EUR,41.42069,X,20240505,20240405,20250505,20240515,20240525,20240604,20250505,9643508158,6334634911,REF2125,176273.5
200,4578846950,C002,F,UB,"",X,C,20240822,USER97,00027,00089,V184856,D,PT34,28,45,75,0.242,0.153,P002,004,EUR,13.56729,"",20240822,20240723,20250822,20240901,20240911,20240921,20250822,9348566011,6183497927,REF6714,486920.54
300,4511429395,C001,F,ZNB,"",X,B,20240714,USER98,00096,00046,V118838,F,PT29,10,47,65,4.649,0.014,P003,001,USD,75.50656,"",20240714,20240614,20250714,20240724,20240803,20240813,20250714,7685196987,4088631960,REF9193,121978.16
100,4570652066,C002,F,NB,X,X,C,20240908,USER44,00051,00014,V842742,E,PT32,26,33,85,2.585,0.922,P003,004,EUR,20.2722,X,20240908,20240809,20250908,20240918,20240928,20241008,20250908,9794369257,4249010443,REF4679,46639.63
200,4596662994,C002,K,NB,"","",A,20231027,USER65,00060,00074,V634796,F,PT60,20,54,90,1.52,1.124,P001,001,EUR,44.87118,"",20231027,20230927,20241026,20231106,20231116,20231126,20241026,3594350048,4194172242,REF4547,91110.32
300,4541114492,C001,F,FO,"","",A,20251204,USER9,00080,00033,V499863,F,PT27,15,58,90,0.772,1.508,P001,002,USD,40.1912,"",20251204,20251104,20261204,20251214,20251224,20260103,20261204,4997926261,9520776332,REF7307,243281.24
200,4501863501,C004,F,NB,"","",A,20230716,USER49,00054,00075,V192938,F,PT13,13,36,86,2.44,0.265,P001,003,USD,56.436,"",20230716,20230616,20240715,20230726,20230805,20230815,20240715,3638931328,9420620791,REF3061,356481.14
100,4553112126,C003,K,ZNB,X,X,C,20230610,USER89,00084,00086,V193446,F,PT26,22,32,61,1.321,0.731,P001,003,INR,13.7247,X,20230610,20230511,20240609,20230620,20230630,20230710,20240609,2177498929,6854197142,REF3477,353489.29
200,4580035308,C003,F,UB,"","",C,20251217,USER35,00037,00070,V164430,E,PT22,9,46,73,1.492,1.539,P002,001,EUR,14.13112,X,20251217,20251117,20261217,20251227,20260106,20260116,20261217,2163267405,7309599367,REF2454,240918.68
300,4597783056,C002,K,FO,"","",B,20240913,USER46,00018,00034,V918759,D,PT21,13,30,70,1.554,1.386,P001,001,EUR,39.01515,"",20240913,20240814,20250913,20240923,20241003,20241013,20250913,1079282427,1162172358,REF5926,70486.34
100,4563890773,C003,F,ZNB,"","",A,20240917,USER27,00082,00086,V482418,F,PT60,2,53,68,2.738,2.53,P002,001,USD,59.44583,"",20240917,20240818,20250917,20240927,20241007,20241017,20250917,4416164905,3711029648,REF9378,456928.36
300,4583465412,C002,K,ZNB,"","",A,20250805,USER12,00015,00063,V348157,F,PT26,25,42,60,4.873,0.264,P003,001,EUR,13.8459,"",20250805,20250706,20260805,20250815,20250825,20250904,20260805,7085931417,5817637565,REF9030,250201.09
300,4532223485,C004,F,ZNB,"",X,B,20230821,USER10,00070,00030,V930093,E,PT29,7,49,68,2.842,0.147,P003,004,INR,22.8671,X,20230821,20230722,20240820,20230831,20230910,20230920,20240820,1757761699,3835643885,REF9660,459128.19
100,4579987555,C003,K,ZNB,"",X,B,20251202,USER42,00012,00043,V135696,D,PT18,25,30,88,3.013,0.871,P002,003,USD,12.45167,X,20251202,20251102,20261202,20251212,20251222,20260101,20261202,5161692568,5099522897,REF8595,423124.0
300,4561077083,C002,K,UB,X,"",A,20231008,USER75,00064,00070,V578172,E,PT39,26,46,85,3.589,1.227,P001,003,EUR,52.51041,"",20231008,20230908,20241007,20231018,20231028,20231107,20241007,1982328395,5080635768,REF4569,344257.11
100,4584598884,C003,F,FO,"","",A,20240319,USER25,00051,00030,V142654,E,PT13,29,34,75,4.215,2.544,P003,002,EUR,14.91037,X,20240319,20240218,20250319,20240329,20240408,20240418,20250319,9022268888,4170236661,REF2765,233427.86
200,4596603302,C002,K,FO,"","",B,20240415,USER90,00067,00023,V628667,D,PT60,23,42,85,3.119,0.865,P003,001,USD,38.02495,"",20240415,20240316,20250415,20240425,20240505,20240515,20250415,6626117431,8852831960,REF6137,176299.65
100,4579343590,C002,K,NB,X,X,C,20230531,USER74,00068,00027,V692638,D,PT27,3,59,76,1.669,2.543,P001,001,EUR,25.26368,"",20230531,20230501,20240530,20230610,20230620,20230630,20240530,3056550560,7864875756,REF6684,253294.42
100,4514170137,C002,K,NB,X,"",C,20251228,USER25,00054,00034,V517800,D,PT41,11,45,72,2.736,2.076,P001,002,USD,30.70412,"",20251228,20251128,20261228,20260107,20260117,20260127,20261228,1457061993,1596107325,REF6498,155794.87
200,4502006132,C002,K,FO,X,X,A,20250409,USER85,00037,00066,V584763,D,PT53,21,30,78,3.986,2.66,P002,001,INR,35.01917,"",20250409,20250310,20260409,20250419,20250429,20250509,20260409,7554678789,7588815739,REF8418,311197.92
