AENAM,BISMT,BREIT,BRGEW,BSTME,DATAB,EAN11,ERNAM,ERSDA,GEWEI,HERKL,HOEHE,KZKFG,LAEDA,LAENG,LIQDT,LVORM,MANDT,MATKL,MATNR,MBRSH,MEINS,MFRNR,MSTAE,MSTDE,MTART,NTGEW,PRDHA,PSTAT,QMPUR,SPART,VOLEH,VOLUM,VPSTA,XCHPF
irobertson,866844375146729690,40.296,386.828,KG,20220113,5066257441528,edwardrios,20231125,KG,DE,59.864,"",20230623,12.027,20221226,"",100,368547229,191486556825318344,M,KG,1000000287,01,20220916,FERT,293.645,798874271335756559,K,X,03,M3,0.029,K,""
james77,410824618583740071,26.267,14.212,L,20231130,5662187111748,qking,20220927,KG,DE,36.107,X,20231109,99.33,20240503,"",100,442045104,226542119777958583,M,EA,1000000098,01,20250130,FERT,10.063,175997842549355447,K,X,03,M3,0.094,K,""
jason58,185974462883178663,60.94,43.831,M,20201017,8186999520540,heatherbeck,20211123,KG,US,2.632,"",20200831,75.181,20260119,"",100,603630164,755711846348827323,A,L,1000000263,01,20220220,ROH,41.029,445096756170387422,K,"",02,M3,0.012,K,X
melvinsingh,757572621531519779,66.334,356.372,M,20230320,3837567870122,zacharyfarle,20240329,KG,DE,37.402,"",20210409,10.24,20231211,"",100,621172320,758654781988658079,C,L,1000000087,02,20201023,ROH,257.988,801120794742082404,K,"",03,M3,0.025,K,X
castilloosca,150486727376569324,8.576,361.229,EA,20221209,2864537244360,owilliams,20211218,KG,IN,53.512,X,20220505,15.912,20210606,"",100,460490649,490832372799168891,M,EA,1000000110,01,20210617,FERT,266.919,651841447945208501,K,X,02,M3,0.007,K,""
randolphgabr,124206808206612189,57.951,218.621,M,20210805,1413026496865,thardy,20201104,KG,IN,74.405,"",20230719,32.119,20230217,"",100,196375262,646021052067380587,A,KG,1000000108,01,20201009,HAWA,155.242,105118133211639621,K,"",02,M3,0.138,K,X
icraig,958660000931998771,78.463,487.31,M,20210817,5425006870149,mooredavid,20201210,KG,CN,47.44,"",20250901,65.816,20210114,"",100,189209837,444961349281097154,M,KG,1000000422,01,20241016,HALB,410.975,426699622174589938,K,X,01,M3,0.245,K,X
torreschrist,801185848415355352,81.666,183.753,KG,20201219,3022582369612,suzanneramos,20210424,KG,US,9.755,"",20251113,74.021,20260117,"",100,744392036,915693835168526975,C,L,1000000479,01,20251120,FERT,154.319,950135264980126404,K,X,02,M3,0.059,K,""
holtrandall,482023666900960822,9.823,185.987,L,20201224,3849336005646,pgonzalez,20240227,KG,US,96.728,X,20231115,53.935,20210804,"",100,769544721,757100043529285793,A,EA,1000000390,01,20230815,ROH,169.277,174768130992719374,K,"",03,M3,0.051,K,X
mbrown,682814036284664916,95.598,185.675,M,20221212,4352183333529,svazquez,20251106,KG,US,77.482,X,20251020,62.309,20251119,"",100,492404398,128939172933640508,M,L,1000000439,01,20221111,FERT,146.029,651339064210970870,K,X,03,M3,0.462,K,""
jamesterry,672000743372957853,58.662,324.775,EA,20250108,1672636525584,devinclark,20230323,KG,US,65.287,X,20210823,63.673,20230218,"",100,686380213,825940821775470281,M,M,1000000018,02,20240524,HALB,231.819,407351599176561479,K,"",03,M3,0.244,K,""
matthewnicho,544778338389957872,74.545,23.073,KG,20230409,3575604993601,hoffmannicho,20260116,KG,US,82.987,"",20221128,86.48,20240223,"",100,714691230,512132456605569994,M,M,1000000484,01,20250916,FERT,17.157,605614235834538677,K,"",03,M3,0.535,K,""
megangarcia,115894327179157452,30.885,313.784,KG,20220225,4988878606493,melissalawre,20241102,KG,DE,11.768,X,20200901,34.292,20211227,"",100,668700867,190806736565893056,C,M,1000000238,02,20250822,ROH,227.109,331669793015648881,K,X,02,M3,0.012,K,X
ishaw,788400288596648625,3.405,110.057,M,20210403,4170330588966,jameswelch,20251223,KG,IN,72.141,X,20201205,73.668,20251023,"",100,875009063,550929986480733696,C,L,1000000420,03,20240728,FERT,84.272,906629021953929146,K,"",02,M3,0.018,K,""
harringtonni,412288687774221234,10.723,69.788,M,20240118,1750601366173,qwilson,20220721,KG,US,53.651,"",20220503,76.565,20231002,"",100,830824082,427548459608924119,A,EA,1000000475,02,20211020,HAWA,50.569,878642225803293037,K,X,01,M3,0.044,K,""
yvette94,837176752472403409,71.26,422.24,EA,20210609,7474748857946,carlos97,20251030,KG,IN,11.922,X,20230704,84.691,20221105,"",100,971136934,286518187674049454,M,M,1000000054,02,20230309,ROH,362.149,124806820736439369,K,"",03,M3,0.072,K,""
michelleperr,438542755478704308,4.647,140.98,M,20220530,2638457743901,mitchellbrad,20250525,KG,CN,86.367,X,20211125,92.81,20240309,"",100,541367526,720963259125869380,A,L,1000000060,01,20230808,HAWA,129.73,918825028053601238,K,X,03,M3,0.037,K,X
dwarren,426261485374580725,35.115,444.187,KG,20210606,9580715248642,williamsjust,20250713,KG,CN,4.116,"",20210604,87.127,20210413,"",100,239043677,417768436452615412,A,M,1000000135,03,20240705,ROH,356.795,604337698901447858,K,"",02,M3,0.013,K,""
pwilcox,495097189527868825,4.592,117.749,KG,20201112,4363430963132,osmith,20250821,KG,IN,79.093,"",20230604,49.016,20250407,"",100,187034177,982060635595355919,M,L,1000000412,03,20250308,FERT,102.612,279217808003731167,K,"",01,M3,0.018,K,X
brownchristi,679993236474467188,6.746,311.249,M,20250217,9648969181663,mcmillankare,20221118,KG,IN,89.096,X,20220303,37.695,20240403,"",100,892604363,292801041193784892,C,EA,1000000008,01,20210917,FERT,248.477,256673180881751863,K,X,03,M3,0.023,K,""
jordanpaula,462476622838300297,76.569,63.247,M,20241218,6298098751916,johnmiller,20241016,KG,IN,47.006,X,20230904,32.394,20231023,"",100,142631312,478844198649501848,M,M,1000000361,02,20210819,HAWA,48.016,753840280054657310,K,X,02,M3,0.117,K,X
caitlyncarls,204768089833377857,62.657,418.263,M,20260130,3506961438618,pamela11,20210113,KG,US,44.075,"",20240609,41.17,20240216,"",100,136632031,953926682769186881,M,EA,1000000495,02,20240929,HAWA,382.988,107313582260494127,K,X,01,M3,0.114,K,""
stephanie71,747306220040536562,12.393,471.101,KG,20220502,9677517997916,joel14,20240727,KG,CN,16.021,X,20220614,33.742,20230428,"",100,592785858,502813957369580137,C,L,1000000357,01,20210602,HALB,376.071,466729405865650194,K,X,03,M3,0.007,K,X
zromero,504532031851395114,25.612,99.556,KG,20211107,2984816607565,zbrooks,20221205,KG,CN,33.223,X,20240801,89.555,20210203,"",100,971136934,805459508878129490,A,EA,1000000171,01,20240422,FERT,90.743,945814691625223436,K,X,01,M3,0.076,K,""
daniellarson,484334766584977096,96.463,391.764,M,20200823,6716812519252,carneyjacob,20231026,KG,CN,90.893,X,20210117,5.66,20250421,"",100,744392036,960381126537793644,M,L,1000000386,02,20230701,HALB,287.306,123141563325483469,K,X,03,M3,0.05,K,X
pkrause,213535197044837561,23.634,460.111,M,20240402,7450438483435,gomezmorgan,20240126,KG,IN,49.645,X,20240915,9.741,20240522,"",100,917857949,806102901658587518,A,EA,1000000308,02,20201006,HAWA,325.177,865559720747437285,K,X,02,M3,0.011,K,X
zacharyturne,582749391899446748,4.06,492.007,M,20240415,8321103782540,thompsonkurt,20200917,KG,IN,62.919,"",20220505,34.436,20230330,"",100,721679746,806210402815099295,M,M,1000000410,03,20210711,HAWA,429.085,405262982731665904,K,"",02,M3,0.009,K,""
hailey54,754263254545685337,76.093,297.914,EA,20240709,3399369916372,gscott,20220914,KG,IN,13.422,X,20230108,15.388,20250201,"",100,249311213,560326751796938110,M,L,1000000202,02,20250505,HAWA,269.524,980700266174041823,K,"",01,M3,0.016,K,X
samuel12,263171221871549168,55.144,307.473,M,20201017,5539865761367,lawrence10,20230805,KG,US,34.228,X,20231217,84.754,20221011,"",100,983029652,591958154687276200,A,EA,1000000385,02,20220831,HALB,265.66,355471323843238068,K,X,02,M3,0.16,K,X
joshua21,911345951969236341,22.307,189.515,L,20220623,2586780659669,jennifer52,20221205,KG,CN,27.904,"",20210509,93.188,20220105,"",100,638872606,785024696598626958,M,KG,1000000269,02,20220910,ROH,162.168,983129716853759200,K,"",02,M3,0.058,K,X
brewerhunter,977844771253061610,15.645,237.272,L,20220802,5479376696517,chelsea16,20250825,KG,DE,43.679,X,20221008,35.6,20231008,"",100,379597955,734833097740008508,A,L,1000000294,01,20230312,FERT,192.986,957414491916851343,K,"",02,M3,0.024,K,""
ericmiles,161065511698624783,65.528,52.046,M,20210821,8136794202036,john04,20240505,KG,DE,6.805,X,20251208,20.823,20231217,"",100,254816325,555020503606031311,C,L,1000000423,02,20230129,HALB,42.37,782904626110783291,K,"",03,M3,0.009,K,X
deborahhall,666007577183360920,91.928,211.925,KG,20230910,4922906803718,mary62,20240629,KG,CN,33.063,"",20250801,55.733,20220218,"",100,954103624,969606483802057576,A,M,1000000268,02,20240521,FERT,178.569,283694653709712338,K,"",02,M3,0.169,K,X
millerjessic,192561403122156636,66.922,224.693,KG,20220809,4497722697185,darrylhughes,20230406,KG,IN,65.158,"",20231111,13.266,20240403,"",100,810867627,566494017743760723,A,KG,1000000417,01,20250522,ROH,170.801,561012386161407650,K,"",02,M3,0.058,K,X
sshaw,705928977099192803,55.105,289.133,KG,20211119,4810150571621,dayjennifer,20220919,KG,IN,47.777,X,20250420,31.486,20210803,"",100,733397763,149899604151295678,M,M,1000000239,02,20240519,HALB,235.552,136948952658478601,K,X,01,M3,0.083,K,X
chloe94,756010341471684000,76.434,44.687,EA,20210628,5860991083067,christian46,20240329,KG,CN,36.831,"",20210830,29.27,20220324,"",100,425901349,136518025421747867,A,M,1000000485,03,20260122,FERT,34.368,154067378677661307,K,"",01,M3,0.082,K,X
danathompson,605437994724108275,18.594,287.844,L,20220605,8974204174729,patrick47,20210922,KG,CN,95.334,X,20230407,23.152,20260212,"",100,812306831,409575368898513532,A,L,1000000476,01,20220412,ROH,268.825,366408523135844025,K,"",03,M3,0.041,K,""
grivas,495995335444117013,91.685,194.048,KG,20250619,5925180262275,ryan46,20210720,KG,US,14.341,"",20220204,4.047,20240622,"",100,527809127,179211656529500187,M,M,1000000196,01,20221009,ROH,170.044,372067203429112532,K,"",01,M3,0.005,K,""
ksteele,819860458740154331,9.581,223.058,KG,20240207,3902888351213,andrea54,20221128,KG,IN,82.75,X,20221130,30.613,20220326,"",100,555359340,184894463120403983,C,M,1000000387,01,20240409,ROH,203.967,297220792560348900,K,X,01,M3,0.024,K,""
sboyer,406709991607278202,76.037,272.731,M,20241225,6594139024946,karen73,20220411,KG,DE,70.39,X,20210526,43.533,20240912,"",100,555359340,808499276736463221,A,EA,1000000321,02,20210414,HAWA,216.809,790994802387502287,K,"",02,M3,0.233,K,""
fmorris,596774911696678085,16.361,322.303,L,20251025,9266713501326,thompsoncarl,20211019,KG,IN,51.219,X,20240406,34.86,20230805,"",100,352029599,114489016647636944,A,KG,1000000309,01,20210728,ROH,300.039,201326870688920572,K,X,01,M3,0.029,K,""
petersonshaw,899688840063154536,44.048,81.206,M,20230821,5435988388736,leeandrea,20220111,KG,IN,63.735,"",20220427,93.455,20231106,"",100,547911914,452839833723921122,C,KG,1000000280,02,20230124,FERT,65.982,364848965151721030,K,"",03,M3,0.262,K,X
austin66,555253268205608347,31.833,145.381,KG,20201108,2364381935385,gpayne,20200926,KG,CN,69.188,X,20211120,41.193,20240705,"",100,917611454,875439844023369251,M,L,1000000417,02,20220718,ROH,110.833,640682941498501032,K,X,02,M3,0.091,K,X
phillip77,432742143745250479,42.879,435.669,EA,20250904,5184903281026,johnsonjohn,20211114,KG,US,45.551,"",20241209,33.326,20230112,"",100,547911914,884338408051931489,A,L,1000000415,03,20220301,ROH,372.807,921003918370066533,K,"",03,M3,0.065,K,X
christianlan,462969896322655442,10.726,282.484,EA,20220608,6378233502529,santosarthur,20230118,KG,CN,94.168,"",20240828,73.465,20200901,"",100,228206926,233142282727543547,M,M,1000000375,02,20260105,FERT,234.863,131480710504227113,K,"",03,M3,0.074,K,""
monicaballar,608000190276387301,88.041,142.236,KG,20230430,6164560080330,iwallace,20200907,KG,DE,67.892,"",20210629,42.252,20250529,"",100,713890793,568384642181205522,M,EA,1000000060,01,20250705,FERT,118.834,182725822559895448,K,"",02,M3,0.253,K,""
lmiles,869793017568090349,6.729,108.609,L,20230527,2282487783176,lpineda,20250106,KG,CN,68.317,X,20241012,26.65,20240602,"",100,875009063,370657452029762878,M,M,1000000232,03,20220813,FERT,85.744,703763821729953722,K,"",03,M3,0.012,K,X
lroach,208373565052633429,38.721,294.933,L,20220915,3565726937256,martinezbria,20210117,KG,IN,42.029,"",20240226,4.144,20201020,"",100,626068166,852832072275282108,A,L,1000000433,03,20220624,HAWA,211.643,792885573423842041,K,"",03,M3,0.007,K,X
nwilliams,804376835259360906,27.143,355.561,L,20220713,4455369182931,charlesramir,20210709,KG,US,71.652,X,20221208,6.469,20210308,"",100,187034177,299269753864155397,C,L,1000000403,03,20230618,ROH,275.803,853532075137768374,K,X,02,M3,0.013,K,X
latoya92,564238292165992069,83.836,66.851,KG,20250606,7461404027109,hchambers,20241103,KG,IN,90.505,X,20260115,98.749,20211201,"",100,970190751,195576280393824573,M,KG,1000000057,02,20210218,FERT,51.183,376854399747284921,K,"",02,M3,0.749,K,""
ujacobs,120312962542540468,26.73,162.92,L,20241223,1472220535446,vwilliams,20250107,KG,CN,19.18,X,20230819,30.462,20260125,"",100,603630164,474179847861484390,A,L,1000000476,03,20210616,ROH,149.932,775333525841357648,K,"",01,M3,0.016,K,""
rebeccasimps,633511768179281486,63.374,47.925,L,20220911,5159782891796,klewis,20260114,KG,CN,40.155,X,20241104,90.299,20220318,"",100,952178480,476436641230220015,A,EA,1000000061,01,20251014,HALB,36.466,148698411216778239,K,"",02,M3,0.23,K,X
jenniferbeck,130861724378814039,37.863,324.048,L,20240821,8481453370100,brownrodney,20260110,KG,DE,7.845,X,20240209,17.858,20241031,"",100,563281287,868023469026019430,A,EA,1000000121,01,20240813,ROH,267.906,772159586415437996,K,X,02,M3,0.005,K,X
joseph20,145491812817924629,84.563,414.397,EA,20211231,7121470854904,smckenzie,20210913,KG,US,84.247,"",20250411,95.757,20210315,"",100,115797020,178242771823778370,M,M,1000000144,02,20210616,FERT,347.623,979412540831332760,K,X,03,M3,0.682,K,X
hsilva,749472152900827671,70.023,440.844,M,20211230,7176211714280,donald95,20210919,KG,IN,96.754,"",20240306,19.881,20231006,"",100,972448929,210230052159262442,A,KG,1000000446,01,20210214,HAWA,313.14,169586265437835993,K,"",03,M3,0.135,K,X
sbruce,134994519940727923,89.466,418.757,M,20251217,9823880214802,lorirhodes,20211020,KG,US,28.947,X,20241024,1.74,20250227,"",100,273739642,870613018416536197,A,L,1000000360,03,20241208,HALB,376.209,719774776329135938,K,"",03,M3,0.005,K,""
jasminerusse,961298804020728767,41.425,419.448,M,20231104,3996089962454,wkirby,20211221,KG,DE,35.775,X,20240105,35.566,20221202,"",100,769544721,740009108825397375,M,M,1000000168,02,20211214,HALB,335.394,419453899743328057,K,X,03,M3,0.053,K,X
amandamcgee,214900240291064666,95.567,183.124,KG,20220925,8143215979716,matthewmarks,20240408,KG,IN,22.614,"",20220113,26.026,20240807,"",100,902101685,519867081791920811,A,L,1000000022,01,20250317,FERT,134.661,383332676615529588,K,X,02,M3,0.056,K,""
andrewoconne,981968891433923466,91.847,85.772,KG,20230119,5862159492217,icannon,20240503,KG,CN,36.588,"",20240916,93.782,20210509,"",100,504944357,896387384860998969,A,L,1000000250,02,20220221,HAWA,61.082,318599592934854788,K,X,02,M3,0.315,K,X
james58,393434115716893474,71.548,252.865,M,20210921,5892618793654,hlewis,20250915,KG,US,50.291,X,20250419,88.478,20230219,"",100,956579157,290267346508574937,M,KG,1000000301,01,20230212,ROH,234.757,857310017207829410,K,"",01,M3,0.318,K,X
kathymason,465865035563044797,54.102,424.1,KG,20201107,3004526469213,munozchristo,20250429,KG,IN,92.581,X,20210305,26.611,20240727,"",100,760316823,449737574073162954,M,M,1000000061,01,20221028,HAWA,300.558,319013772835788223,K,X,03,M3,0.133,K,""
dsmith,808985285517518443,74.129,312.24,M,20210627,3011501134403,heather19,20240702,KG,DE,47.993,X,20250315,37.463,20210329,"",100,352029599,996734938788315584,A,M,1000000410,01,20251115,HAWA,279.107,156756710165786040,K,"",01,M3,0.133,K,X
joshua73,955582015108488130,33.489,383.368,KG,20240712,7275775408986,ale,20251205,KG,IN,32.738,"",20210921,17.95,20230527,"",100,128822045,810825410949628210,C,M,1000000467,02,20230728,FERT,313.199,456286894118143497,K,X,01,M3,0.02,K,X
craighenry,462541731167036386,13.753,131.027,KG,20240904,7858145302893,travis58,20250909,KG,CN,70.303,"",20240117,56.573,20231008,"",100,102605938,817857116547257253,M,KG,1000000371,01,20241118,ROH,111.372,965241293617470549,K,X,01,M3,0.055,K,X
xbrennan,308478412053810307,19.295,496.181,M,20210522,5577653025728,cherylramsey,20240629,KG,CN,3.634,X,20230125,63.508,20240822,"",100,415008388,431017925818606355,M,L,1000000420,03,20210326,FERT,420.592,873294011871754653,K,"",01,M3,0.004,K,X
marcuscarson,332861864278890455,99.84,40.394,M,20251125,5328531085920,meganmorgan,20220307,KG,CN,33.471,X,20240117,9.799,20240304,"",100,621172320,704734497874866266,M,EA,1000000478,03,20251126,HAWA,37.519,426722736179209358,K,X,03,M3,0.033,K,""
vjones,816979307168108526,6.497,333.562,EA,20251001,6757189873406,danielhudson,20211001,KG,US,33.316,"",20230822,92.291,20201013,"",100,136632031,659192135936321112,A,KG,1000000048,03,20220506,ROH,237.991,795988903484251014,K,"",02,M3,0.02,K,""
jenniferacev,355375217595982023,54.022,63.634,EA,20240609,9269693220190,timothy96,20221124,KG,IN,55.962,"",20250814,13.267,20240814,"",100,452261041,602444578872610745,C,EA,1000000219,01,20251116,ROH,44.991,870380315237822065,K,"",01,M3,0.04,K,""
mwilliams,208279179384668999,49.611,393.688,M,20250330,4962511073419,willisjohn,20200830,KG,US,90.806,X,20210921,33.294,20210702,"",100,534459933,374511331755695344,M,L,1000000255,01,20210709,FERT,320.072,539053824220393918,K,X,03,M3,0.15,K,X
kayla11,488683237330183428,38.76,413.364,KG,20230301,2232011934254,christopher6,20210501,KG,IN,25.771,X,20230610,46.68,20220211,"",100,555359340,442799108320906196,M,M,1000000471,03,20220206,HAWA,349.811,352961015308687509,K,X,01,M3,0.047,K,""
jeffreyvasqu,343387923097220022,1.042,181.188,M,20210715,5722423040366,kevin25,20251219,KG,US,85.992,"",20250721,2.989,20251122,"",100,351152247,306696644153247687,C,L,1000000395,01,20241002,HAWA,168.409,319720644803823371,K,"",01,M3,0.0,K,""
matthewdiaz,420497914902359265,67.562,57.165,M,20230107,8684782877958,eric18,20221008,KG,US,56.436,X,20230802,25.791,20221021,"",100,671726316,726720765375996493,C,M,1000000036,03,20221110,HAWA,49.486,385493585103389212,K,"",03,M3,0.098,K,""
craig54,912965211580185740,77.357,77.204,L,20240107,3078451253353,nelsonnathan,20230602,KG,US,16.098,"",20251111,15.3,20210118,"",100,644530791,448627137550689896,C,M,1000000118,03,20210404,ROH,62.123,534507592271525072,K,"",02,M3,0.019,K,""
bianca67,638287251587066605,16.264,158.49,L,20250721,6495693897778,annacampbell,20230824,KG,IN,48.076,"",20200914,16.83,20201018,"",100,195672506,355964099981700883,C,L,1000000136,03,20200829,HAWA,117.454,574167724020002769,K,X,03,M3,0.013,K,X
mark15,633207299634455307,78.804,449.542,KG,20240915,2835078940043,wattsmatthew,20230910,KG,IN,76.407,"",20230701,87.183,20250802,"",100,965450501,425746922277076933,A,L,1000000093,02,20230312,ROH,356.714,715550464305764623,K,X,02,M3,0.525,K,""
scottalexand,891422164090542601,20.399,314.625,KG,20260202,8230193243317,ydonovan,20210412,KG,US,55.607,"",20220925,34.851,20220310,"",100,902101685,897006713637785930,M,L,1000000432,03,20201106,HALB,283.431,581452546552270173,K,X,03,M3,0.04,K,X
michael12,632164696551967068,47.834,372.219,KG,20220218,2147147185948,emcmahon,20230704,KG,CN,63.619,X,20220315,21.193,20211020,"",100,970190751,687490156169023887,C,KG,1000000202,01,20251117,HALB,337.354,184369730102839543,K,X,01,M3,0.064,K,X
darrenberg,318744570607446580,9.479,400.21,KG,20201221,5476272815626,olsonbrandon,20250920,KG,CN,27.609,"",20210730,76.818,20240516,"",100,644530791,358714901143931981,C,KG,1000000086,01,20211216,FERT,308.082,710803700733968234,K,X,02,M3,0.02,K,X
gruiz,193785844605092286,36.137,114.963,KG,20250331,1375340821318,ibutler,20200907,KG,US,18.408,X,20230420,26.116,20211023,"",100,489023555,780673165353576377,M,M,1000000383,02,20220108,HAWA,85.715,910188727299997938,K,"",02,M3,0.017,K,""
donaldwilson,229785911263886944,71.258,485.867,M,20240805,7399876234237,smithmaureen,20241015,KG,US,63.038,X,20220324,58.863,20210611,"",100,811022758,913103783333773611,C,KG,1000000061,01,20210707,HALB,360.417,410155590590957903,K,X,03,M3,0.264,K,X
amy25,812299262078232332,61.919,146.521,M,20210612,4258735827209,xrodriguez,20230126,KG,CN,43.237,X,20210108,79.701,20230119,"",100,196375262,346172311632269281,M,L,1000000340,03,20210604,HALB,109.457,822106221254318489,K,"",03,M3,0.213,K,X
tbell,107989133130112276,54.649,251.907,EA,20210429,7794072388129,mholder,20211115,KG,US,65.541,X,20211221,74.422,20250811,"",100,804421986,691534496567934041,A,L,1000000457,02,20251103,ROH,205.997,475197405363958601,K,X,03,M3,0.267,K,X
larsonmichae,872598609078361219,34.64,378.469,L,20250302,4635351704937,riveratara,20250616,KG,CN,80.227,"",20241221,48.623,20250914,"",100,185676816,961950230932086822,M,KG,1000000419,03,20231110,HALB,278.078,402837359160270181,K,X,02,M3,0.135,K,""
jperry,579473228443130181,55.263,243.705,EA,20241021,1465507229739,gjones,20221120,KG,US,9.822,"",20210922,26.719,20220722,"",100,442045104,708772863899818247,M,M,1000000319,03,20210327,ROH,188.324,846984081081686179,K,"",02,M3,0.015,K,X
jon05,737076322995409900,41.763,202.013,KG,20250417,6676758779581,jose35,20240214,KG,IN,8.688,"",20250808,12.185,20211106,"",100,814768689,417015512438084026,C,L,1000000356,02,20201106,HAWA,180.421,759155109277293993,K,"",03,M3,0.004,K,X
gonzalezandr,878978504636818050,42.041,154.576,KG,20251101,9471482830879,jenniferdunl,20200920,KG,CN,81.962,"",20201202,3.761,20250704,"",100,174710538,527646873145224910,C,EA,1000000130,02,20220208,HAWA,120.239,710937469530060212,K,X,03,M3,0.013,K,X
rcosta,652121453596750891,16.271,424.696,L,20260208,1851217372813,anita83,20221028,KG,IN,5.497,"",20231021,30.264,20220610,"",100,517066722,273391056307919572,A,L,1000000414,02,20210114,HAWA,377.242,731884596430718668,K,"",01,M3,0.003,K,X
sara64,826168320113284220,46.959,105.122,L,20241220,4009332822808,tharrell,20250602,KG,US,28.204,"",20231228,71.12,20260202,"",100,644530791,980346051556588086,M,M,1000000304,02,20200930,HALB,86.776,389772096419102922,K,"",02,M3,0.094,K,""
christopherm,858506911611623634,43.243,241.046,L,20211231,4017060053431,wrightanna,20240502,KG,CN,91.313,"",20240424,67.042,20240206,"",100,287289938,345324190793231504,A,KG,1000000080,02,20200917,HAWA,183.099,901787761493132875,K,X,03,M3,0.265,K,""
cynthia51,959172964094007890,17.507,203.711,M,20221228,7277287698271,blopez,20211229,KG,DE,54.845,"",20220106,44.525,20240813,"",100,425901349,726461821523161696,A,M,1000000009,03,20200930,HAWA,177.403,251492901164053932,K,X,03,M3,0.043,K,""
markkelly,609911346069138631,78.238,181.163,KG,20230729,1274105340375,dmendoza,20240515,KG,DE,84.304,X,20210926,73.15,20220712,"",100,774276924,693475485436331334,A,EA,1000000012,02,20230101,ROH,160.732,568504693337610611,K,X,01,M3,0.482,K,X
nicholsgrego,517862908585938068,83.359,141.968,M,20220831,9793488250994,patricia27,20250618,KG,DE,95.063,"",20230105,61.13,20240804,"",100,271241237,197314915856042340,A,EA,1000000047,01,20240710,ROH,132.709,305449428725976165,K,"",02,M3,0.484,K,""
peter90,757304852438316243,82.763,284.32,EA,20230405,2366287427540,kimberlylope,20200923,KG,IN,17.51,"",20211011,4.631,20211211,"",100,486550732,671021882811886537,M,M,1000000004,01,20250722,HALB,215.368,376461477628365517,K,X,01,M3,0.007,K,X
mlewis,295245592036227367,97.169,458.372,L,20240602,9513856132164,prestonmatth,20201104,KG,DE,37.851,X,20210818,80.164,20210425,"",100,425901349,198323757340469275,M,L,1000000318,01,20240630,HALB,333.125,471816458771402780,K,"",02,M3,0.295,K,X
eyates,191680503338802760,23.174,488.837,EA,20210714,3386050785695,valdezalicia,20240609,KG,US,97.462,X,20231217,31.719,20250725,"",100,292847923,247817031671562390,C,M,1000000237,03,20220822,HALB,382.328,129961284576686217,K,X,03,M3,0.072,K,X
sarahmaynard,819373657488360742,43.275,444.119,EA,20220104,1336533173503,jcook,20241110,KG,DE,3.312,"",20250128,17.749,20240719,"",100,592785858,168865813453470035,C,L,1000000192,02,20260212,ROH,393.885,765239961610248005,K,"",02,M3,0.003,K,""
anthony27,931267655074968416,60.682,298.56,M,20220707,5031814927318,christinasmi,20250226,KG,CN,82.061,"",20210222,34.883,20221207,"",100,686380213,213019398312843967,M,EA,1000000101,02,20250208,ROH,213.504,461349879957736015,K,"",03,M3,0.174,K,""
david21,377168249928363269,66.47,488.889,EA,20210620,8261506158661,ewilliams,20220215,KG,CN,23.473,X,20220812,92.198,20251127,"",100,547911914,719095071519496812,M,L,1000000062,01,20211208,FERT,415.731,874170470467342881,K,X,02,M3,0.144,K,""
bauerdouglas,755557948178223577,27.077,114.318,L,20230113,1360579054342,jonathanmorr,20250723,KG,US,15.86,"",20251203,81.78,20250218,"",100,686380213,208382065094782093,A,L,1000000074,01,20211221,HAWA,89.701,460199775374644196,K,"",03,M3,0.035,K,""
juliemann,269105087511202420,78.585,170.182,KG,20220217,4706845136328,lisa90,20230720,KG,CN,41.04,"",20230502,38.838,20250608,"",100,452261041,893467775058582611,A,KG,1000000461,01,20200828,FERT,160.291,352927685975947364,K,"",02,M3,0.125,K,X
fcarter,948067041016004910,87.62,358.316,M,20211203,9092981404927,zacharywilli,20240201,KG,DE,27.379,X,20211219,55.35,20210906,"",100,452261041,809861297866459562,C,KG,1000000306,02,20221220,HAWA,288.304,428046615890230505,K,"",02,M3,0.133,K,""
trevinorache,489691410283043208,2.054,108.454,KG,20240306,1677722023521,gscott,20220714,KG,CN,35.329,X,20250509,44.07,20220623,"",100,442045104,964454363951054603,M,KG,1000000434,01,20250421,ROH,82.262,275102232277191264,K,"",01,M3,0.003,K,X
perezkaren,984368914916986094,93.27,68.894,L,20210704,7657622584756,aprilhicks,20220126,KG,DE,45.096,X,20220728,43.898,20240505,"",100,812306831,927038891067954709,C,EA,1000000439,01,20240920,FERT,64.461,495294355262967598,K,X,02,M3,0.185,K,""
christy68,720149059502493459,97.665,56.633,KG,20231129,7592363753134,williambutle,20211108,KG,DE,47.567,X,20220810,85.502,20230213,"",100,228206926,375674295206698024,C,M,1000000463,01,20240528,FERT,52.98,778101870234608058,K,X,03,M3,0.397,K,""
ricedenise,762736545462181568,36.727,89.095,L,20240121,5437259587953,juliedavis,20210323,KG,IN,44.669,X,20210428,48.509,20201029,"",100,497285869,824053424158835373,M,L,1000000230,03,20210924,ROH,63.567,343718183219715330,K,X,02,M3,0.08,K,""
pachecoashle,463579842147208564,24.329,456.324,M,20221123,4488066126999,jessica19,20240401,KG,DE,3.135,X,20220302,58.094,20231217,"",100,769544721,612581646377708437,A,EA,1000000379,01,20240405,HAWA,340.694,711356389024174647,K,X,01,M3,0.004,K,X
