CHARG,ERSDA,LBDLL,LBEIN,LBFLL,LBFLQ,LBILL,LBILQ,LBINS,LBJIN,LBLAB,LBRUE,LBSPR,LBUML,LBVEI,LBVIN,LBVLA,LBVLL,LBVLQ,LFGJA,LFMON,LIFNR,MANDT,MATNR,SOBKZ,WERKS
B542845,20240409,20250613,75.008,001,002,001,002,211.228,2024,1877.799,X,X,174.372,62.606,199.506,1597.586,002,002,2024,03,V000758,100,621308826414328074,K,P029
B676653,20250108,20240909,63.962,001,001,001,003,890.649,2024,4876.863,X,"",808.593,60.647,765.901,4219.789,003,002,2022,08,V000270,100,790293326298020331,O,P002
B705910,20230616,20250512,184.26,003,002,003,002,412.441,2023,3859.437,"","",352.637,173.897,361.058,3573.516,001,001,2025,02,V000127,100,575738931604113165,"",P026
B221469,20251112,20240901,199.818,001,001,002,001,253.865,2023,3811.205,X,"",473.263,164.091,232.915,3220.483,003,002,2022,05,V000252,100,996426919091359206,K,P019
B824643,20250120,20230727,51.535,003,001,001,003,194.83,2025,2664.467,"",X,311.298,47.485,156.112,2501.639,003,001,2022,07,V000908,100,660114201479252213,O,P021
B364382,20230624,20250717,355.191,001,001,003,002,747.654,2023,4728.27,"","",784.453,287.787,599.657,3926.122,002,001,2024,08,V000444,100,431503499125714843,K,P029
B543846,20260101,20250109,237.874,002,003,002,002,682.941,2023,4285.959,"","",467.191,215.139,629.041,4047.468,003,001,2023,02,V000204,100,442018844553573336,K,P046
B924335,20260107,20231215,149.846,001,001,001,002,531.181,2022,3565.627,"",X,328.601,120.389,447.871,3194.819,002,002,2026,03,V000288,100,589687819222766571,K,P010
B329103,20231003,20241013,383.394,001,002,003,002,306.834,2026,4866.206,"","",831.823,331.423,255.292,3986.648,002,001,2023,06,V000546,100,813353807845986811,K,P030
B995231,20240729,20240613,234.36,002,003,001,002,508.116,2026,3652.319,X,X,546.555,190.236,472.01,3230.287,003,002,2024,11,V000642,100,519490331961662433,K,P047
B752826,20240319,20250927,113.738,001,001,001,002,308.615,2026,1947.819,X,"",210.566,95.532,268.566,1760.175,002,003,2024,07,V000664,100,755629588405519987,"",P010
B616148,20230717,20240217,64.93,001,003,003,002,337.65,2024,2532.494,"",X,424.91,52.647,284.873,2074.698,002,001,2024,06,V000764,100,484804058825114541,K,P032
B619313,20241222,20230603,4.541,002,003,002,001,21.639,2024,171.942,"",X,19.441,4.252,18.075,138.247,003,002,2024,09,V000841,100,317315728147914347,K,P018
B617074,20230920,20240704,274.495,002,001,001,001,187.036,2023,3251.992,"","",390.166,237.898,172.712,2911.485,002,001,2024,05,V000215,100,827753154160552462,O,P014
B950341,20250414,20251219,177.622,002,002,002,003,515.898,2022,3459.793,"",X,626.16,150.674,483.113,3117.985,003,002,2023,06,V000579,100,237563603003422491,"",P031
B613960,20250514,20240410,4.53,001,002,003,001,30.094,2023,161.85,X,X,14.954,4.099,24.902,137.245,001,001,2026,07,V000476,100,660115054731966865,"",P023
B394610,20230713,20250921,47.655,001,003,003,003,139.961,2022,2379.586,"",X,131.097,40.344,130.914,2168.091,002,001,2026,02,V000021,100,738347206524495240,"",P042
B188302,20230816,20250617,393.978,003,001,003,001,733.249,2025,4001.534,X,X,336.925,358.176,645.217,3508.864,001,002,2023,01,V000287,100,602263074087043691,O,P020
B800421,20250407,20230606,27.017,002,002,003,002,27.189,2025,338.564,"",X,37.147,25.39,24.904,301.436,002,001,2024,01,V000197,100,846379043204199087,O,P014
B869989,20240220,20240918,102.362,003,002,003,001,231.422,2022,2102.546,"",X,406.259,89.513,194.026,1691.326,002,002,2023,08,V000547,100,644138451414823987,K,P028
B833903,20230730,20240316,23.053,003,003,001,003,60.469,2026,1109.23,"","",108.758,19.665,50.445,901.246,001,002,2025,10,V000571,100,567286257986923404,K,P048
B443883,20240625,20250422,21.93,003,002,002,003,33.248,2026,375.892,"","",58.068,18.098,30.506,315.021,003,001,2026,09,V000309,100,870168614171358971,K,P037
B526066,20230816,20251019,18.326,003,002,003,001,231.894,2026,1277.657,X,"",108.355,15.667,201.134,1095.93,002,001,2024,05,V000136,100,954344845197108006,"",P048
B656567,20240531,20250316,227.516,002,003,001,003,339.247,2024,4394.338,X,"",635.438,200.274,299.925,4151.222,002,001,2026,11,V000051,100,653978870260513857,O,P009
B314493,20251120,20251106,92.627,002,003,001,002,226.157,2026,4240.018,X,X,389.053,84.145,195.99,3895.338,001,002,2023,01,V000122,100,139860302578095410,O,P035
B946557,20241116,20231113,83.769,002,003,001,003,260.367,2023,1302.64,X,"",171.883,76.939,231.86,1181.195,002,001,2024,01,V000681,100,202847336799704336,O,P035
B749722,20250121,20250318,90.636,002,003,003,001,188.862,2024,1858.811,X,X,229.15,76.14,174.017,1533.437,003,001,2023,08,V000632,100,436543111244348118,O,P003
B995202,20250206,20230608,123.198,003,001,002,001,234.246,2022,1237.994,"","",103.444,108.528,187.763,1031.211,001,001,2024,05,V000282,100,400781530166468133,O,P003
B437788,20251206,20260124,180.722,003,003,002,002,653.821,2023,4270.783,X,"",736.574,148.923,576.543,3474.016,001,003,2022,10,V000766,100,587451725019218400,K,P038
B313717,20260107,20231110,33.555,001,003,003,002,233.274,2025,1625.517,X,X,299.142,29.125,186.987,1456.484,002,003,2022,04,V000860,100,305868052837252392,O,P048
B405185,20250610,20230624,32.88,002,001,003,001,240.431,2023,1422.2,"","",211.331,27.114,207.892,1158.462,001,002,2023,01,V000026,100,815802477763209656,K,P050
B495942,20231105,20240630,133.053,001,002,002,002,91.117,2024,1375.878,X,X,184.748,119.182,82.275,1129.057,002,001,2026,12,V000766,100,851193433129885682,K,P035
B885409,20250707,20250326,399.805,003,001,002,001,284.869,2025,4598.249,X,"",782.627,355.275,265.097,4125.043,002,002,2023,10,V000450,100,330684147644375251,"",P003
B397713,20251031,20231220,268.017,001,002,003,002,796.409,2023,4721.663,"","",395.006,231.322,739.891,4320.858,003,002,2026,03,V000512,100,277361188569793691,O,P049
B710042,20230625,20240508,52.723,002,002,002,003,386.558,2026,3778.267,X,"",724.638,43.645,328.747,3057.227,003,001,2026,04,V000200,100,513395498508872253,O,P022
B617162,20240920,20250516,75.487,002,002,002,003,253.686,2022,1976.106,X,"",206.607,66.947,212.934,1663.471,002,003,2022,12,V000903,100,477987451518397496,"",P049
B373454,20240301,20231125,83.157,003,002,002,002,285.549,2023,1727.876,X,X,267.004,73.878,246.631,1585.572,003,002,2026,06,V000779,100,815309626782277634,"",P007
B994038,20250204,20230809,224.828,001,001,002,002,484.178,2026,3392.212,X,"",360.765,207.752,445.677,2748.472,003,003,2026,01,V000295,100,119887159358552530,K,P032
B455165,20241024,20231108,40.96,001,003,002,001,162.495,2026,1895.979,X,X,361.58,38.302,144.148,1521.962,002,001,2022,05,V000894,100,213154994162542855,K,P030
B967360,20240923,20231116,38.859,002,003,001,002,118.271,2023,847.761,"","",81.556,35.375,103.209,738.944,003,003,2022,12,V000260,100,836502258466384172,"",P025
B841893,20240605,20250418,54.719,003,003,001,002,141.356,2023,757.597,"","",56.036,44.929,128.45,710.31,002,002,2024,05,V000225,100,248765179384959695,"",P044
B638102,20250819,20251226,102.282,001,002,001,001,147.546,2023,1745.571,X,X,135.524,90.845,122.58,1524.819,001,002,2023,11,V000998,100,760138421102372311,K,P021
B769577,20251223,20230822,20.817,003,002,002,001,34.35,2025,385.684,"","",72.541,19.146,30.663,353.711,002,001,2022,07,V000140,100,523651668495854679,O,P042
B779661,20230527,20240902,8.517,002,002,001,002,17.598,2025,139.219,X,"",22.38,7.777,14.446,128.15,003,002,2025,03,V000635,100,946114711821696807,O,P002
B146772,20250520,20250422,79.335,003,003,001,002,192.042,2024,966.884,"","",50.884,66.192,159.299,814.597,003,002,2025,12,V000821,100,447082759458802864,K,P050
B657853,20251222,20250407,35.424,001,002,003,001,163.755,2024,1295.935,"",X,79.424,28.736,153.819,1038.537,002,001,2025,02,V000500,100,242444209536216981,O,P043
B850860,20240815,20250817,78.71,003,001,003,002,439.436,2023,3961.951,"","",376.928,72.5,416.433,3281.342,002,002,2024,07,V000386,100,770334002391734910,O,P049
B969283,20250423,20230718,126.743,003,002,003,001,411.28,2024,4248.563,"","",810.68,101.462,386.216,3559.322,003,001,2022,02,V000797,100,343558802480806176,K,P016
B144738,20250917,20260121,94.823,001,002,002,001,156.007,2024,2418.141,X,"",284.838,77.453,137.724,2001.566,001,002,2023,01,V000845,100,509026521867936171,"",P049
B685115,20230903,20240403,108.539,003,002,003,003,409.73,2023,2803.739,X,"",436.507,92.302,339.674,2310.313,002,003,2023,03,V000032,100,683159097914088757,O,P038
B589657,20240730,20240519,319.804,002,003,001,001,569.872,2026,3675.571,"","",535.289,297.716,495.798,3096.95,001,002,2023,09,V000465,100,664056264950247772,O,P004
B892110,20250311,20231105,131.748,003,001,003,001,427.677,2022,2403.6,X,"",448.429,119.364,401.76,2080.454,001,003,2023,02,V000809,100,738685271151165636,O,P023
B326315,20240117,20230919,133.825,002,002,001,002,95.993,2023,1376.587,"",X,189.737,119.225,85.127,1262.481,003,001,2025,09,V000284,100,615650266785074275,O,P039
B771651,20240304,20251016,10.111,002,001,001,003,34.865,2025,301.552,"","",59.537,8.264,32.313,250.824,003,001,2025,09,V000783,100,313159433388846124,O,P024
B526352,20250805,20250909,16.858,002,003,002,001,143.24,2023,913.211,X,"",57.204,15.619,134.601,777.872,001,001,2022,08,V000634,100,192096935996119211,O,P003
B617341,20240113,20250809,96.547,001,001,001,002,116.674,2024,972.076,X,X,106.533,87.716,106.271,868.418,002,003,2022,12,V000461,100,388234879029280849,O,P038
B449621,20250425,20231008,77.365,003,002,002,002,102.651,2023,1480.274,X,"",162.455,70.882,84.972,1341.813,002,001,2024,02,V000080,100,114050316835253604,K,P048
B369378,20240316,20240517,304.067,002,001,003,002,405.549,2026,3106.262,"","",471.831,259.675,350.204,2855.253,003,003,2024,09,V000375,100,963802829719387363,K,P046
B917982,20230812,20241002,195.485,002,001,001,001,294.945,2023,2175.231,X,X,236.422,166.974,269.011,1983.385,001,002,2025,05,V000615,100,434312251883422348,K,P034
B359510,20240706,20231117,66.265,002,002,001,001,194.707,2025,1554.49,X,X,120.646,62.639,169.345,1331.314,001,002,2025,03,V000001,100,931364109522074093,O,P036
B695986,20240318,20241212,30.238,001,002,003,003,228.056,2023,2830.824,X,X,301.171,26.952,190.589,2600.108,001,001,2023,12,V000552,100,283440369449769615,"",P022
B580729,20240215,20250525,9.313,001,002,003,003,64.908,2024,362.575,X,"",45.446,8.249,54.305,294.876,003,001,2026,09,V000086,100,242105878145677780,K,P005
B864906,20240713,20250802,82.23,002,001,002,002,413.419,2025,3238.739,"",X,579.785,66.21,330.872,2671.768,002,001,2023,03,V000638,100,119993921886170516,O,P033
B725923,20250124,20240919,128.037,001,003,001,001,361.012,2022,1832.64,"","",278.285,109.897,309.069,1706.316,002,001,2023,07,V000609,100,803676834088291145,O,P006
B663905,20231002,20240623,70.315,003,002,001,003,141.422,2022,2727.616,X,"",341.291,60.331,125.203,2523.01,001,001,2022,02,V000969,100,177234539945763524,O,P040
B105667,20251027,20240228,59.69,003,001,001,001,90.438,2023,846.476,"","",86.612,49.581,85.21,766.471,003,001,2024,09,V000468,100,644827079418536169,"",P009
B841550,20230916,20241017,194.635,002,003,001,003,382.339,2025,2106.447,"",X,178.458,157.869,336.146,1925.172,003,002,2024,11,V000719,100,869990119675581764,O,P040
B503995,20240421,20251222,70.434,001,002,001,002,270.33,2024,1582.01,"","",86.973,66.022,251.167,1477.147,002,001,2024,06,V000406,100,957023280602085113,O,P010
B884512,20250308,20260113,96.291,002,001,001,003,315.949,2023,3926.587,"","",399.537,79.959,296.497,3250.026,003,003,2022,02,V000963,100,755464125350655765,O,P047
B516376,20241119,20230825,154.538,002,001,001,003,490.615,2023,2556.209,X,X,475.391,145.04,420.955,2276.879,002,003,2022,04,V000458,100,742544573201990816,"",P046
B169094,20251212,20240912,12.978,003,003,001,001,24.37,2023,341.073,"",X,28.315,11.769,20.746,274.519,003,003,2022,05,V000261,100,243381951405640660,O,P007
B925691,20231001,20230718,9.851,001,003,001,001,74.232,2024,950.483,"",X,164.559,8.166,68.805,807.095,002,002,2024,05,V000816,100,428628356022559893,K,P012
B630567,20240314,20241214,14.557,002,002,001,003,29.933,2026,212.071,X,"",11.486,12.497,24.63,181.644,002,003,2022,06,V000445,100,605623509658955290,O,P030
B623048,20240203,20241123,91.847,002,003,001,003,164.605,2022,1213.94,"",X,88.803,81.89,142.005,1055.153,003,002,2025,12,V000814,100,388540681712500259,"",P023
B814096,20230916,20250514,26.845,002,001,001,001,29.649,2023,497.322,X,X,61.185,22.536,23.999,454.41,001,001,2025,07,V000624,100,545705401034809395,K,P035
B816938,20251211,20250605,25.699,003,002,002,002,28.923,2026,332.756,"",X,45.743,22.026,23.332,295.296,003,003,2025,04,V000600,100,240418691455603898,K,P015
B444934,20250522,20240817,421.52,002,003,003,002,394.854,2025,4249.011,X,X,607.725,343.623,329.538,3581.75,003,002,2022,12,V000827,100,444934390438608229,"",P039
B972200,20230712,20240605,26.856,003,003,003,003,87.196,2022,1491.226,"","",236.292,21.955,73.514,1338.382,002,001,2023,10,V000451,100,372707491429065480,O,P047
B872680,20230716,20231011,99.595,002,003,001,003,203.204,2026,1850.701,"",X,331.591,88.334,167.108,1678.624,003,001,2024,06,V000353,100,918001040774369453,K,P040
B747155,20230706,20250531,212.992,002,002,003,001,370.548,2023,2264.257,"","",397.262,202.05,297.3,2048.122,003,002,2023,02,V000619,100,700843263426687329,"",P021
B832880,20231114,20230908,178.825,001,001,003,001,308.013,2025,3441.585,"","",601.339,158.491,256.716,2926.488,001,002,2024,06,V000799,100,770577377321319995,O,P003
B283347,20260104,20250626,273.941,003,003,002,002,601.528,2023,4166.639,X,"",280.275,235.432,567.722,3889.553,003,001,2024,11,V000083,100,452283744543847970,"",P048
B583566,20241031,20240821,136.726,001,001,002,002,220.262,2024,3219.439,X,X,581.744,115.806,204.511,2638.83,003,002,2024,04,V000280,100,733298549855014649,K,P023
B178711,20240825,20251116,81.525,001,001,001,002,530.038,2026,3579.775,"","",222.797,65.476,473.757,3108.249,001,002,2022,10,V000994,100,321515428374599384,"",P043
B423897,20250704,20251215,86.808,001,002,002,003,324.071,2025,1760.708,"","",343.041,82.147,271.565,1505.072,003,003,2022,11,V000920,100,393908352760338620,O,P036
B748490,20251210,20230727,110.647,002,003,002,002,286.29,2024,1771.106,"","",196.917,99.536,240.453,1472.017,002,001,2022,09,V000552,100,167927984522116202,O,P049
B275632,20231019,20250112,132.13,003,002,003,001,629.19,2026,3272.061,X,X,305.264,123.624,569.796,2640.404,002,003,2022,08,V000334,100,529276512381900933,"",P036
B893156,20250219,20231008,39.286,001,002,002,001,152.484,2024,1603.206,"","",172.458,36.962,135.26,1478.768,002,001,2025,08,V000401,100,475978395016951124,K,P039
B243413,20241012,20251215,47.993,001,002,002,003,78.039,2025,654.804,X,"",47.719,45.24,65.458,578.35,001,003,2022,05,V000303,100,693442076211553528,K,P019
B278040,20251103,20241207,43.586,002,001,003,001,262.616,2026,1661.043,"","",315.478,39.433,221.435,1361.242,001,001,2023,01,V000536,100,347148336085432756,K,P020
B733269,20250820,20250422,74.686,001,003,001,002,173.329,2023,2585.681,X,X,356.74,68.49,148.477,2277.998,003,003,2025,01,V000894,100,395218633129668179,K,P022
B457234,20231220,20240719,177.672,003,002,001,001,516.934,2024,3898.979,X,X,573.766,154.403,414.541,3191.567,001,003,2024,05,V000640,100,573656373701434808,"",P016
B251012,20240226,20260102,25.969,003,003,002,003,49.926,2023,902.191,"","",153.962,23.112,44.988,752.715,001,001,2024,03,V000656,100,123157534998235052,O,P034
B139123,20240123,20230905,111.348,003,001,002,002,380.775,2022,2770.581,"","",383.418,99.896,325.139,2467.633,001,002,2022,03,V000034,100,483955194615614990,O,P032
B915843,20240717,20231129,219.6,002,001,001,001,289.727,2025,2266.789,X,"",137.499,181.401,233.401,2126.53,002,002,2025,09,V000238,100,121544308040822740,K,P017
B853151,20241118,20240222,124.951,003,001,003,001,145.43,2024,2879.814,X,"",318.601,104.017,133.319,2457.755,003,001,2024,09,V000965,100,731281510595069237,O,P033
B719703,20230704,20231025,227.486,003,001,001,002,236.581,2022,3501.943,"",X,634.891,213.915,206.513,3050.421,001,002,2022,03,V000116,100,210711299214810313,"",P039
B958712,20251023,20250525,53.508,002,002,001,003,592.043,2025,3053.566,"","",345.237,47.272,531.72,2842.978,003,003,2023,03,V000673,100,477609075637702377,O,P040
B196814,20251001,20240331,164.967,001,001,002,001,198.928,2023,3001.817,X,"",281.576,151.165,179.975,2470.008,003,003,2026,07,V000756,100,260863247494084026,"",P009
B511106,20250819,20241129,25.661,002,002,001,003,89.849,2023,455.919,X,"",31.66,23.998,79.433,406.998,002,001,2025,09,V000323,100,700155946400322234,K,P039
B705259,20241013,20240603,6.751,001,001,001,002,28.193,2022,205.505,"","",20.063,5.442,23.704,169.983,002,002,2023,06,V000216,100,714263940932738680,K,P044
B343472,20250225,20240413,348.251,002,003,002,001,366.307,2026,4778.278,"",X,659.685,307.312,337.461,4398.354,001,003,2026,07,V000063,100,577016867611083894,K,P007
B891421,20230708,20231021,170.602,002,002,001,003,250.094,2024,3734.043,"",X,719.946,146.967,219.463,3112.047,003,003,2023,10,V000437,100,535166176468496546,K,P041
B601182,20241225,20240422,390.389,001,002,001,003,668.773,2023,4477.404,X,"",347.287,369.371,602.418,4024.279,003,002,2022,10,V000122,100,862728930603395954,K,P020
B348046,20250316,20251007,395.39,001,001,002,003,367.184,2025,4304.469,"","",336.716,350.476,329.01,4080.879,002,003,2025,06,V000838,100,198285401506919153,"",P020
B804372,20260207,20250303,8.963,003,001,003,003,50.099,2026,321.335,"",X,22.775,7.479,47.236,283.106,001,002,2026,07,V000489,100,741400788966852752,K,P008
B957361,20230616,20250327,9.885,002,001,002,002,58.44,2022,632.842,"",X,125.183,8.913,47.411,533.296,001,003,2026,04,V000073,100,173264690753273102,"",P038
B244346,20240401,20241031,37.907,003,001,003,003,63.773,2023,830.361,"","",101.776,31.711,51.232,769.062,002,001,2026,05,V000009,100,888387232659904852,K,P026
B109301,20251227,20231119,52.501,002,002,003,002,475.993,2025,4536.365,"","",874.14,45.872,385.439,3656.283,003,001,2025,01,V000051,100,469860058425291137,O,P034
B142631,20260109,20230918,273.034,002,003,002,002,515.242,2023,3668.685,"",X,186.932,222.874,416.35,3202.118,003,002,2024,07,V000183,100,922506791233169211,O,P044
B768108,20250725,20251220,119.038,003,003,001,003,560.422,2025,3714.964,X,"",222.395,98.533,472.701,3462.187,002,003,2022,12,V000041,100,838411904428259293,K,P006
B922137,20250719,20240920,155.782,002,003,001,001,424.936,2025,4446.788,X,X,431.904,139.319,353.289,3610.66,001,003,2025,12,V000089,100,121308876911847586,O,P016
B526624,20231124,20250911,177.026,003,001,001,003,175.556,2023,2263.299,"",X,140.093,154.872,157.693,1828.159,002,003,2025,04,V000531,100,509373006765752970,"",P018
B661252,20240424,20230523,134.645,001,003,002,002,177.221,2024,2093.849,X,X,308.282,110.904,142.557,1691.141,003,003,2023,09,V000740,100,586811066157748219,"",P044
B723618,20250110,20250414,235.7,002,001,003,001,611.832,2025,4521.045,"","",699.455,203.048,574.803,4105.389,002,002,2026,07,V000868,100,943440563243564786,O,P017
B762065,20240531,20240330,79.637,002,003,002,001,197.331,2025,1184.345,X,"",126.341,65.696,173.688,948.287,002,003,2026,04,V000132,100,827288168239416880,O,P040
B650081,20250106,20250618,39.148,001,001,001,003,97.909,2022,714.701,"","",134.533,31.712,89.869,619.502,002,002,2025,11,V000619,100,740948504878249350,O,P038
B707092,20241104,20251215,95.138,002,001,002,001,351.805,2025,1993.473,"","",174.36,89.725,288.548,1658.613,001,003,2023,02,V000420,100,786608556664585179,O,P017
B638630,20231109,20251031,244.064,002,003,003,002,525.415,2022,4197.844,"","",288.494,225.367,453.011,3532.694,001,001,2022,11,V000818,100,951840040565429800,"",P010
B368034,20250331,20231129,58.429,002,002,001,002,530.146,2026,4174.355,"","",336.595,50.837,429.127,3574.721,001,002,2023,03,V000279,100,881522658048738859,"",P038
B224535,20240713,20250405,147.791,001,002,001,003,300.91,2026,2402.721,X,X,450.611,130.618,267.345,2014.638,002,003,2026,10,V000904,100,219897466326803411,O,P018
B541179,20240121,20251103,7.737,001,003,001,003,26.819,2023,331.373,X,"",30.021,6.908,22.011,294.912,002,001,2023,05,V000035,100,747871677527028931,"",P008
B870850,20251119,20240123,108.25,002,003,002,002,554.703,2022,3825.905,X,"",326.158,99.922,451.002,3461.552,003,001,2022,04,V000450,100,131702170296158872,O,P016
B647002,20231218,20230921,27.209,001,001,002,002,293.029,2023,2692.593,"",X,333.899,22.241,276.723,2538.959,001,003,2023,02,V000646,100,124301937027695943,O,P013
B900859,20240917,20241023,82.513,003,003,002,001,125.332,2026,892.567,X,"",120.458,66.705,105.818,786.783,001,002,2024,12,V000169,100,194603447160558825,O,P044
B166486,20260202,20230617,70.65,001,003,002,003,128.887,2023,1960.248,"","",121.204,60.896,112.644,1696.205,001,003,2022,01,V000447,100,113720523873564997,O,P033
B147408,20230929,20240311,163.978,003,001,002,002,162.839,2025,2082.978,"","",333.383,150.451,140.84,1938.891,001,001,2023,10,V000582,100,960569458331957957,K,P026
B292975,20240523,20240606,160.222,001,003,002,003,104.434,2025,1731.258,"","",169.955,151.97,84.627,1390.073,001,001,2023,05,V000259,100,623346406353253850,K,P021
B164358,20240324,20250304,182.973,001,002,001,001,522.683,2023,3019.292,X,"",294.771,146.403,449.786,2865.851,002,002,2025,07,V000721,100,184016355227896297,O,P031
B768878,20240120,20250614,239.602,002,003,002,001,641.559,2022,4797.561,X,X,768.94,198.732,525.01,4110.265,001,002,2023,01,V000507,100,780365512957426422,K,P014
B642244,20241216,20240924,202.432,002,002,002,002,254.091,2023,2676.538,X,"",371.333,184.127,223.927,2340.933,002,003,2023,07,V000250,100,191492875026667056,"",P026
B302140,20230912,20240219,87.701,001,003,002,003,259.092,2022,1409.659,"",X,104.969,73.222,223.211,1262.585,002,003,2026,05,V000538,100,849976281018222568,O,P030
B677679,20250618,20240709,3.163,002,001,001,002,19.913,2022,212.864,X,X,13.693,2.765,18.37,176.516,001,002,2025,10,V000593,100,166171234442419771,K,P020
B912942,20241016,20251112,195.243,001,001,002,002,163.61,2025,2786.099,X,"",424.706,157.128,132.42,2382.88,002,002,2026,07,V000238,100,714610208838868540,"",P025
B251428,20231210,20251028,1.42,001,002,001,003,9.267,2026,53.416,X,"",6.468,1.284,8.374,49.977,003,002,2025,01,V000842,100,340762288164206957,O,P002
B399173,20240615,20241111,217.064,003,003,003,003,720.031,2025,4319.925,"",X,386.208,193.363,650.907,3786.834,003,001,2024,10,V000474,100,412569842971045546,"",P011
B438497,20251007,20250227,189.387,003,003,002,001,270.129,2023,4468.791,X,"",763.18,156.697,251.607,3949.71,003,002,2025,02,V000310,100,643825821511198499,O,P031
B731054,20231118,20230903,57.601,002,001,002,003,540.685,2024,2707.834,"",X,492.806,52.321,488.011,2286.638,003,003,2026,05,V000259,100,705773335541268683,O,P025
B621012,20230630,20251119,73.043,002,001,003,002,145.719,2023,945.164,X,X,134.336,59.984,130.62,765.744,001,002,2023,04,V000133,100,906473977818990509,"",P039
B134908,20230712,20231118,106.618,001,002,003,001,195.847,2025,1143.312,X,"",159.884,99.509,181.975,915.81,001,003,2022,06,V000091,100,381693356440703919,K,P042
B694452,20241220,20240926,12.909,002,001,003,002,29.159,2023,367.67,X,X,56.433,11.87,23.9,302.969,002,003,2025,10,V000419,100,959110116627200839,K,P011
B185436,20230521,20230727,74.217,001,003,002,003,95.078,2024,790.154,X,"",150.981,63.162,76.236,655.809,001,001,2023,06,V000571,100,586512852222969350,"",P001
B161386,20240201,20240605,126.954,001,001,003,001,133.332,2023,1614.503,X,"",287.084,103.933,122.608,1467.204,002,001,2024,10,V000630,100,967359728939268481,K,P038
B182523,20251120,20241119,47.026,002,002,002,002,269.303,2026,3112.194,"","",166.282,38.95,222.448,2788.053,003,002,2026,12,V000982,100,979090922703306779,K,P031
B789589,20240713,20250303,51.416,002,002,002,001,59.012,2022,542.21,X,"",88.258,45.653,48.588,479.43,001,001,2022,01,V000780,100,972616167127876620,K,P039
B254993,20230801,20231010,107.649,003,002,003,003,561.906,2023,4057.762,X,X,322.94,89.496,451.474,3324.329,001,003,2022,07,V000953,100,619412113075598734,"",P039
B667706,20230908,20250312,225.067,002,002,001,003,401.359,2023,4025.065,"",X,677.09,212.606,348.191,3796.193,003,001,2026,08,V000257,100,214200115500437541,"",P006
B111498,20241208,20231126,25.326,003,003,003,003,61.114,2025,680.002,X,"",71.834,22.061,56.219,604.025,001,002,2025,09,V000013,100,180075908909408223,O,P032
B207052,20250501,20250228,55.173,001,003,002,002,389.613,2022,4697.493,"",X,512.346,48.297,349.606,4386.715,002,001,2023,07,V000192,100,782145031322755423,O,P020
B960395,20241205,20250228,315.628,002,002,003,002,271.374,2026,3993.165,X,"",728.898,267.652,235.624,3214.243,002,003,2022,05,V000800,100,996386745761575429,"",P029
B612639,20231125,20250808,156.542,002,003,002,002,330.307,2025,1954.764,"",X,281.833,145.297,285.919,1780.935,002,001,2024,04,V000725,100,150964990752179029,K,P008
B221507,20240623,20230907,74.066,002,003,001,003,171.794,2022,1612.797,"",X,277.039,68.0,152.217,1416.134,003,001,2022,08,V000758,100,794397801840807584,"",P022
B939895,20240516,20231225,127.799,003,002,002,002,155.558,2023,2355.766,"","",429.216,108.168,133.949,1984.662,002,002,2022,04,V000627,100,500912928200490202,"",P030
B193706,20250925,20231029,237.118,003,003,003,003,556.488,2026,2854.122,"",X,553.867,209.491,478.427,2296.681,001,003,2022,12,V000552,100,707318463082326164,"",P039
B750007,20240129,20251031,85.103,002,003,001,003,81.635,2023,1609.024,"",X,291.633,73.456,74.99,1388.212,002,003,2025,10,V000697,100,206587182978392229,K,P031
B239093,20240112,20240509,387.407,001,003,001,003,203.109,2025,3892.61,"",X,311.914,343.681,162.95,3276.992,002,001,2023,04,V000906,100,502321834771717391,O,P036
B908607,20250531,20231228,325.152,001,002,002,002,856.148,2025,4452.568,X,"",524.794,263.394,771.973,3754.161,003,002,2023,07,V000913,100,755629588405519987,K,P007
B791012,20240716,20231015,214.44,003,002,002,003,151.466,2023,2595.137,X,X,397.862,173.353,133.44,2268.845,001,003,2022,03,V000747,100,875702963799776689,K,P034
B931612,20240716,20250422,215.488,003,001,001,002,790.042,2024,4812.515,"","",323.323,179.529,736.143,4063.686,002,002,2023,07,V000200,100,123157534998235052,O,P036
B417195,20240621,20231112,246.393,002,001,001,003,233.021,2024,4460.686,"",X,247.66,210.758,216.67,3654.709,002,002,2026,11,V000327,100,838411904428259293,K,P029
B880677,20240622,20251218,36.919,001,001,003,002,205.315,2026,2826.344,"",X,337.643,32.029,169.952,2657.11,002,001,2025,11,V000078,100,876155499027838237,O,P014
B870738,20241229,20251014,149.091,001,002,002,001,254.862,2024,1838.402,"",X,261.073,125.749,224.567,1574.52,003,003,2025,06,V000708,100,492036207507653143,K,P043
B693744,20251017,20230712,45.235,003,001,001,003,73.285,2022,681.572,X,"",127.668,40.188,63.238,554.974,001,001,2026,06,V000360,100,766746399327329612,O,P002
B795849,20231219,20251217,135.962,002,002,002,001,158.68,2024,2674.601,X,"",157.992,127.851,147.194,2464.192,003,002,2024,12,V000396,100,624598154850935811,O,P002
B430450,20250325,20230925,16.603,002,002,001,002,204.531,2023,1331.862,"",X,100.272,13.982,167.076,1243.915,002,001,2023,12,V000593,100,331187868260463923,"",P038
B995081,20250205,20250612,207.877,002,003,002,002,135.026,2022,2138.765,X,"",398.921,174.144,121.529,1794.788,002,001,2022,04,V000970,100,812031973417976368,K,P041
