ABWCT,ABWGA,FCURR,FFACT,GDATU,KURST,MANDT,TCURR,TFACT
B,20231207,SGD,69,20231207,B,100,AUD,11
B,20210314,CAD,9,20210314,P,100,JPY,66
P,20231123,AUD,22,20231123,P,100,JPY,29
M,20190902,USD,60,20190902,M,100,JPY,67
B,20230331,AUD,64,20230331,P,100,CAD,71
B,20220125,GBP,71,20220125,G,100,AED,63
M,20230309,GBP,58,20230309,M,100,AUD,15
M,20231123,CAD,30,20231123,M,100,USD,87
B,20220404,INR,84,20220404,B,100,USD,99
G,20180510,AUD,41,20180510,B,100,SGD,49
B,20221009,JPY,96,20221009,P,100,GBP,99
M,20210314,USD,8,20210314,G,100,INR,69
B,20210404,AED,86,20210404,G,100,USD,53
G,20240124,CAD,57,20240124,B,100,EUR,8
P,20190816,INR,39,20190816,G,100,AUD,72
B,20200806,GBP,7,20200806,B,100,INR,96
B,20200706,INR,44,20200706,B,100,AUD,26
G,20201224,GBP,76,20201224,P,100,CAD,34
M,20191018,INR,87,20191018,B,100,GBP,71
B,20220325,AUD,24,20220325,B,100,JPY,33
P,20190302,CAD,34,20190302,G,100,EUR,18
P,20230907,AED,24,20230907,G,100,AUD,12
B,20220610,CAD,7,20220610,P,100,EUR,51
M,20200904,AED,80,20200904,B,100,EUR,1
P,20201208,SGD,13,20201208,G,100,JPY,75
M,20230908,INR,11,20230908,G,100,EUR,61
B,20201204,AUD,19,20201204,G,100,AED,34
G,20200821,GBP,100,20200821,P,100,EUR,44
G,20220121,JPY,18,20220121,P,100,CAD,5
P,20230610,EUR,61,20230610,B,100,GBP,26
P,20200216,AUD,58,20200216,P,100,INR,36
P,20220907,AED,23,20220907,M,100,EUR,29
P,20180317,SGD,24,20180317,P,100,INR,63
M,20201212,GBP,69,20201212,M,100,CAD,70
G,20230613,AED,18,20230613,P,100,EUR,91
P,20231023,GBP,98,20231023,P,100,SGD,60
P,20221022,USD,54,20221022,B,100,INR,69
B,20210325,SGD,45,20210325,G,100,INR,77
G,20180318,SGD,26,20180318,B,100,AUD,23
P,20200426,AED,48,20200426,M,100,JPY,58
M,20211014,JPY,32,20211014,G,100,SGD,43
B,20210619,INR,15,20210619,B,100,AED,5
G,20240705,GBP,30,20240705,B,100,CAD,39
M,20221109,SGD,71,20221109,P,100,GBP,67
B,20230601,SGD,48,20230601,P,100,AUD,16
G,20220707,AUD,87,20220707,M,100,SGD,59
G,20240914,SGD,4,20240914,M,100,AUD,50
B,20210407,GBP,55,20210407,B,100,AUD,12
M,20190927,AUD,53,20190927,M,100,SGD,14
P,20210807,CAD,50,20210807,M,100,USD,47
G,20200403,INR,28,20200403,G,100,AUD,89
M,20210101,JPY,2,20210101,G,100,AUD,63
B,20201207,AED,53,20201207,M,100,USD,93
B,20190319,CAD,88,20190319,P,100,INR,20
G,20211224,EUR,95,20211224,G,100,USD,57
G,20230617,CAD,4,20230617,B,100,USD,62
G,20190831,AED,98,20190831,M,100,AUD,50
G,20220401,AUD,64,20220401,G,100,EUR,7
G,20190403,INR,98,20190403,M,100,GBP,47
M,20230928,CAD,69,20230928,B,100,AED,61
P,20180103,EUR,46,20180103,G,100,SGD,19
P,20190227,INR,13,20190227,B,100,CAD,24
P,20240821,SGD,100,20240821,B,100,CAD,18
B,20230728,EUR,41,20230728,B,100,GBP,45
P,20240205,AED,83,20240205,M,100,GBP,68
P,20200219,AUD,50,20200219,G,100,JPY,39
B,20240731,JPY,97,20240731,M,100,INR,31
G,20240523,CAD,18,20240523,P,100,INR,45
P,20230213,GBP,67,20230213,B,100,CAD,4
B,20210126,JPY,46,20210126,B,100,AED,92
G,20210302,JPY,80,20210302,P,100,INR,18
B,20240629,AUD,1,20240629,M,100,SGD,14
G,20201107,USD,17,20201107,G,100,JPY,58
P,20190121,JPY,28,20190121,M,100,AUD,41
B,20231231,SGD,57,20231231,G,100,AUD,49
B,20241024,AED,76,20241024,P,100,CAD,68
M,20210414,USD,21,20210414,P,100,JPY,44
G,20180529,INR,80,20180529,P,100,AED,49
M,20191220,AUD,55,20191220,B,100,JPY,70
B,20240928,JPY,23,20240928,M,100,AED,24
B,20211106,AUD,22,20211106,M,100,INR,36
G,20230421,CAD,7,20230421,B,100,AED,38
P,20220804,AUD,42,20220804,M,100,INR,71
M,20240424,AED,70,20240424,B,100,USD,94
P,20221022,USD,25,20221022,P,100,EUR,58
G,20210705,EUR,17,20210705,G,100,GBP,48
M,20231211,AUD,70,20231211,M,100,JPY,96
B,20200428,USD,4,20200428,G,100,AUD,98
G,20231228,SGD,93,20231228,G,100,GBP,19
G,20200422,USD,28,20200422,B,100,EUR,89
G,20200302,USD,87,20200302,M,100,AED,74
B,20200904,INR,16,20200904,B,100,AUD,18
M,20200415,AED,36,20200415,G,100,CAD,70
P,20231206,AED,99,20231206,B,100,USD,30
G,20190526,EUR,92,20190526,B,100,INR,48
G,20201211,USD,64,20201211,P,100,AED,13
P,20181117,SGD,92,20181117,P,100,AUD,26
B,20210629,AED,16,20210629,M,100,CAD,39
M,20220203,CAD,31,20220203,P,100,EUR,21
G,20221023,JPY,68,20221023,P,100,CAD,6
B,20231025,INR,24,20231025,G,100,CAD,91
B,20201030,USD,77,20201030,B,100,CAD,4
B,20220712,USD,2,20220712,M,100,JPY,64
P,20220921,USD,99,20220921,P,100,AUD,4
P,20200303,CAD,72,20200303,P,100,USD,21
M,20180326,AUD,54,20180326,B,100,CAD,64
B,20181220,SGD,36,20181220,G,100,USD,48
B,20200517,CAD,10,20200517,G,100,AUD,48
B,20181205,EUR,70,20181205,G,100,GBP,19
P,20220610,CAD,38,20220610,P,100,GBP,78
G,20240324,CAD,93,20240324,P,100,INR,42
P,20190219,CAD,3,20190219,M,100,SGD,44
B,20220314,AUD,50,20220314,G,100,INR,10
G,20220330,EUR,47,20220330,G,100,GBP,12
M,20210127,EUR,12,20210127,B,100,SGD,85
B,20220416,AUD,26,20220416,P,100,INR,64
M,20231104,AED,65,20231104,M,100,INR,87
B,20230303,SGD,47,20230303,P,100,GBP,4
G,20240821,EUR,89,20240821,G,100,JPY,74
B,20181008,GBP,34,20181008,P,100,INR,74
M,20230615,SGD,7,20230615,M,100,USD,50
P,20201002,CAD,93,20201002,G,100,SGD,20
P,20211012,AED,45,20211012,P,100,CAD,16
B,20190819,SGD,51,20190819,G,100,INR,4
B,20220331,JPY,23,20220331,B,100,CAD,84
B,20231016,GBP,71,20231016,M,100,JPY,78
P,20210728,EUR,32,20210728,B,100,USD,72
G,20221116,USD,3,20221116,B,100,AED,40
M,20190426,EUR,4,20190426,P,100,AED,21
B,20221228,JPY,56,20221228,B,100,GBP,25
M,20200612,AED,100,20200612,G,100,SGD,33
M,20180309,EUR,53,20180309,B,100,USD,71
G,20240203,CAD,21,20240203,M,100,AUD,87
G,20220716,SGD,36,20220716,B,100,CAD,43
P,20210518,AUD,87,20210518,P,100,SGD,79
B,20231006,GBP,15,20231006,P,100,EUR,29
B,20230504,INR,35,20230504,G,100,SGD,63
B,20180122,GBP,94,20180122,G,100,CAD,11
M,20221031,USD,78,20221031,P,100,INR,58
G,20230530,USD,96,20230530,P,100,JPY,82
P,20200418,JPY,3,20200418,P,100,GBP,16
G,20240512,CAD,81,20240512,M,100,USD,6
B,20220616,INR,69,20220616,B,100,AUD,41
G,20210327,USD,40,20210327,B,100,GBP,23
G,20230210,JPY,98,20230210,P,100,CAD,74
G,20220220,INR,100,20220220,P,100,CAD,96
B,20180503,AUD,58,20180503,G,100,SGD,89
P,20210205,GBP,27,20210205,M,100,CAD,43
P,20200202,CAD,62,20200202,P,100,JPY,82
M,20180805,AED,3,20180805,G,100,GBP,67
P,20191201,GBP,48,20191201,G,100,CAD,53
P,20190922,USD,73,20190922,B,100,EUR,5
M,20230827,USD,78,20230827,B,100,GBP,33
M,20180301,USD,99,20180301,P,100,AUD,67
P,20201029,EUR,26,20201029,P,100,SGD,63
M,20180807,INR,6,20180807,P,100,USD,96
P,20190613,GBP,22,20190613,G,100,AED,44
G,20180407,JPY,60,20180407,P,100,CAD,60
M,20180127,USD,20,20180127,B,100,GBP,13
P,20200615,AUD,30,20200615,B,100,JPY,94
B,20220923,SGD,74,20220923,B,100,GBP,86
B,20240818,JPY,81,20240818,P,100,USD,2
B,20201227,GBP,88,20201227,G,100,SGD,58
B,20211212,SGD,37,20211212,G,100,AUD,48
G,20210625,SGD,78,20210625,M,100,INR,4
M,20210715,USD,57,20210715,M,100,AUD,22
G,20240222,AUD,39,20240222,M,100,GBP,44
G,20221227,SGD,93,20221227,M,100,USD,68
B,20200515,SGD,25,20200515,M,100,CAD,20
P,20220515,GBP,25,20220515,M,100,USD,71
P,20180107,GBP,91,20180107,M,100,AED,66
M,20241019,INR,91,20241019,P,100,EUR,4
M,20200129,JPY,9,20200129,G,100,AUD,22
P,20231212,JPY,20,20231212,P,100,GBP,100
G,20181224,USD,2,20181224,B,100,AED,7
P,20200514,AED,57,20200514,P,100,GBP,93
G,20230810,INR,90,20230810,M,100,AED,64
B,20220604,SGD,20,20220604,G,100,CAD,90
G,20200519,INR,68,20200519,M,100,JPY,14
P,20220329,JPY,31,20220329,G,100,USD,2
G,20240115,JPY,86,20240115,P,100,AUD,66
P,20200607,EUR,25,20200607,G,100,USD,69
B,20181027,AUD,53,20181027,M,100,JPY,47
M,20230520,GBP,79,20230520,P,100,EUR,14
B,20220425,AUD,17,20220425,P,100,EUR,13
P,20210526,USD,41,20210526,G,100,EUR,32
B,20221108,AUD,22,20221108,M,100,SGD,85
B,20210425,AUD,43,20210425,M,100,SGD,50
B,20180607,INR,79,20180607,G,100,USD,55
P,20180321,GBP,93,20180321,B,100,SGD,71
G,20200210,AUD,23,20200210,B,100,EUR,34
G,20230815,EUR,77,20230815,B,100,AUD,54
M,20240112,INR,16,20240112,P,100,CAD,96
B,20220402,GBP,59,20220402,G,100,AUD,73
P,20191115,JPY,36,20191115,G,100,CAD,75
G,20240630,AED,65,20240630,G,100,EUR,5
P,20180524,INR,96,20180524,M,100,CAD,28
M,20240119,INR,27,20240119,M,100,USD,15
M,20211116,AUD,13,20211116,G,100,CAD,27
G,20190711,CAD,99,20190711,B,100,AUD,5
M,20240625,INR,53,20240625,G,100,CAD,28
P,20180520,EUR,6,20180520,G,100,INR,88
M,20220519,AUD,29,20220519,G,100,GBP,45
G,20240227,AED,75,20240227,M,100,EUR,37
B,20200329,USD,83,20200329,B,100,JPY,32
B,20181214,JPY,66,20181214,M,100,AED,10
M,20231229,AUD,80,20231229,G,100,USD,71
M,20210311,AUD,58,20210311,M,100,USD,58
B,20180416,USD,25,20180416,G,100,AUD,10
P,20191027,AUD,87,20191027,P,100,GBP,1
M,20230705,GBP,31,20230705,P,100,EUR,22
G,20210207,EUR,84,20210207,G,100,USD,58
P,20191009,JPY,24,20191009,B,100,AED,79
B,20240502,CAD,78,20240502,P,100,JPY,16
P,20240715,GBP,100,20240715,P,100,JPY,61
M,20180510,JPY,35,20180510,B,100,SGD,65
G,20230706,SGD,42,20230706,G,100,AED,2
M,20220404,SGD,41,20220404,P,100,CAD,37
M,20190819,CAD,67,20190819,P,100,INR,78
M,20181104,SGD,42,20181104,B,100,INR,3
P,20240918,AED,47,20240918,M,100,EUR,91
G,20230609,EUR,57,20230609,M,100,INR,44
B,20210527,AED,84,20210527,P,100,GBP,2
G,20210409,AED,28,20210409,M,100,GBP,14
P,20181114,SGD,68,20181114,B,100,USD,21
P,20240926,JPY,5,20240926,G,100,AUD,34
M,20180827,GBP,56,20180827,B,100,CAD,69
M,20230105,AED,35,20230105,P,100,CAD,5
G,20221119,AUD,44,20221119,P,100,INR,20
P,20190909,INR,97,20190909,M,100,EUR,97
P,20181005,INR,17,20181005,P,100,GBP,92
G,20190218,INR,4,20190218,B,100,EUR,13
M,20210106,USD,16,20210106,M,100,INR,14
G,20200305,JPY,95,20200305,G,100,INR,60
M,20190812,INR,73,20190812,G,100,CAD,25
B,20181231,JPY,42,20181231,B,100,EUR,59
M,20220418,JPY,9,20220418,B,100,CAD,62
B,20220813,SGD,75,20220813,G,100,INR,21
P,20200113,JPY,48,20200113,B,100,EUR,49
M,20240319,GBP,73,20240319,P,100,JPY,95
P,20231127,AED,64,20231127,M,100,GBP,24
B,20210611,CAD,70,20210611,P,100,JPY,84
P,20220531,AED,5,20220531,M,100,EUR,8
B,20210619,USD,29,20210619,G,100,AUD,61
G,20180308,USD,61,20180308,M,100,GBP,92
M,20190211,JPY,33,20190211,G,100,SGD,45
G,20210921,USD,2,20210921,G,100,SGD,65
P,20230723,AED,50,20230723,M,100,CAD,41
P,20240116,SGD,91,20240116,M,100,CAD,93
G,20241026,INR,61,20241026,G,100,AUD,4
B,20190912,GBP,80,20190912,M,100,AED,12
B,20220507,AED,81,20220507,G,100,JPY,8
P,20230321,EUR,89,20230321,P,100,CAD,77
G,20181130,GBP,97,20181130,P,100,CAD,38
P,20240719,SGD,22,20240719,M,100,INR,66
M,20230128,USD,74,20230128,B,100,CAD,18
B,20230910,EUR,29,20230910,P,100,AED,70
M,20230710,GBP,76,20230710,M,100,EUR,28
B,20241008,USD,35,20241008,P,100,INR,31
B,20180822,AED,83,20180822,G,100,EUR,99
P,20211111,CAD,96,20211111,P,100,AUD,43
G,20180119,JPY,27,20180119,B,100,GBP,4
B,20220105,AED,65,20220105,B,100,INR,63
G,20191126,USD,95,20191126,P,100,EUR,49
B,20240730,INR,60,20240730,M,100,GBP,45
B,20210202,EUR,53,20210202,G,100,JPY,53
B,20210409,JPY,81,20210409,M,100,EUR,31
P,20210316,JPY,68,20210316,P,100,USD,76
B,20180702,AED,79,20180702,B,100,SGD,43
P,20201010,GBP,83,20201010,M,100,JPY,87
G,20180709,JPY,40,20180709,M,100,AUD,30
G,20181220,SGD,90,20181220,G,100,CAD,37
G,20181125,GBP,56,20181125,M,100,EUR,87
B,20240430,AED,61,20240430,G,100,AUD,67
G,20220510,JPY,67,20220510,B,100,EUR,34
P,20210113,AED,24,20210113,M,100,USD,92
B,20240719,SGD,52,20240719,P,100,JPY,75
B,20230113,SGD,37,20230113,M,100,GBP,48
B,20191230,AED,87,20191230,P,100,EUR,2
P,20180617,AED,8,20180617,P,100,JPY,48
M,20181114,USD,24,20181114,B,100,AUD,34
G,20180508,INR,78,20180508,P,100,SGD,9
M,20231018,CAD,78,20231018,G,100,INR,61
B,20201224,EUR,80,20201224,B,100,USD,48
B,20240119,JPY,94,20240119,M,100,INR,58
G,20190304,AUD,23,20190304,G,100,INR,74
P,20220515,SGD,55,20220515,B,100,EUR,44
B,20200103,CAD,72,20200103,G,100,EUR,16
B,20230811,AUD,97,20230811,P,100,GBP,22
B,20190909,EUR,31,20190909,G,100,CAD,4
M,20190502,JPY,18,20190502,P,100,GBP,23
G,20180303,EUR,43,20180303,M,100,JPY,3
G,20190705,SGD,3,20190705,B,100,GBP,24
M,20210722,SGD,85,20210722,M,100,AED,79
M,20190415,CAD,81,20190415,G,100,GBP,80
G,20200521,EUR,96,20200521,M,100,CAD,84
P,20221225,EUR,86,20221225,M,100,JPY,94
P,20190522,AED,24,20190522,P,100,INR,84
P,20210927,INR,29,20210927,M,100,AUD,25
M,20211207,AED,62,20211207,P,100,USD,13
P,20200119,INR,74,20200119,G,100,AED,54
M,20220124,USD,79,20220124,B,100,EUR,6
M,20200315,INR,43,20200315,B,100,JPY,32
G,20221127,CAD,14,20221127,G,100,AED,47
M,20190304,JPY,60,20190304,P,100,AUD,34
P,20191004,EUR,95,20191004,B,100,AUD,43
P,20190504,EUR,40,20190504,M,100,USD,89
P,20200915,INR,74,20200915,B,100,JPY,67
G,20180927,CAD,98,20180927,M,100,AUD,51
M,20200327,USD,67,20200327,M,100,JPY,20
P,20180313,EUR,82,20180313,B,100,GBP,82
B,20200423,SGD,20,20200423,M,100,CAD,55
B,20180228,JPY,31,20180228,B,100,USD,19
G,20230601,GBP,52,20230601,G,100,AUD,61
G,20201212,USD,68,20201212,G,100,GBP,1
P,20210826,JPY,32,20210826,B,100,CAD,44
M,20210206,USD,17,20210206,G,100,GBP,78
B,20180412,JPY,36,20180412,G,100,CAD,69
P,20180203,JPY,83,20180203,B,100,AUD,18
M,20180816,INR,65,20180816,P,100,JPY,78
G,20240424,SGD,91,20240424,M,100,AUD,34
G,20231120,INR,61,20231120,B,100,USD,52
G,20230304,AED,77,20230304,G,100,EUR,25
M,20230902,SGD,3,20230902,G,100,INR,23
P,20220110,INR,75,20220110,B,100,USD,86
M,20230403,JPY,58,20230403,G,100,CAD,4
G,20220302,SGD,29,20220302,B,100,USD,9
B,20180205,CAD,50,20180205,M,100,USD,32
P,20220303,AUD,92,20220303,G,100,JPY,81
M,20210909,AED,64,20210909,G,100,INR,63
P,20210120,SGD,92,20210120,P,100,USD,41
P,20240826,JPY,17,20240826,P,100,AUD,70
M,20230320,SGD,13,20230320,P,100,GBP,94
B,20200228,AED,29,20200228,B,100,EUR,23
P,20211222,AED,1,20211222,P,100,GBP,93
M,20201213,JPY,23,20201213,M,100,AUD,44
B,20210125,JPY,15,20210125,P,100,CAD,99
P,20180212,INR,94,20180212,P,100,AED,92
B,20210719,SGD,31,20210719,G,100,GBP,75
M,20240824,AED,20,20240824,M,100,USD,64
B,20230522,EUR,41,20230522,M,100,JPY,37
B,20230813,AED,69,20230813,M,100,SGD,87
M,20201025,AED,14,20201025,B,100,CAD,3
B,20231226,GBP,55,20231226,G,100,INR,38
M,20220911,GBP,64,20220911,P,100,EUR,20
G,20200612,AED,83,20200612,M,100,SGD,71
G,20191112,SGD,1,20191112,P,100,CAD,88
P,20190209,AED,79,20190209,G,100,EUR,34
G,20230508,AUD,73,20230508,B,100,CAD,98
B,20190716,INR,8,20190716,B,100,SGD,6
M,20190411,CAD,17,20190411,M,100,GBP,49
P,20200504,JPY,15,20200504,P,100,AUD,4
G,20221202,CAD,1,20221202,B,100,INR,39
M,20201124,USD,2,20201124,M,100,INR,12
G,20230424,CAD,18,20230424,B,100,JPY,33
M,20220310,EUR,56,20220310,B,100,AUD,48
P,20230802,EUR,55,20230802,G,100,AED,3
P,20220724,SGD,15,20220724,G,100,JPY,81
P,20211110,AED,93,20211110,G,100,GBP,49
B,20230415,USD,61,20230415,G,100,GBP,46
B,20240107,CAD,44,20240107,M,100,AUD,53
M,20220823,EUR,36,20220823,P,100,AED,12
P,20190322,JPY,51,20190322,B,100,AUD,86
G,20200905,USD,84,20200905,G,100,GBP,85
B,20190729,CAD,72,20190729,P,100,USD,95
B,20201226,SGD,83,20201226,G,100,CAD,92
P,20231017,CAD,23,20231017,P,100,USD,37
M,20221009,EUR,68,20221009,M,100,SGD,49
P,20180601,SGD,9,20180601,P,100,GBP,47
P,20191218,EUR,76,20191218,M,100,AED,43
P,20240226,EUR,46,20240226,G,100,INR,2
M,20240906,CAD,62,20240906,M,100,SGD,39
B,20200804,JPY,21,20200804,G,100,USD,13
B,20190114,USD,27,20190114,P,100,EUR,15
P,20221205,GBP,69,20221205,G,100,INR,66
B,20180813,CAD,35,20180813,G,100,EUR,53
M,20220501,AUD,11,20220501,M,100,GBP,68
G,20220218,EUR,22,20220218,G,100,SGD,91
G,20240914,USD,92,20240914,B,100,CAD,90
G,20220417,CAD,22,20220417,B,100,AUD,84
B,20200624,USD,14,20200624,M,100,EUR,44
B,20210523,GBP,7,20210523,G,100,INR,53
G,20200427,INR,16,20200427,P,100,AUD,26
B,20180405,CAD,51,20180405,B,100,AED,21
G,20180403,USD,43,20180403,M,100,JPY,24
G,20211215,INR,32,20211215,P,100,SGD,17
B,20210313,USD,99,20210313,M,100,INR,31
G,20200608,CAD,8,20200608,B,100,INR,41
G,20200120,EUR,92,20200120,M,100,SGD,94
B,20240112,EUR,76,20240112,B,100,INR,41
B,20210205,JPY,70,20210205,M,100,GBP,35
M,20240205,INR,26,20240205,M,100,JPY,15
P,20230323,GBP,98,20230323,M,100,SGD,3
B,20190128,EUR,31,20190128,M,100,AED,7
P,20241027,AUD,71,20241027,G,100,GBP,2
G,20221022,USD,21,20221022,G,100,EUR,11
G,20241031,SGD,34,20241031,M,100,INR,54
B,20211103,SGD,33,20211103,M,100,INR,7
P,20190316,CAD,1,20190316,P,100,GBP,19
P,20190206,EUR,47,20190206,P,100,GBP,49
P,20230705,JPY,73,20230705,G,100,INR,25
G,20200720,AUD,72,20200720,P,100,GBP,58
G,20190808,CAD,84,20190808,B,100,AED,40
P,20180720,JPY,38,20180720,B,100,AUD,57
P,20210104,EUR,35,20210104,M,100,JPY,92
P,20180729,SGD,6,20180729,M,100,JPY,66
P,20211202,GBP,43,20211202,P,100,AED,36
P,20221006,GBP,87,20221006,P,100,JPY,34
B,20210106,AUD,90,20210106,G,100,INR,71
B,20210721,USD,36,20210721,B,100,EUR,85
G,20191111,USD,2,20191111,B,100,CAD,10
G,20230903,EUR,70,20230903,P,100,CAD,26
B,20190629,CAD,64,20190629,G,100,JPY,48
B,20200503,SGD,16,20200503,P,100,INR,7
G,20180903,USD,28,20180903,G,100,INR,45
M,20180524,SGD,53,20180524,G,100,GBP,24
M,20180226,AED,60,20180226,B,100,AUD,72
M,20210723,AUD,26,20210723,P,100,INR,66
M,20220508,EUR,57,20220508,G,100,INR,83
B,20220508,USD,33,20220508,B,100,EUR,8
M,20240227,INR,26,20240227,B,100,AED,29
M,20230703,CAD,29,20230703,G,100,INR,29
P,20191003,EUR,50,20191003,G,100,USD,1
G,20201112,AED,56,20201112,G,100,CAD,87
P,20210416,JPY,73,20210416,G,100,EUR,72
G,20230505,SGD,14,20230505,G,100,JPY,74
G,20200718,CAD,83,20200718,G,100,JPY,73
P,20210719,GBP,37,20210719,P,100,EUR,53
P,20200214,CAD,3,20200214,G,100,JPY,92
M,20210710,EUR,7,20210710,B,100,USD,63
P,20210310,USD,70,20210310,G,100,SGD,83
G,20240704,JPY,33,20240704,G,100,INR,20
M,20210706,AED,90,20210706,P,100,AUD,17
P,20240801,USD,33,20240801,P,100,AUD,82
G,20200621,JPY,26,20200621,M,100,SGD,10
M,20191024,JPY,100,20191024,B,100,AUD,80
M,20180407,JPY,53,20180407,P,100,SGD,78
G,20190427,USD,22,20190427,B,100,JPY,60
G,20240819,INR,24,20240819,M,100,SGD,21
B,20201113,EUR,74,20201113,P,100,CAD,23
G,20200107,GBP,98,20200107,B,100,CAD,3
G,20180218,JPY,43,20180218,P,100,INR,86
M,20180106,JPY,92,20180106,B,100,AED,6
G,20190113,USD,92,20190113,M,100,AED,6
G,20210917,USD,16,20210917,B,100,INR,49
B,20190614,SGD,74,20190614,B,100,CAD,35
P,20191116,JPY,54,20191116,G,100,INR,86
G,20180728,AED,40,20180728,P,100,AUD,62
G,20241005,JPY,73,20241005,M,100,USD,17
M,20220715,AED,93,20220715,M,100,GBP,64
B,20221220,SGD,50,20221220,B,100,EUR,96
M,20221010,AED,54,20221010,G,100,AUD,89
G,20200204,SGD,96,20200204,B,100,GBP,44
M,20210329,CAD,78,20210329,M,100,JPY,13
P,20220331,EUR,74,20220331,M,100,USD,36
P,20180515,SGD,46,20180515,P,100,CAD,74
G,20240123,EUR,23,20240123,G,100,INR,92
B,20200407,USD,25,20200407,M,100,CAD,47
M,20240815,EUR,76,20240815,M,100,USD,96
P,20210526,JPY,60,20210526,M,100,CAD,96
M,20210404,SGD,41,20210404,G,100,AED,22
B,20230725,CAD,80,20230725,B,100,AUD,38
P,20240928,SGD,5,20240928,B,100,EUR,78
M,20180920,AED,56,20180920,P,100,GBP,72
M,20230702,JPY,97,20230702,P,100,GBP,63
M,20230215,GBP,29,20230215,G,100,AED,86
G,20180210,JPY,70,20180210,M,100,INR,97
P,20191017,GBP,56,20191017,P,100,SGD,18
G,20190510,USD,95,20190510,P,100,INR,86
B,20180313,GBP,70,20180313,G,100,CAD,68
M,20180202,JPY,56,20180202,B,100,SGD,8
M,20230814,USD,71,20230814,B,100,JPY,64
G,20180202,GBP,84,20180202,B,100,CAD,68
B,20230224,EUR,58,20230224,P,100,USD,63
M,20190223,AUD,46,20190223,P,100,INR,25
B,20180416,AED,41,20180416,P,100,JPY,43
B,20180804,USD,6,20180804,P,100,JPY,46
M,20181219,AUD,19,20181219,B,100,GBP,43
P,20200414,SGD,59,20200414,M,100,EUR,96
G,20190622,INR,28,20190622,M,100,AED,57
P,20240227,GBP,66,20240227,P,100,SGD,87
P,20240926,INR,65,20240926,P,100,JPY,70
M,20220407,SGD,85,20220407,B,100,AED,73
G,20210401,INR,94,20210401,P,100,GBP,38
P,20180818,AUD,53,20180818,G,100,USD,11
M,20201108,USD,9,20201108,B,100,JPY,53
P,20190428,JPY,36,20190428,M,100,SGD,32
G,20230211,AUD,100,20230211,B,100,CAD,49
B,20190105,USD,26,20190105,G,100,EUR,38
B,20181203,INR,94,20181203,B,100,CAD,11
M,20201211,SGD,64,20201211,B,100,EUR,83
B,20190203,SGD,45,20190203,M,100,AED,52
M,20210802,GBP,25,20210802,M,100,SGD,70
B,20220919,USD,94,20220919,G,100,INR,27
B,20180328,INR,56,20180328,G,100,EUR,18
M,20180628,AED,44,20180628,M,100,AUD,87
M,20190219,GBP,24,20190219,M,100,EUR,70
G,20180403,JPY,59,20180403,B,100,INR,33
P,20190514,USD,55,20190514,G,100,SGD,69
P,20180906,EUR,41,20180906,G,100,AUD,4
M,20220520,USD,18,20220520,G,100,EUR,57
P,20210402,GBP,84,20210402,M,100,AED,72
P,20190118,USD,53,20190118,B,100,AUD,97
P,20181101,INR,97,20181101,P,100,SGD,94
B,20220712,SGD,42,20220712,G,100,CAD,78
G,20210308,JPY,26,20210308,B,100,SGD,55
G,20230831,INR,60,20230831,B,100,EUR,94
B,20201119,GBP,52,20201119,B,100,CAD,11
G,20190506,AUD,38,20190506,P,100,USD,16
G,20210113,AUD,55,20210113,M,100,CAD,16
G,20210723,AUD,65,20210723,G,100,JPY,43
G,20201230,CAD,10,20201230,P,100,AED,34
B,20190503,USD,72,20190503,M,100,SGD,93
M,20210326,CAD,6,20210326,B,100,INR,38
G,20220402,USD,29,20220402,B,100,SGD,49
B,20211209,USD,73,20211209,M,100,AUD,47
G,20240411,EUR,68,20240411,B,100,AED,94
B,20191025,GBP,42,20191025,P,100,INR,57
G,20220430,CAD,85,20220430,B,100,GBP,9
P,20230907,JPY,92,20230907,M,100,SGD,60
P,20230308,SGD,21,20230308,M,100,GBP,44
P,20220721,GBP,31,20220721,G,100,JPY,99
M,20200328,USD,58,20200328,P,100,GBP,16
P,20220507,JPY,84,20220507,P,100,AED,91
P,20200621,EUR,33,20200621,G,100,JPY,95
P,20210209,USD,16,20210209,B,100,INR,53
B,20200730,AED,26,20200730,G,100,EUR,23
G,20200320,AUD,84,20200320,G,100,USD,88
G,20231125,USD,68,20231125,B,100,AED,56
M,20200307,GBP,16,20200307,P,100,EUR,24
B,20200511,EUR,91,20200511,M,100,USD,17
G,20210528,GBP,24,20210528,B,100,SGD,4
P,20201022,GBP,11,20201022,P,100,JPY,86
P,20240425,GBP,27,20240425,G,100,INR,59
M,20210922,INR,45,20210922,M,100,AUD,100
M,20230425,SGD,65,20230425,P,100,EUR,20
B,20231223,INR,55,20231223,B,100,GBP,68
G,20211011,INR,90,20211011,M,100,EUR,88
M,20200925,INR,27,20200925,B,100,JPY,49
P,20220221,USD,5,20220221,G,100,EUR,4
B,20230128,EUR,41,20230128,M,100,GBP,62
B,20181109,EUR,63,20181109,G,100,SGD,9
M,20230211,GBP,91,20230211,G,100,CAD,71
M,20200131,GBP,21,20200131,B,100,AUD,93
M,20230414,INR,7,20230414,M,100,EUR,38
P,20191111,INR,51,20191111,B,100,AUD,60
M,20200327,USD,40,20200327,P,100,AED,96
B,20190530,AUD,85,20190530,P,100,JPY,9
M,20230527,INR,65,20230527,P,100,GBP,5
P,20200807,SGD,6,20200807,M,100,USD,10
