AENAM,CEINM,CHARG,CHDLL,CHJIN,CHRUE,CINSM,CLABS,CRETM,CSPEM,CUMLM,CVMEI,CVMIN,CVMLA,CVMRE,CVMSP,CVMUM,ERNAM,ERSDA,HERKL,KZICE,KZICL,KZICQ,KZICS,KZVCE,KZVCL,KZVCQ,KZVCS,LAEDA,LFGJA,LFMON,LGORT,LVORM,MANDT,MATNR,SPERC,WERKS
wmelendez,139.735,B237241399,20250214,2024,X,238.258,3103.631,47.156,112.598,432.247,114.415,220.632,3012.144,38.902,96.902,398.129,xmoreno,20251110,DE,"","","","","","","","",20250808,2022,06,S066,"",100,550001135024679995,X,P007
jeffrey60,9.857,B476985784,20240301,2023,X,13.265,201.797,1.213,3.674,24.843,8.822,11.46,197.464,1.032,3.361,22.307,martha24,20251202,IN,"","","","","","","","",20240626,2026,05,S023,"",100,428266166766886024,X,P003
uvilla,65.484,B737606592,20250226,2025,X,215.698,2672.394,24.576,98.68,390.091,53.601,199.364,2588.086,20.044,83.175,347.649,valvarez,20260109,DE,"","","","","","","","",20251115,2026,05,S071,"",100,182407550192992074,"",P014
jonevans,155.232,B164994952,20230918,2024,"",164.742,3684.902,71.542,104.667,290.035,135.569,139.304,3402.341,64.786,94.901,272.999,bernardmarti,20240127,CN,"","","","","","","","",20241203,2023,12,S064,"",100,882426386060502169,X,P035
chelsea70,95.371,B189387077,20240116,2022,X,159.965,3050.502,35.675,93.047,171.971,78.215,131.334,2754.798,29.539,76.557,150.671,josephwatson,20240519,US,"","","","","","","","",20240920,2025,06,S031,"",100,244310580872687961,X,P018
ssullivan,31.747,B552266153,20240614,2025,"",49.252,2041.271,26.327,92.076,343.725,27.699,42.248,1816.681,24.93,77.087,290.652,wilsonalliso,20231127,DE,"","","","","","","","",20230924,2025,12,S010,"",100,882771680712665452,X,P009
reginapadill,46.807,B740153536,20240102,2026,"",56.687,1093.629,11.186,34.089,164.406,37.468,48.224,1018.257,9.149,30.558,136.798,marthabrown,20240222,IN,"","","","","","","","",20250923,2025,07,S018,"",100,747155521848718170,"",P049
william56,68.561,B131021299,20241103,2026,X,105.94,1823.291,33.072,56.596,176.825,59.908,87.335,1710.986,28.991,48.083,167.035,holmestyler,20260121,DE,"","","","","","","","",20250504,2024,10,S018,"",100,156785219106876295,"",P046
raven52,63.575,B349093383,20240906,2024,"",192.568,3382.152,37.677,63.493,379.99,58.748,164.033,3160.294,35.373,57.16,342.161,diazkyle,20250427,IN,"","","","","","","","",20241030,2026,07,S009,"",100,159483427546720834,X,P042
kristinsoto,52.066,B877681089,20230624,2026,"",94.74,1881.387,29.071,36.774,312.949,42.128,83.01,1730.475,26.174,31.745,267.807,anneford,20241002,IN,"","","","","","","","",20240327,2024,05,S059,"",100,670543159288904481,"",P011
williamarnol,4.083,B956711758,20240509,2023,"",13.951,206.996,3.772,9.979,28.884,3.678,12.806,180.049,3.302,8.267,26.87,lbuchanan,20260103,CN,"","","","","","","","",20250402,2022,03,S088,"",100,509819093840426597,X,P020
nmartinez,71.317,B528010526,20241205,2023,"",236.703,2497.428,42.651,43.912,149.122,65.697,194.775,2225.196,36.721,38.616,128.992,ryanvincent,20240907,IN,"","","","","","","","",20251120,2022,02,S076,"",100,989794338109107781,X,P050
holdendawn,18.562,B811033761,20250223,2024,X,13.49,439.404,6.001,20.465,58.479,17.292,12.709,409.914,4.954,18.528,50.191,michelle04,20240513,CN,"","","","","","","","",20250118,2022,10,S027,"",100,395218633129668179,X,P026
guerrawillia,144.163,B358898693,20250813,2023,X,85.617,3016.8,53.704,100.9,187.972,132.245,68.774,2614.981,45.975,89.196,171.143,lauriemullen,20241018,CN,"","","","","","","","",20240305,2025,11,S080,"",100,749138284325830162,X,P016
anntate,38.551,B103025416,20240710,2026,X,104.97,2314.442,15.256,35.301,213.772,34.06,84.604,2025.134,13.361,32.532,180.341,hjenkins,20250507,DE,"","","","","","","","",20251003,2023,12,S056,"",100,696663664986202592,X,P040
paula88,154.238,B515780217,20240625,2026,"",322.525,3785.126,23.826,169.612,268.323,141.848,266.195,3414.464,21.635,150.651,216.625,greendale,20240922,DE,"","","","","","","","",20230723,2024,01,S094,"",100,937109630696393701,"",P005
george08,43.609,B320637493,20230703,2023,X,94.868,1263.143,8.581,37.012,70.94,36.236,85.903,1189.035,7.461,31.627,66.985,lewisamanda,20240415,CN,"","","","","","","","",20240913,2026,08,S014,"",100,630853652782361336,"",P045
michellevarg,46.993,B844444116,20240306,2025,X,109.407,1391.914,13.09,18.322,102.614,38.892,90.814,1203.964,11.944,15.745,96.638,kathryn99,20240822,CN,"","","","","","","","",20241210,2024,02,S098,"",100,136184167247032111,X,P007
jasmine39,69.438,B672188647,20250224,2024,"",395.801,4640.751,84.097,166.924,572.253,62.004,374.775,4087.578,78.83,135.672,512.387,zparks,20231227,IN,"","","","","","","","",20240506,2026,05,S028,"",100,915157229713750368,"",P034
christopher3,85.529,B936354771,20230522,2025,"",139.835,1867.793,30.82,19.184,359.982,80.403,119.464,1763.339,27.939,15.715,329.633,sarah83,20230907,DE,"","","","","","","","",20240223,2024,08,S094,"",100,401393808516176884,"",P026
tuckeralan,121.062,B615232548,20240602,2022,X,224.122,4143.794,64.363,109.875,705.173,110.384,207.286,3646.238,58.332,100.323,643.395,richard17,20230520,DE,"","","","","","","","",20240922,2026,08,S092,"",100,205985846211642555,X,P041
vharris,127.345,B825628724,20240612,2026,X,136.504,3437.544,64.04,91.627,335.567,120.294,115.268,3312.42,53.5,82.789,281.487,xavierrobbin,20230605,IN,"","","","","","","","",20250115,2024,05,S041,"",100,721705053648159041,X,P004
dixonlarry,74.787,B750263741,20231205,2022,X,132.038,2569.156,32.545,93.708,502.814,60.593,112.033,2495.991,29.818,78.609,474.137,williamorr,20240713,US,"","","","","","","","",20241104,2024,06,S080,"",100,473867344173670003,X,P050
tonywoods,102.057,B123548748,20231106,2024,X,182.557,4878.966,37.285,61.336,865.031,85.98,166.266,4265.904,33.734,51.773,735.129,pcruz,20240518,CN,"","","","","","","","",20250806,2025,09,S050,"",100,334716303142386246,X,P012
mcbridejenni,213.375,B158444240,20230624,2023,"",456.262,4939.49,55.627,234.817,318.682,177.064,398.456,4604.946,52.127,192.588,280.245,kenneth59,20240809,DE,"","","","","","","","",20250624,2024,01,S060,"",100,487825607636127194,"",P024
timothy49,53.543,B271549976,20240509,2024,X,132.745,1989.523,36.963,58.62,238.772,47.022,124.098,1860.237,31.651,50.48,199.758,marcuscollin,20250412,IN,"","","","","","","","",20250528,2022,11,S071,"",100,228119680111535652,X,P039
thomas34,105.205,B827943288,20240310,2026,"",287.735,3542.265,46.002,49.364,617.978,97.074,252.631,3030.735,39.571,40.71,548.332,jreilly,20250206,US,"","","","","","","","",20250609,2023,11,S020,"",100,559135951399685521,"",P033
allisoncalde,88.415,B498069908,20250523,2023,"",241.617,3592.155,41.377,52.417,475.716,75.941,227.832,3163.335,34.804,45.038,434.481,kimberly09,20250124,IN,"","","","","","","","",20241217,2024,06,S087,"",100,610946141156980393,X,P002
nathansosa,42.38,B662675815,20240413,2022,X,217.991,2259.719,38.897,63.208,210.847,37.411,185.966,2151.172,36.76,56.401,174.184,zgraham,20250531,CN,"","","","","","","","",20260116,2025,09,S042,"",100,236091103996382351,X,P004
douglas45,61.12,B958170015,20251027,2022,"",132.393,1517.248,23.32,49.04,119.147,50.122,116.069,1404.044,20.515,41.786,98.488,pricepamela,20240626,US,"","","","","","","","",20240722,2024,12,S027,"",100,166912385790240747,X,P010
andrew95,161.886,B234303861,20241126,2023,"",207.392,3892.301,37.408,40.065,720.714,132.603,196.376,3555.234,34.956,33.228,615.718,davieskriste,20250127,IN,"","","","","","","","",20241207,2024,03,S003,"",100,996810082846429752,X,P047
tcarney,50.151,B261146209,20250529,2026,X,96.514,1265.507,7.438,19.607,183.303,43.539,85.006,1232.927,6.449,18.366,151.87,hromero,20240919,US,"","","","","","","","",20250605,2026,07,S056,"",100,326127460703676291,X,P034
zhunt,52.672,B508697217,20250830,2024,"",142.516,3933.357,40.077,103.112,564.841,43.913,120.444,3653.489,32.064,87.739,515.972,seanchan,20260131,IN,"","","","","","","","",20250712,2024,01,S007,"",100,765099751396835840,"",P037
cindy51,15.808,B434922843,20231025,2022,"",24.546,1107.549,10.624,41.013,164.22,14.791,22.276,1033.789,8.724,36.932,133.208,elizabethlop,20250809,CN,"","","","","","","","",20250126,2023,04,S048,"",100,811574981550965802,"",P002
bchapman,34.892,B577609120,20241230,2026,X,82.557,1130.251,7.107,17.177,168.304,31.655,66.724,1046.357,6.12,15.51,140.436,mistylogan,20250418,IN,"","","","","","","","",20231218,2024,11,S016,"",100,212008500942067481,X,P004
maryatkins,71.319,B476285480,20240407,2026,"",94.913,1445.6,10.404,22.828,219.81,60.085,81.163,1265.821,9.502,20.501,192.026,boyerlaura,20230813,IN,"","","","","","","","",20241227,2024,05,S022,"",100,528265816752904963,"",P047
wellssusan,64.384,B482789761,20230620,2022,X,105.071,1544.815,8.094,45.817,239.881,59.992,99.242,1424.101,7.296,37.429,193.781,josephbrown,20240308,DE,"","","","","","","","",20240624,2022,08,S091,"",100,427012876046848205,"",P039
laura71,16.857,B514946899,20230520,2022,X,60.814,1080.987,8.318,53.578,65.952,15.663,52.386,970.89,7.86,47.045,62.462,nataliehaley,20241120,US,"","","","","","","","",20240125,2024,03,S024,"",100,597662117685430936,X,P014
william72,46.874,B460830043,20241013,2024,"",86.528,3304.149,55.076,57.529,289.717,42.624,77.811,2823.116,49.91,49.51,262.059,ijuarez,20240222,DE,"","","","","","","","",20240829,2026,04,S053,"",100,514626023260068418,"",P047
tammy33,31.847,B120111665,20240727,2022,X,145.74,2626.495,30.092,69.254,344.973,27.408,120.833,2557.603,27.014,64.245,302.685,nicolasraymo,20250408,IN,"","","","","","","","",20240114,2024,04,S030,"",100,652799516063222491,X,P034
alexanderson,45.733,B880935538,20231017,2022,X,69.251,2359.192,40.6,36.197,135.72,37.888,64.705,2009.255,33.547,30.092,116.712,parkeralexan,20241023,IN,"","","","","","","","",20260111,2026,03,S011,"",100,791310472500645208,X,P044
austinnichol,73.922,B629719697,20250321,2024,X,116.784,1552.371,18.753,24.875,242.705,61.119,105.05,1513.217,15.37,23.16,226.102,pcraig,20230714,IN,"","","","","","","","",20240909,2022,06,S016,"",100,102447907747516109,X,P032
medinalaura,64.585,B935179422,20240402,2024,"",42.591,1522.533,29.124,43.056,177.398,60.846,38.482,1311.579,24.605,34.517,144.93,fdavenport,20241118,DE,"","","","","","","","",20240316,2025,03,S058,"",100,238117652199746717,X,P041
elizabethhur,35.79,B758103632,20250126,2022,"",66.432,1156.064,19.423,52.803,187.151,29.442,58.929,1059.493,16.691,44.994,156.243,alexandraguz,20251029,US,"","","","","","","","",20250916,2024,01,S048,"",100,326887566340285267,X,P042
kristencarte,73.076,B399393312,20231018,2023,"",87.53,3993.85,51.343,87.263,638.275,65.129,82.853,3552.865,42.377,72.141,516.488,ohill,20251110,CN,"","","","","","","","",20240703,2026,08,S099,"",100,236829425687545146,X,P027
fernando98,82.097,B717566385,20241223,2023,X,139.351,3013.687,20.043,108.162,377.163,76.076,115.022,2660.448,17.374,95.601,329.917,oconnellgina,20251228,CN,"","","","","","","","",20230727,2026,07,S079,"",100,517360273295095743,"",P048
gblake,60.494,B286421910,20250329,2026,"",128.337,3479.3,55.302,106.794,400.561,51.879,117.926,3131.664,44.666,99.443,367.512,markbriggs,20240928,DE,"","","","","","","","",20240501,2026,05,S021,"",100,497494359188288828,"",P014
ulee,48.064,B143546114,20250712,2026,"",31.348,1014.829,12.119,40.687,148.131,44.012,25.166,932.289,10.842,34.733,123.542,tammymalone,20240201,IN,"","","","","","","","",20251112,2025,02,S007,"",100,468719638692182213,X,P023
cheryljones,4.499,B511547770,20251201,2022,X,26.812,355.052,2.021,11.056,21.394,4.163,24.861,317.825,1.719,9.372,17.481,rmann,20250624,CN,"","","","","","","","",20250518,2026,07,S066,"",100,233142282727543547,X,P024
ruben33,37.739,B761583892,20240104,2025,"",114.294,1250.868,17.822,23.309,72.077,31.717,107.587,1117.491,14.714,21.558,66.392,robertellis,20230729,CN,"","","","","","","","",20240521,2022,05,S034,"",100,463768956656050495,X,P018
npratt,98.163,B641048256,20240809,2023,"",196.606,3965.779,52.822,143.909,749.078,87.737,182.914,3454.745,48.569,121.094,648.703,evanstammy,20240130,DE,"","","","","","","","",20250726,2024,09,S069,"",100,804382799849648061,X,P037
dennisflores,7.07,B295355908,20241207,2026,X,43.438,666.604,7.289,25.469,114.965,6.486,38.319,619.018,6.858,21.355,95.09,carlsonrebec,20240730,US,"","","","","","","","",20241221,2024,09,S040,"",100,918298113024537849,"",P042
bcrawford,102.322,B890860499,20240829,2022,X,165.676,2791.424,24.8,132.904,167.956,89.929,156.576,2620.5,20.845,121.691,136.892,ecollins,20250814,IN,"","","","","","","","",20240724,2025,02,S058,"",100,893029308017398799,"",P010
lawrence99,39.201,B799003408,20240706,2025,"",180.595,2626.935,44.863,53.859,478.119,33.634,157.63,2451.793,37.359,45.606,432.044,heatherphill,20240306,DE,"","","","","","","","",20240511,2022,10,S028,"",100,994209008196344645,"",P016
higginsdanie,4.724,B577209644,20251214,2023,X,4.034,106.031,2.041,5.031,17.758,4.093,3.492,94.61,1.802,4.126,16.834,sharonbrown,20240903,IN,"","","","","","","","",20260206,2023,02,S088,"",100,400765668993159051,X,P042
allison78,71.693,B840531269,20230702,2023,X,115.768,2241.425,13.812,62.822,291.769,60.914,95.943,2182.204,12.602,57.391,251.705,loneill,20260101,CN,"","","","","","","","",20251228,2024,07,S070,"",100,120450816540281984,X,P022
lyonskara,29.235,B938970675,20240115,2024,X,114.481,1285.52,18.947,60.691,127.139,24.11,103.451,1124.764,17.936,54.177,115.296,henry83,20241029,IN,"","","","","","","","",20250219,2022,12,S007,"",100,277771725225024736,X,P010
erikasmith,37.454,B652366954,20250711,2026,X,77.867,1482.768,27.733,60.513,170.399,33.26,64.816,1334.869,23.348,56.846,136.714,xlucas,20250405,CN,"","","","","","","","",20250409,2024,04,S031,"",100,185442266192403862,X,P026
shawkristen,83.323,B750933196,20250312,2026,X,63.796,2487.347,17.149,27.581,319.883,78.395,51.682,2267.559,16.251,25.158,300.514,kgross,20240618,CN,"","","","","","","","",20250106,2024,08,S049,"",100,600111084133671973,X,P028
hsmith,82.68,B144597968,20251122,2022,"",147.963,3071.881,49.096,134.386,211.339,77.263,140.292,2841.42,42.267,126.524,176.38,matthew91,20250223,IN,"","","","","","","","",20230720,2023,11,S055,"",100,371086325306320535,X,P043
christopherh,114.452,B401935119,20240822,2026,"",171.307,3582.624,70.322,75.243,680.693,106.344,137.94,3116.66,60.016,67.402,643.741,williamnguye,20250119,IN,"","","","","","","","",20250425,2022,01,S089,"",100,699509959240652240,"",P029
kevin09,49.404,B724013059,20250516,2023,"",379.498,4737.711,47.584,227.126,243.866,40.712,317.07,4204.148,39.314,190.734,198.936,amygarcia,20230803,US,"","","","","","","","",20231217,2023,10,S095,"",100,103634644291032384,X,P008
christy39,150.563,B529926680,20250623,2026,"",184.203,3432.409,48.902,51.999,560.057,131.751,164.98,3066.029,45.293,47.007,502.339,skeller,20231208,US,"","","","","","","","",20240603,2023,03,S004,"",100,768122274454308813,X,P012
pgrant,49.67,B366626206,20250128,2025,X,32.598,1496.685,28.921,29.863,85.133,44.39,27.573,1378.451,23.222,24.629,69.157,gbaxter,20250423,US,"","","","","","","","",20240224,2025,09,S080,"",100,297875078672307954,X,P049
sherriwaller,60.313,B199623205,20240401,2026,X,201.773,2543.503,14.493,35.528,343.301,49.601,175.001,2452.407,13.679,32.281,297.961,krobertson,20250329,IN,"","","","","","","","",20230918,2025,06,S081,"",100,615860881343472519,X,P041
owest,101.556,B136285287,20240419,2024,X,315.643,3239.097,42.117,33.485,299.17,88.012,270.751,3156.892,38.971,26.822,255.856,cantucourtne,20240407,IN,"","","","","","","","",20241003,2022,03,S085,"",100,813102352913120597,"",P026
john66,203.288,B765495636,20230621,2024,X,446.767,4753.849,28.886,135.737,502.785,179.872,364.136,4494.004,24.692,117.985,451.98,hhicks,20240804,CN,"","","","","","","","",20231020,2026,06,S015,"",100,196884716989328590,"",P048
ajames,89.808,B505669416,20250626,2023,"",185.575,1959.152,16.325,69.776,141.914,83.96,158.054,1735.901,15.26,56.087,133.089,jday,20251210,DE,"","","","","","","","",20251013,2025,12,S043,"",100,477311908251471309,"",P046
jacobrodrigu,39.165,B684826260,20260101,2025,X,133.651,1498.477,11.664,63.049,122.679,34.746,122.194,1342.855,9.73,56.64,112.384,eric25,20240801,IN,"","","","","","","","",20231004,2022,03,S020,"",100,811852432577160700,"",P037
allenwilson,140.347,B825515508,20250628,2024,X,445.441,4590.846,33.782,72.622,600.238,130.349,412.323,4109.744,30.308,61.43,514.159,daniel54,20250131,DE,"","","","","","","","",20240703,2022,04,S060,"",100,563500717389597615,X,P014
jason51,96.271,B832932399,20240203,2022,"",277.379,4044.706,49.858,161.108,713.238,83.812,229.904,3830.746,45.327,145.664,676.222,kimberly17,20250501,CN,"","","","","","","","",20241120,2022,11,S096,"",100,837752469432619970,X,P009
dgallegos,92.533,B630462166,20250126,2023,"",109.492,3274.436,48.457,55.776,173.333,80.855,102.26,2834.801,44.847,52.225,154.932,jenkinsjoshu,20250804,DE,"","","","","","","","",20241130,2023,02,S069,"",100,267118094636185746,X,P016
kimberlytate,140.779,B467853271,20241111,2024,"",188.276,3718.667,44.906,151.157,621.438,115.459,161.255,3378.38,42.301,123.671,563.433,kurtstephens,20240911,CN,"","","","","","","","",20240212,2022,04,S038,"",100,199050896376643826,X,P038
rebeccalynch,99.605,B468574065,20260104,2023,X,105.95,3037.016,27.993,59.769,402.801,89.499,86.341,2719.212,25.055,55.189,381.777,sean42,20231101,US,"","","","","","","","",20240120,2022,02,S087,"",100,762187384374606317,"",P044
qhubbard,205.358,B499486609,20260209,2026,X,272.541,4744.876,93.301,218.01,769.96,180.753,255.891,4391.417,77.187,194.095,686.139,moralesdenni,20250629,IN,"","","","","","","","",20250927,2025,03,S028,"",100,792648523383721992,X,P039
lawrenceorti,79.398,B502888773,20240211,2026,X,399.947,4469.33,69.275,214.422,456.823,63.776,335.674,4290.98,61.697,190.981,422.316,trantracey,20240405,CN,"","","","","","","","",20240331,2025,05,S099,"",100,439508278067605673,X,P022
troyjohnson,36.393,B441898484,20240627,2026,"",216.234,2663.284,13.875,119.781,378.486,33.421,205.347,2363.47,11.37,105.578,306.947,lopeztracey,20250119,IN,"","","","","","","","",20260126,2025,05,S068,"",100,794397801840807584,X,P025
bryantsergio,52.426,B552970957,20230921,2024,"",80.918,1077.311,18.14,20.318,198.292,49.216,67.075,916.197,14.592,18.12,184.565,wardallison,20250825,DE,"","","","","","","","",20230721,2022,07,S041,"",100,818233939817511834,X,P039
vlawrence,49.788,B684009908,20250625,2023,X,25.003,1243.175,15.946,18.538,107.019,45.028,21.08,1151.538,15.126,15.702,91.133,andrew46,20250602,US,"","","","","","","","",20240221,2023,08,S016,"",100,450048397669465522,"",P032
uhoover,95.215,B661442842,20241109,2023,X,75.178,2472.397,27.612,67.104,412.21,77.003,61.358,2191.715,22.969,62.604,356.09,williamsjame,20250619,IN,"","","","","","","","",20250401,2026,04,S099,"",100,874132919522273961,"",P018
markross,73.016,B882436365,20240828,2025,X,90.651,2895.213,30.654,101.071,532.782,59.417,83.29,2789.785,25.263,87.467,427.756,hknight,20241011,CN,"","","","","","","","",20251020,2022,07,S048,"",100,616441489876296545,X,P032
butlereric,64.421,B377699510,20260105,2023,X,213.071,4532.565,78.669,182.205,797.295,53.617,193.23,4097.464,66.092,161.68,705.717,erin78,20230623,DE,"","","","","","","","",20240408,2023,02,S098,"",100,906900640575423631,"",P026
vincentclark,19.664,B598677949,20231004,2025,"",48.6,912.269,15.186,24.064,178.781,18.126,43.071,877.492,13.683,19.506,154.169,dwilliams,20241203,DE,"","","","","","","","",20231201,2025,11,S025,"",100,346778977462198469,X,P022
aliciahuang,9.804,B106914840,20230614,2025,"",6.833,202.159,4.018,8.569,24.094,8.715,5.737,180.56,3.801,8.081,22.812,vsmith,20240506,IN,"","","","","","","","",20251101,2025,06,S098,"",100,454543664487392339,X,P040
noahgarcia,77.043,B340201957,20230731,2022,X,99.451,2314.74,33.129,77.642,122.412,65.405,81.143,1998.28,30.69,70.648,105.41,lholden,20230629,IN,"","","","","","","","",20260125,2024,02,S061,"",100,919755849211911844,"",P020
nlyons,66.759,B282984057,20240525,2023,"",266.656,3027.318,37.115,55.699,367.771,59.048,228.27,2749.56,33.145,50.322,334.285,haneychristo,20240527,US,"","","","","","","","",20240207,2022,06,S052,"",100,959450747291682730,"",P001
lopezsydney,10.811,B280210072,20250425,2022,"",22.187,339.83,5.758,8.21,19.816,10.237,20.199,326.049,5.077,6.968,18.089,welchsuzanne,20251216,IN,"","","","","","","","",20251110,2025,11,S033,"",100,747163619511576041,"",P013
andrew59,56.985,B765322087,20241002,2023,"",114.155,1511.867,8.435,45.387,233.42,46.659,105.654,1299.224,7.507,36.449,214.437,brownkrystal,20240129,US,"","","","","","","","",20240728,2025,07,S010,"",100,571742185268091530,X,P001
ujones,131.033,B587388885,20240825,2025,X,153.942,3125.359,59.709,88.856,289.586,117.085,123.659,2769.381,56.613,81.503,252.717,maria46,20240207,IN,"","","","","","","","",20231008,2022,08,S072,"",100,140352601075018745,"",P019
wayneosborne,4.686,B777424478,20251106,2024,"",25.571,382.194,4.61,15.753,21.193,4.219,22.829,361.782,4.0,12.658,19.837,aguilarjason,20231112,IN,"","","","","","","","",20250610,2022,07,S039,"",100,155865245165068978,"",P022
david70,9.385,B914010555,20250810,2024,"",19.82,209.348,2.132,7.921,23.268,7.52,18.035,186.399,1.995,6.39,22.055,kprice,20241020,DE,"","","","","","","","",20251015,2023,10,S027,"",100,281138591281337601,X,P047
millerdale,37.303,B897723439,20231014,2026,"",234.261,2959.393,24.899,51.324,560.486,30.508,209.829,2792.623,23.22,44.906,488.76,vmills,20240712,CN,"","","","","","","","",20231107,2025,06,S017,"",100,760478989929242902,"",P029
mjohnson,49.528,B131242708,20230701,2026,"",129.225,2106.924,40.38,41.408,194.506,43.999,115.912,1934.001,35.66,36.781,182.643,daniel23,20240224,CN,"","","","","","","","",20250215,2024,09,S093,"",100,888721524821855158,"",P042
tford,14.54,B793746888,20240618,2023,"",18.821,610.717,3.982,26.48,81.156,13.7,17.647,578.296,3.736,21.235,75.605,janetdomingu,20250201,DE,"","","","","","","","",20240405,2024,02,S084,"",100,270322582065391338,X,P020
rachel98,97.468,B216271800,20240804,2022,X,269.335,2823.274,38.307,136.911,217.212,82.856,228.102,2690.182,30.89,128.167,175.162,dawn21,20251126,IN,"","","","","","","","",20230809,2022,10,S054,"",100,550889520523339834,X,P025
zwalker,37.862,B782760842,20250701,2023,X,75.495,1320.759,21.577,17.746,201.643,30.657,63.97,1192.383,20.365,16.478,182.902,paulapena,20240628,DE,"","","","","","","","",20240521,2025,12,S065,"",100,391925152629713393,"",P027
peggy94,120.343,B827710795,20251029,2025,"",334.087,4018.914,44.556,189.729,410.242,108.792,315.74,3903.967,40.585,176.377,360.743,gonzalezmarc,20240520,CN,"","","","","","","","",20241103,2022,04,S035,"",100,320242202746557841,"",P038
martinezeliz,59.119,B982718185,20250710,2024,X,193.737,2085.102,25.09,61.685,220.069,50.286,169.505,1908.97,23.674,50.131,182.434,barbaralewis,20241122,US,"","","","","","","","",20250715,2022,08,S059,"",100,639859585571389405,X,P006
mary64,69.725,B422043866,20230811,2023,X,301.003,3350.436,44.239,85.077,667.897,60.981,245.283,3083.933,41.814,79.404,542.598,mpayne,20251216,DE,"","","","","","","","",20240508,2024,01,S070,"",100,313897679023159834,X,P034
christopherr,38.792,B747417139,20240716,2026,"",305.58,3819.428,24.22,190.197,659.204,36.681,280.684,3643.968,22.526,159.719,603.058,christopher4,20250609,DE,"","","","","","","","",20251010,2022,10,S031,"",100,191024372816675451,"",P026
travis08,66.656,B413611611,20230928,2024,X,98.527,1705.476,29.248,77.153,326.719,58.659,81.668,1638.555,27.502,64.927,265.365,hansenwillia,20241205,US,"","","","","","","","",20230923,2025,07,S049,"",100,206797365467523755,X,P006
danielsjasmi,89.902,B965754515,20240220,2024,X,106.573,2504.934,25.029,36.622,441.105,83.647,88.224,2190.24,22.505,31.595,362.01,anne22,20251102,CN,"","","","","","","","",20230809,2024,01,S012,"",100,952939027915069192,X,P003
cooleycarrie,7.072,B311935271,20241012,2026,"",39.303,592.894,10.57,6.083,79.826,6.288,32.207,558.708,8.788,4.883,70.099,ogonzalez,20231116,CN,"","","","","","","","",20230921,2023,02,S019,"",100,656302139412081757,"",P002
jameswalker,27.879,B760443909,20241210,2023,X,51.737,666.628,10.315,18.047,44.853,23.492,42.135,609.599,9.535,14.479,36.932,randallpalme,20231107,CN,"","","","","","","","",20240123,2024,12,S054,"",100,204354404470804335,X,P048
smithchloe,50.131,B615847373,20250509,2024,X,97.167,1454.943,20.241,32.243,137.048,41.08,81.554,1343.575,17.966,27.11,126.157,brennancolto,20231024,US,"","","","","","","","",20241107,2022,12,S016,"",100,581732589728246924,"",P029
anthonyedwar,44.429,B380630429,20250311,2023,X,136.058,3037.081,39.71,85.344,289.54,38.65,109.622,2960.456,36.971,69.301,251.87,johnsonaaron,20240406,CN,"","","","","","","","",20230817,2026,06,S067,"",100,678315519484384051,X,P047
flee,20.264,B183247334,20240809,2026,X,36.347,613.733,3.315,23.26,90.965,17.885,32.941,566.461,3.142,20.586,79.136,eguerrero,20231028,CN,"","","","","","","","",20250608,2023,09,S100,"",100,395406288981599381,X,P032
qmontgomery,44.52,B170781933,20251124,2026,"",74.691,1479.93,7.73,51.327,219.249,37.394,66.09,1350.743,7.015,44.972,201.213,qjohnson,20241117,CN,"","","","","","","","",20250922,2025,02,S053,"",100,287131458988237086,"",P040
gballard,39.442,B823268285,20241205,2024,"",36.236,931.509,9.793,41.486,89.661,32.888,31.417,898.361,7.908,36.173,83.335,dwayne56,20240626,DE,"","","","","","","","",20240325,2023,01,S032,"",100,333316014904029724,"",P012
ramseymichel,98.998,B769852933,20241113,2023,X,125.221,2438.733,24.898,110.588,473.026,84.236,111.019,2310.02,22.44,89.982,390.456,jill16,20240423,IN,"","","","","","","","",20250104,2026,09,S061,"",100,454543664487392339,X,P009
taylorwells,7.047,B815982207,20250209,2025,X,20.172,634.785,11.932,19.894,101.441,5.975,19.149,568.733,11.006,18.232,87.876,shawnmathews,20241225,CN,"","","","","","","","",20240502,2026,09,S090,"",100,570544252745710701,X,P009
joserojas,37.254,B808542107,20230813,2025,X,90.627,993.125,18.667,31.528,139.302,34.356,84.739,879.527,16.388,26.211,115.777,qberg,20250707,US,"","","","","","","","",20250614,2023,03,S017,"",100,509340371234493845,X,P006
virginiawhee,71.008,B124576603,20240907,2026,"",156.492,2615.349,33.361,29.055,295.092,65.259,146.222,2517.362,28.066,24.392,264.806,melissabisho,20250504,DE,"","","","","","","","",20240305,2022,10,S084,"",100,243483654047032524,X,P004
kimberlyliu,16.466,B820013142,20240906,2024,"",69.77,780.505,7.149,38.747,57.451,14.462,59.857,697.176,6.691,35.677,48.246,omurphy,20250615,IN,"","","","","","","","",20250812,2024,07,S040,"",100,537668503637782984,"",P010
zfrazier,171.087,B716280150,20240324,2024,X,207.528,4285.764,24.829,84.143,641.974,145.421,176.006,4070.513,21.471,69.825,564.575,wardlisa,20250808,IN,"","","","","","","","",20240203,2025,07,S046,"",100,751853364169008778,X,P020
bellangela,36.539,B179474954,20250409,2025,X,165.331,2903.826,27.105,134.912,522.645,34.159,156.343,2792.003,22.943,109.888,439.237,gabriela00,20240627,IN,"","","","","","","","",20230702,2023,02,S060,"",100,509026521867936171,"",P016
