MANDANT,PRUEFLOS,KZART,ZAEHLER,VKATART,VWERKS,VAUSWAHLMG,VCODEGRP,VCODE,VERSIONAM,VERSIONCD,VBEWERTUNG,DBEWERTUNG,VFOLGEAKTI,QKENNZAHL,LTEXTKZ,VNAME,VDATUM,VEZEITERF,VAENAME,VAEDATUM,VEZEITAEN,STAFO,TEILLOS,VORGLFNR
200,900000003013,P,003014,B,PL14,UDSET0013,UDGRP0013,A002,003013,003013,R,0,REWORK,13,N,INSPECTOR_013,20251111,131313,QA_MANAGER_013,20260212,181818,STAT13,003013,00021091
300,900000003014,S,003015,A,PL15,UDSET0014,UDGRP0014,A003,003014,003014,R,0,ACCEPT,14,Y,INSPECTOR_014,20251110,141414,QA_MANAGER_014,20260212,191919,STAT14,003014,00021098
100,900000003015,I,003016,B,PL16,UDSET0015,UDGRP0015,A001,003015,003015,R,0,RETURN,15,N,INSPECTOR_015,20251109,151515,QA_MANAGER_015,20260212,202020,STAT00,003015,00021105
200,900000003016,L,003017,A,PL17,UDSET0016,UDGRP0016,R001,003016,003016,R,0,SCRAP,16,Y,INSPECTOR_016,20251108,161616,QA_MANAGER_016,20260212,212121,STAT01,003016,00021112
300,900000003017,P,003018,B,PL18,UDSET0017,UDGRP0017,R002,003017,003017,R,1,REWORK,17,N,INSPECTOR_017,20251107,171717,QA_MANAGER_017,20260212,222222,STAT02,003017,00021119
100,900000003018,S,003019,A,PL19,UDSET0018,UDGRP0018,A002,003018,003018,R,0,ACCEPT,18,Y,INSPECTOR_018,20251106,181818,QA_MANAGER_018,20260212,232323,STAT03,003018,00021126
200,900000003019,I,003020,B,PL20,UDSET0019,UDGRP0019,A003,003019,003019,R,0,RETURN,19,N,INSPECTOR_019,20251105,191919,QA_MANAGER_019,20260212,002424,STAT04,003019,00021133
300,900000003020,L,003021,A,PL01,UDSET0020,UDGRP0020,A001,003020,003020,R,0,SCRAP,20,Y,INSPECTOR_020,20251104,202020,QA_MANAGER_020,20260212,012525,STAT05,003020,00021140
100,900000003021,P,003022,B,PL02,UDSET0021,UDGRP0021,R001,003021,003021,R,0,REWORK,21,N,INSPECTOR_021,20251103,212121,QA_MANAGER_021,20260212,022626,STAT06,003021,00021147
200,900000003022,S,003023,A,PL03,UDSET0022,UDGRP0022,R002,003022,003022,R,0,ACCEPT,22,Y,INSPECTOR_022,20251102,222222,QA_MANAGER_022,20260212,032727,STAT07,003022,00021154
300,900000003023,I,003024,B,PL04,UDSET0023,UDGRP0023,A002,003023,003023,R,0,RETURN,23,N,INSPECTOR_023,20251101,232323,QA_MANAGER_023,20260212,042828,STAT08,003023,00021161
100,900000003024,L,003025,A,PL05,UDSET0024,UDGRP0024,A003,003024,003024,R,1,SCRAP,24,Y,INSPECTOR_024,20251031,002424,QA_MANAGER_024,20260212,052929,STAT09,003024,00021168
200,900000003025,P,003026,B,PL06,UDSET0025,UDGRP0025,A001,003025,003025,R,0,REWORK,25,N,INSPECTOR_025,20251030,012525,QA_MANAGER_025,20260212,063030,STAT10,003025,00021175
300,900000003026,S,003027,A,PL07,UDSET0026,UDGRP0026,R001,003026,003026,R,0,ACCEPT,26,Y,INSPECTOR_026,20251029,022626,QA_MANAGER_026,20260212,073131,STAT11,003026,00021182
100,900000003027,I,003028,B,PL08,UDSET0027,UDGRP0027,R002,003027,003027,R,0,RETURN,27,N,INSPECTOR_027,20251028,032727,QA_MANAGER_027,20260212,083232,STAT12,003027,00021189
200,900000003028,L,003029,A,PL09,UDSET0028,UDGRP0028,A002,003028,003028,R,0,SCRAP,28,Y,INSPECTOR_028,20251027,042828,QA_MANAGER_028,20260212,093333,STAT13,003028,00021196
300,900000003029,P,003030,B,PL10,UDSET0029,UDGRP0029,A003,003029,003029,R,0,REWORK,29,N,INSPECTOR_029,20251026,052929,QA_MANAGER_029,20260212,103434,STAT14,003029,00021203
100,900000003030,S,003031,A,PL11,UDSET0030,UDGRP0030,A001,003030,003030,R,0,ACCEPT,30,Y,INSPECTOR_030,20251025,063030,QA_MANAGER_030,20260212,113535,STAT00,003030,00021210
200,900000003031,I,003032,B,PL12,UDSET0031,UDGRP0031,R001,003031,003031,R,1,RETURN,31,N,INSPECTOR_031,20251024,073131,QA_MANAGER_031,20260212,123636,STAT01,003031,00021217
300,900000003032,L,003033,A,PL13,UDSET0032,UDGRP0032,R002,003032,003032,R,0,SCRAP,32,Y,INSPECTOR_032,20251023,083232,QA_MANAGER_032,20260212,133737,STAT02,003032,00021224
100,900000003033,P,003034,B,PL14,UDSET0033,UDGRP0033,A002,003033,003033,R,0,REWORK,33,N,INSPECTOR_033,20251022,093333,QA_MANAGER_033,20260212,143838,STAT03,003033,00021231
200,900000003034,S,003035,A,PL15,UDSET0034,UDGRP0034,A003,003034,003034,R,0,ACCEPT,34,Y,INSPECTOR_034,20251021,103434,QA_MANAGER_034,20260212,153939,STAT04,003034,00021238
300,900000003035,I,003036,B,PL16,UDSET0035,UDGRP0035,A001,003035,003035,R,0,RETURN,35,N,INSPECTOR_035,20251020,113535,QA_MANAGER_035,20260212,164040,STAT05,003035,00021245
100,900000003036,L,003037,A,PL17,UDSET0036,UDGRP0036,R001,003036,003036,R,0,SCRAP,36,Y,INSPECTOR_036,20251019,123636,QA_MANAGER_036,20260212,174141,STAT06,003036,00021252
200,900000003037,P,003038,B,PL18,UDSET0037,UDGRP0037,R002,003037,003037,R,0,REWORK,37,N,INSPECTOR_037,20251018,133737,QA_MANAGER_037,20260212,184242,STAT07,003037,00021259
300,900000003038,S,003039,A,PL19,UDSET0038,UDGRP0038,A002,003038,003038,R,1,ACCEPT,38,Y,INSPECTOR_038,20251017,143838,QA_MANAGER_038,20260212,194343,STAT08,003038,00021266
100,900000003039,I,003040,B,PL20,UDSET0039,UDGRP0039,A003,003039,003039,R,0,RETURN,39,N,INSPECTOR_039,20251016,153939,QA_MANAGER_039,20260212,204444,STAT09,003039,00021273
200,900000003040,L,003041,A,PL01,UDSET0040,UDGRP0040,A001,003040,003040,R,0,SCRAP,40,Y,INSPECTOR_040,20251015,164040,QA_MANAGER_040,20260212,214545,STAT10,003040,00021280
300,900000003041,P,003042,B,PL02,UDSET0041,UDGRP0041,R001,003041,003041,R,0,REWORK,41,N,INSPECTOR_041,20251014,174141,QA_MANAGER_041,20260212,224646,STAT11,003041,00021287
100,900000003042,S,003043,A,PL03,UDSET0042,UDGRP0042,R002,003042,003042,R,0,ACCEPT,42,Y,INSPECTOR_042,20251013,184242,QA_MANAGER_042,20260212,234747,STAT12,003042,00021294
200,900000003043,I,003044,B,PL04,UDSET0043,UDGRP0043,A002,003043,003043,R,0,RETURN,43,N,INSPECTOR_043,20251012,194343,QA_MANAGER_043,20260212,004848,STAT13,003043,00021301
300,900000003044,L,003045,A,PL05,UDSET0044,UDGRP0044,A003,003044,003044,R,0,SCRAP,44,Y,INSPECTOR_044,20251011,204444,QA_MANAGER_044,20260212,014949,STAT14,003044,00021308
100,900000003045,P,003046,B,PL06,UDSET0045,UDGRP0045,A001,003045,003045,R,1,REWORK,45,N,INSPECTOR_045,20251010,214545,QA_MANAGER_045,20260212,025050,STAT00,003045,00021315
200,900000003046,S,003047,A,PL07,UDSET0046,UDGRP0046,R001,003046,003046,R,0,ACCEPT,46,Y,INSPECTOR_046,20251009,224646,QA_MANAGER_046,20260212,035151,STAT01,003046,00021322
300,900000003047,I,003048,B,PL08,UDSET0047,UDGRP0047,R002,003047,003047,R,0,RETURN,47,N,INSPECTOR_047,20251008,234747,QA_MANAGER_047,20260212,045252,STAT02,003047,00021329
100,900000003048,L,003049,A,PL09,UDSET0048,UDGRP0048,A002,003048,003048,R,0,SCRAP,48,Y,INSPECTOR_048,20251007,004848,QA_MANAGER_048,20260212,055353,STAT03,003048,00021336
200,900000003049,P,003050,B,PL10,UDSET0049,UDGRP0049,A003,003049,003049,R,0,REWORK,49,N,INSPECTOR_049,20251006,014949,QA_MANAGER_049,20260212,065454,STAT04,003049,00021343
300,900000003050,S,003051,A,PL11,UDSET0050,UDGRP0050,A001,003050,003050,R,0,ACCEPT,50,Y,INSPECTOR_050,20251005,025050,QA_MANAGER_050,20260212,075555,STAT05,003050,00021350
100,900000003051,I,003052,B,PL12,UDSET0051,UDGRP0051,R001,003051,003051,R,0,RETURN,51,N,INSPECTOR_051,20251004,035151,QA_MANAGER_051,20260212,085656,STAT06,003051,00021357
200,900000003052,L,003053,A,PL13,UDSET0052,UDGRP0052,R002,003052,003052,R,1,SCRAP,52,Y,INSPECTOR_052,20251003,045252,QA_MANAGER_052,20260212,095757,STAT07,003052,00021364
300,900000003053,P,003054,B,PL14,UDSET0053,UDGRP0053,A002,003053,003053,R,0,REWORK,53,N,INSPECTOR_053,20251002,055353,QA_MANAGER_053,20260212,105858,STAT08,003053,00021371
100,900000003054,S,003055,A,PL15,UDSET0054,UDGRP0054,A003,003054,003054,R,0,ACCEPT,54,Y,INSPECTOR_054,20251001,065454,QA_MANAGER_054,20260212,115959,STAT09,003054,00021378
200,900000003055,I,003056,B,PL16,UDSET0055,UDGRP0055,A001,003055,003055,R,0,RETURN,55,N,INSPECTOR_055,20250930,075555,QA_MANAGER_055,20260212,120000,STAT10,003055,00021385
300,900000003056,L,003057,A,PL17,UDSET0056,UDGRP0056,R001,003056,003056,R,0,SCRAP,56,Y,INSPECTOR_056,20250929,085656,QA_MANAGER_056,20260212,130101,STAT11,003056,00021392
100,900000003057,P,003058,B,PL18,UDSET0057,UDGRP0057,R002,003057,003057,R,0,REWORK,57,N,INSPECTOR_057,20250928,095757,QA_MANAGER_057,20260212,140202,STAT12,003057,00021399
200,900000003058,S,003059,A,PL19,UDSET0058,UDGRP0058,A002,003058,003058,R,0,ACCEPT,58,Y,INSPECTOR_058,20250927,105858,QA_MANAGER_058,20260212,150303,STAT13,003058,00021406
300,900000003059,I,003060,B,PL20,UDSET0059,UDGRP0059,A003,003059,003059,R,1,RETURN,59,N,INSPECTOR_059,20250926,115959,QA_MANAGER_059,20260212,160404,STAT14,003059,00021413
100,900000003060,L,003061,A,PL01,UDSET0060,UDGRP0060,A001,003060,003060,R,0,SCRAP,60,Y,INSPECTOR_060,20250925,120000,QA_MANAGER_060,20260212,170505,STAT00,003060,00021420
200,900000003061,P,003062,B,PL02,UDSET0061,UDGRP0061,R001,003061,003061,A,0,REWORK,61,N,INSPECTOR_061,20250924,130101,QA_MANAGER_061,20260212,180606,STAT01,003061,00021427
300,900000003062,S,003063,A,PL03,UDSET0062,UDGRP0062,R002,003062,003062,A,0,ACCEPT,62,Y,INSPECTOR_062,20250923,140202,QA_MANAGER_062,20260212,190707,STAT02,003062,00021434
100,900000003063,I,003064,B,PL04,UDSET0063,UDGRP0063,A002,003063,003063,A,0,RETURN,63,N,INSPECTOR_063,20250922,150303,QA_MANAGER_063,20260212,200808,STAT03,003063,00021441
200,900000003064,L,003065,A,PL05,UDSET0064,UDGRP0064,A003,003064,003064,A,0,SCRAP,64,Y,INSPECTOR_064,20250921,160404,QA_MANAGER_064,20260212,210909,STAT04,003064,00021448
300,900000003065,P,003066,B,PL06,UDSET0065,UDGRP0065,A001,003065,003065,A,0,REWORK,65,N,INSPECTOR_065,20250920,170505,QA_MANAGER_065,20260212,221010,STAT05,003065,00021455
100,900000003066,S,003067,A,PL07,UDSET0066,UDGRP0066,R001,003066,003066,A,1,ACCEPT,66,Y,INSPECTOR_066,20250919,180606,QA_MANAGER_066,20260212,231111,STAT06,003066,00021462
200,900000003067,I,003068,B,PL08,UDSET0067,UDGRP0067,R002,003067,003067,A,0,RETURN,67,N,INSPECTOR_067,20250918,190707,QA_MANAGER_067,20260212,001212,STAT07,003067,00021469
300,900000003068,L,003069,A,PL09,UDSET0068,UDGRP0068,A002,003068,003068,A,0,SCRAP,68,Y,INSPECTOR_068,20250917,200808,QA_MANAGER_068,20260212,011313,STAT08,003068,00021476
100,900000003069,P,003070,B,PL10,UDSET0069,UDGRP0069,A003,003069,003069,A,0,REWORK,69,N,INSPECTOR_069,20250916,210909,QA_MANAGER_069,20260212,021414,STAT09,003069,00021483
200,900000003070,S,003071,A,PL11,UDSET0070,UDGRP0070,A001,003070,003070,A,0,ACCEPT,70,Y,INSPECTOR_070,20250915,221010,QA_MANAGER_070,20260212,031515,STAT10,003070,00021490
300,900000003071,I,003072,B,PL12,UDSET0071,UDGRP0071,R001,003071,003071,A,0,RETURN,71,N,INSPECTOR_071,20250914,231111,QA_MANAGER_071,20260212,041616,STAT11,003071,00021497
100,900000003072,L,003073,A,PL13,UDSET0072,UDGRP0072,R002,003072,003072,A,0,SCRAP,72,Y,INSPECTOR_072,20250913,001212,QA_MANAGER_072,20260212,051717,STAT12,003072,00021504
200,900000003073,P,003074,B,PL14,UDSET0073,UDGRP0073,A002,003073,003073,A,1,REWORK,73,N,INSPECTOR_073,20250912,011313,QA_MANAGER_073,20260212,061818,STAT13,003073,00021511
300,900000003074,S,003075,A,PL15,UDSET0074,UDGRP0074,A003,003074,003074,A,0,ACCEPT,74,Y,INSPECTOR_074,20250911,021414,QA_MANAGER_074,20260212,071919,STAT14,003074,00021518
100,900000003075,I,003076,B,PL16,UDSET0075,UDGRP0075,A001,003075,003075,A,0,RETURN,75,N,INSPECTOR_075,20250910,031515,QA_MANAGER_075,20260212,082020,STAT00,003075,00021525
200,900000003076,L,003077,A,PL17,UDSET0076,UDGRP0076,R001,003076,003076,A,0,SCRAP,76,Y,INSPECTOR_076,20250909,041616,QA_MANAGER_076,20260212,092121,STAT01,003076,00021532
300,900000003077,P,003078,B,PL18,UDSET0077,UDGRP0077,R002,003077,003077,A,0,REWORK,77,N,INSPECTOR_077,20250908,051717,QA_MANAGER_077,20260212,102222,STAT02,003077,00021539
100,900000003078,S,003079,A,PL19,UDSET0078,UDGRP0078,A002,003078,003078,A,0,ACCEPT,78,Y,INSPECTOR_078,20250907,061818,QA_MANAGER_078,20260212,112323,STAT03,003078,00021546
200,900000003079,I,003080,B,PL20,UDSET0079,UDGRP0079,A003,003079,003079,A,0,RETURN,79,N,INSPECTOR_079,20250906,071919,QA_MANAGER_079,20260212,122424,STAT04,003079,00021553
300,900000003080,L,003081,A,PL01,UDSET0080,UDGRP0080,A001,003080,003080,A,1,SCRAP,80,Y,INSPECTOR_080,20250905,082020,QA_MANAGER_080,20260212,132525,STAT05,003080,00021560
100,900000003081,P,003082,B,PL02,UDSET0081,UDGRP0081,R001,003081,003081,A,0,REWORK,81,N,INSPECTOR_081,20250904,092121,QA_MANAGER_081,20260212,142626,STAT06,003081,00021567
200,900000003082,S,003083,A,PL03,UDSET0082,UDGRP0082,R002,003082,003082,A,0,ACCEPT,82,Y,INSPECTOR_082,20250903,102222,QA_MANAGER_082,20260212,152727,STAT07,003082,00021574
300,900000003083,I,003084,B,PL04,UDSET0083,UDGRP0083,A002,003083,003083,A,0,RETURN,83,N,INSPECTOR_083,20250902,112323,QA_MANAGER_083,20260212,162828,STAT08,003083,00021581
100,900000003084,L,003085,A,PL05,UDSET0084,UDGRP0084,A003,003084,003084,A,0,SCRAP,84,Y,INSPECTOR_084,20250901,122424,QA_MANAGER_084,20260212,172929,STAT09,003084,00021588
200,900000003085,P,003086,B,PL06,UDSET0085,UDGRP0085,A001,003085,003085,A,0,REWORK,85,N,INSPECTOR_085,20250831,132525,QA_MANAGER_085,20260212,183030,STAT10,003085,00021595
300,900000003086,S,003087,A,PL07,UDSET0086,UDGRP0086,R001,003086,003086,A,0,ACCEPT,86,Y,INSPECTOR_086,20250830,142626,QA_MANAGER_086,20260212,193131,STAT11,003086,00021602
100,900000003087,I,003088,B,PL08,UDSET0087,UDGRP0087,R002,003087,003087,A,1,RETURN,87,N,INSPECTOR_087,20250829,152727,QA_MANAGER_087,20260212,203232,STAT12,003087,00021609
200,900000003088,L,003089,A,PL09,UDSET0088,UDGRP0088,A002,003088,003088,A,0,SCRAP,88,Y,INSPECTOR_088,20250828,162828,QA_MANAGER_088,20260212,213333,STAT13,003088,00021616
300,900000003089,P,003090,B,PL10,UDSET0089,UDGRP0089,A003,003089,003089,A,0,REWORK,89,N,INSPECTOR_089,20250827,172929,QA_MANAGER_089,20260212,223434,STAT14,003089,00021623
100,900000003090,S,003091,A,PL11,UDSET0090,UDGRP0090,A001,003090,003090,A,0,ACCEPT,90,Y,INSPECTOR_090,20250826,183030,QA_MANAGER_090,20260212,233535,STAT00,003090,00021630
200,900000003091,I,003092,B,PL12,UDSET0091,UDGRP0091,R001,003091,003091,A,0,RETURN,91,N,INSPECTOR_091,20250825,193131,QA_MANAGER_091,20260212,003636,STAT01,003091,00021637
300,900000003092,L,003093,A,PL13,UDSET0092,UDGRP0092,R002,003092,003092,A,0,SCRAP,92,Y,INSPECTOR_092,20250824,203232,QA_MANAGER_092,20260212,013737,STAT02,003092,00021644
100,900000003093,P,003094,B,PL14,UDSET0093,UDGRP0093,A002,003093,003093,A,0,REWORK,93,N,INSPECTOR_093,20250823,213333,QA_MANAGER_093,20260212,023838,STAT03,003093,00021651
200,900000003094,S,003095,A,PL15,UDSET0094,UDGRP0094,A003,003094,003094,A,1,ACCEPT,94,Y,INSPECTOR_094,20250822,223434,QA_MANAGER_094,20260212,033939,STAT04,003094,00021658
300,900000003095,I,003096,B,PL16,UDSET0095,UDGRP0095,A001,003095,003095,A,0,RETURN,95,N,INSPECTOR_095,20250821,233535,QA_MANAGER_095,20260212,044040,STAT05,003095,00021665
100,900000003096,L,003097,A,PL17,UDSET0096,UDGRP0096,R001,003096,003096,A,0,SCRAP,96,Y,INSPECTOR_096,20250820,003636,QA_MANAGER_096,20260212,054141,STAT06,003096,00021672
200,900000003097,P,003098,B,PL18,UDSET0097,UDGRP0097,R002,003097,003097,A,0,REWORK,97,N,INSPECTOR_097,20250819,013737,QA_MANAGER_097,20260212,064242,STAT07,003097,00021679
300,900000003098,S,003099,A,PL19,UDSET0098,UDGRP0098,A002,003098,003098,A,0,ACCEPT,98,Y,INSPECTOR_098,20250818,023838,QA_MANAGER_098,20260212,074343,STAT08,003098,00021686
100,900000003099,I,003100,B,PL20,UDSET0099,UDGRP0099,A003,003099,003099,A,0,RETURN,99,N,INSPECTOR_099,20250817,033939,QA_MANAGER_099,20260212,084444,STAT09,003099,00021693
200,900000003100,L,003101,A,PL01,UDSET0100,UDGRP0100,A001,003100,003100,R,0,SCRAP,0,Y,INSPECTOR_100,20250816,044040,QA_MANAGER_000,20260212,094545,STAT10,003100,00021700
300,900000003101,P,003102,B,PL02,UDSET0101,UDGRP0101,R001,003101,003101,R,1,REWORK,1,N,INSPECTOR_101,20250815,054141,QA_MANAGER_001,20260212,104646,STAT11,003101,00021707
100,900000003102,S,003103,A,PL03,UDSET0102,UDGRP0102,R002,003102,003102,R,0,ACCEPT,2,Y,INSPECTOR_102,20250814,064242,QA_MANAGER_002,20260212,114747,STAT12,003102,00021714
200,900000003103,I,003104,B,PL04,UDSET0103,UDGRP0103,A002,003103,003103,R,0,RETURN,3,N,INSPECTOR_103,20250813,074343,QA_MANAGER_003,20260212,124848,STAT13,003103,00021721
300,900000003104,L,003105,A,PL05,UDSET0104,UDGRP0104,A003,003104,003104,R,0,SCRAP,4,Y,INSPECTOR_104,20250812,084444,QA_MANAGER_004,20260212,134949,STAT14,003104,00021728
100,900000003105,P,003106,B,PL06,UDSET0105,UDGRP0105,A001,003105,003105,R,0,REWORK,5,N,INSPECTOR_105,20250811,094545,QA_MANAGER_005,20260212,145050,STAT00,003105,00021735
200,900000003106,S,003107,A,PL07,UDSET0106,UDGRP0106,R001,003106,003106,R,0,ACCEPT,6,Y,INSPECTOR_106,20250810,104646,QA_MANAGER_006,20260212,155151,STAT01,003106,00021742
300,900000003107,I,003108,B,PL08,UDSET0107,UDGRP0107,R002,003107,003107,R,0,RETURN,7,N,INSPECTOR_107,20250809,114747,QA_MANAGER_007,20260212,165252,STAT02,003107,00021749
100,900000003108,L,003109,A,PL09,UDSET0108,UDGRP0108,A002,003108,003108,R,1,SCRAP,8,Y,INSPECTOR_108,20250808,124848,QA_MANAGER_008,20260212,175353,STAT03,003108,00021756
200,900000003109,P,003110,B,PL10,UDSET0109,UDGRP0109,A003,003109,003109,R,0,REWORK,9,N,INSPECTOR_109,20250807,134949,QA_MANAGER_009,20260212,185454,STAT04,003109,00021763
300,900000003110,S,003111,A,PL11,UDSET0110,UDGRP0110,A001,003110,003110,R,0,ACCEPT,10,Y,INSPECTOR_110,20250806,145050,QA_MANAGER_010,20260212,195555,STAT05,003110,00021770
100,900000003111,I,003112,B,PL12,UDSET0111,UDGRP0111,R001,003111,003111,R,0,RETURN,11,N,INSPECTOR_111,20250805,155151,QA_MANAGER_011,20260212,205656,STAT06,003111,00021777
200,900000003112,L,003113,A,PL13,UDSET0112,UDGRP0112,R002,003112,003112,R,0,SCRAP,12,Y,INSPECTOR_112,20250804,165252,QA_MANAGER_012,20260212,215757,STAT07,003112,00021784
300,900000003113,P,003114,B,PL14,UDSET0113,UDGRP0113,A002,003113,003113,R,0,REWORK,13,N,INSPECTOR_113,20250803,175353,QA_MANAGER_013,20260212,225858,STAT08,003113,00021791
100,900000003114,S,003115,A,PL15,UDSET0114,UDGRP0114,A003,003114,003114,R,0,ACCEPT,14,Y,INSPECTOR_114,20250802,185454,QA_MANAGER_014,20260212,235959,STAT09,003114,00021798
200,900000003115,I,003116,B,PL16,UDSET0115,UDGRP0115,A001,003115,003115,R,1,RETURN,15,N,INSPECTOR_115,20250801,195555,QA_MANAGER_015,20260212,000000,STAT10,003115,00021805
300,900000003116,L,003117,A,PL17,UDSET0116,UDGRP0116,R001,003116,003116,R,0,SCRAP,16,Y,INSPECTOR_116,20250731,205656,QA_MANAGER_016,20260212,010101,STAT11,003116,00021812
100,900000003117,P,003118,B,PL18,UDSET0117,UDGRP0117,R002,003117,003117,R,0,REWORK,17,N,INSPECTOR_117,20250730,215757,QA_MANAGER_017,20260212,020202,STAT12,003117,00021819
200,900000003118,S,003119,A,PL19,UDSET0118,UDGRP0118,A002,003118,003118,R,0,ACCEPT,18,Y,INSPECTOR_118,20250729,225858,QA_MANAGER_018,20260212,030303,STAT13,003118,00021826
300,900000003119,I,003120,B,PL20,UDSET0119,UDGRP0119,A003,003119,003119,R,0,RETURN,19,N,INSPECTOR_119,20250728,235959,QA_MANAGER_019,20260212,040404,STAT14,003119,00021833
100,900000003120,L,003121,A,PL01,UDSET0120,UDGRP0120,A001,003120,003120,R,0,SCRAP,20,Y,INSPECTOR_120,20250727,000000,QA_MANAGER_020,20260212,050505,STAT00,003120,00021840
200,900000003121,P,003122,B,PL02,UDSET0121,UDGRP0121,R001,003121,003121,R,0,REWORK,21,N,INSPECTOR_121,20250726,010101,QA_MANAGER_021,20260212,060606,STAT01,003121,00021847
300,900000003122,S,003123,A,PL03,UDSET0122,UDGRP0122,R002,003122,003122,R,1,ACCEPT,22,Y,INSPECTOR_122,20250725,020202,QA_MANAGER_022,20260212,070707,STAT02,003122,00021854
100,900000003123,I,003124,B,PL04,UDSET0123,UDGRP0123,A002,003123,003123,R,0,RETURN,23,N,INSPECTOR_123,20250724,030303,QA_MANAGER_023,20260212,080808,STAT03,003123,00021861
200,900000003124,L,003125,A,PL05,UDSET0124,UDGRP0124,A003,003124,003124,R,0,SCRAP,24,Y,INSPECTOR_124,20250723,040404,QA_MANAGER_024,20260212,090909,STAT04,003124,00021868
300,900000003125,P,003126,B,PL06,UDSET0125,UDGRP0125,A001,003125,003125,R,0,REWORK,25,N,INSPECTOR_125,20250722,050505,QA_MANAGER_025,20260212,101010,STAT05,003125,00021875
100,900000003126,S,003127,A,PL07,UDSET0126,UDGRP0126,R001,003126,003126,R,0,ACCEPT,26,Y,INSPECTOR_126,20250721,060606,QA_MANAGER_026,20260212,111111,STAT06,003126,00021882
200,900000003127,I,003128,B,PL08,UDSET0127,UDGRP0127,R002,003127,003127,R,0,RETURN,27,N,INSPECTOR_127,20250720,070707,QA_MANAGER_027,20260212,121212,STAT07,003127,00021889
300,900000003128,L,003129,A,PL09,UDSET0128,UDGRP0128,A002,003128,003128,R,0,SCRAP,28,Y,INSPECTOR_128,20250719,080808,QA_MANAGER_028,20260212,131313,STAT08,003128,00021896
100,900000003129,P,003130,B,PL10,UDSET0129,UDGRP0129,A003,003129,003129,R,1,REWORK,29,N,INSPECTOR_129,20250718,090909,QA_MANAGER_029,20260212,141414,STAT09,003129,00021903
200,900000003130,S,003131,A,PL11,UDSET0130,UDGRP0130,A001,003130,003130,R,0,ACCEPT,30,Y,INSPECTOR_130,20250717,101010,QA_MANAGER_030,20260212,151515,STAT10,003130,00021910
300,900000003131,I,003132,B,PL12,UDSET0131,UDGRP0131,R001,003131,003131,R,0,RETURN,31,N,INSPECTOR_131,20250716,111111,QA_MANAGER_031,20260212,161616,STAT11,003131,00021917
100,900000003132,L,003133,A,PL13,UDSET0132,UDGRP0132,R002,003132,003132,R,0,SCRAP,32,Y,INSPECTOR_132,20250715,121212,QA_MANAGER_032,20260212,171717,STAT12,003132,00021924
200,900000003133,P,003134,B,PL14,UDSET0133,UDGRP0133,A002,003133,003133,R,0,REWORK,33,N,INSPECTOR_133,20250714,131313,QA_MANAGER_033,20260212,181818,STAT13,003133,00021931
300,900000003134,S,003135,A,PL15,UDSET0134,UDGRP0134,A003,003134,003134,R,0,ACCEPT,34,Y,INSPECTOR_134,20250713,141414,QA_MANAGER_034,20260212,191919,STAT14,003134,00021938
100,900000003135,I,003136,B,PL16,UDSET0135,UDGRP0135,A001,003135,003135,R,0,RETURN,35,N,INSPECTOR_135,20250712,151515,QA_MANAGER_035,20260212,202020,STAT00,003135,00021945
200,900000003136,L,003137,A,PL17,UDSET0136,UDGRP0136,R001,003136,003136,R,1,SCRAP,36,Y,INSPECTOR_136,20250711,161616,QA_MANAGER_036,20260212,212121,STAT01,003136,00021952
300,900000003137,P,003138,B,PL18,UDSET0137,UDGRP0137,R002,003137,003137,R,0,REWORK,37,N,INSPECTOR_137,20250710,171717,QA_MANAGER_037,20260212,222222,STAT02,003137,00021959
100,900000003138,S,003139,A,PL19,UDSET0138,UDGRP0138,A002,003138,003138,R,0,ACCEPT,38,Y,INSPECTOR_138,20250709,181818,QA_MANAGER_038,20260212,232323,STAT03,003138,00021966
200,900000003139,I,003140,B,PL20,UDSET0139,UDGRP0139,A003,003139,003139,R,0,RETURN,39,N,INSPECTOR_139,20250708,191919,QA_MANAGER_039,20260212,002424,STAT04,003139,00021973
300,900000003140,L,003141,A,PL01,UDSET0140,UDGRP0140,A001,003140,003140,R,0,SCRAP,40,Y,INSPECTOR_140,20250707,202020,QA_MANAGER_040,20260212,012525,STAT05,003140,00021980
100,900000003141,P,003142,B,PL02,UDSET0141,UDGRP0141,R001,003141,003141,R,0,REWORK,41,N,INSPECTOR_141,20250706,212121,QA_MANAGER_041,20260212,022626,STAT06,003141,00021987
200,900000003142,S,003143,A,PL03,UDSET0142,UDGRP0142,R002,003142,003142,R,0,ACCEPT,42,Y,INSPECTOR_142,20250705,222222,QA_MANAGER_042,20260212,032727,STAT07,003142,00021994
300,900000003143,I,003144,B,PL04,UDSET0143,UDGRP0143,A002,003143,003143,R,1,RETURN,43,N,INSPECTOR_143,20250704,232323,QA_MANAGER_043,20260212,042828,STAT08,003143,00022001
100,900000003144,L,003145,A,PL05,UDSET0144,UDGRP0144,A003,003144,003144,R,0,SCRAP,44,Y,INSPECTOR_144,20250703,002424,QA_MANAGER_044,20260212,052929,STAT09,003144,00022008
200,900000003145,P,003146,B,PL06,UDSET0145,UDGRP0145,A001,003145,003145,R,0,REWORK,45,N,INSPECTOR_145,20250702,012525,QA_MANAGER_045,20260212,063030,STAT10,003145,00022015
