AUSME,AUSSS,BESKZ,BSTMA,BSTMI,BWTTY,DISGR,DISMM,DISPO,DISPR,EISBE,EISLO,EKGRP,HERKL,KAUTB,KORDB,KZKRI,LAGPR,LFGJA,LFMON,LGPRO,LOSFX,LVORM,MAABC,MABST,MANDT,MATNR,MINBE,MMSTA,MMSTD,MTVER,PERKZ,PLIFZ,PRCTR,PSTAT,SERNP,STAWN,TARGET_STOCK,TRAME,VINT1,VINT2,VRMOD,WEBAZ,WERKS,XCHAR,XMCNG
M,1.51,F,104.855,42.807,X,G13,PD,539,5325,12.316,163.302,053,IN,"","",X,3,2022,04,S041,35.09,"",B,104.855,100,109955178971998957,42.807,01,20240610,M007,M,6,6304742814,K,S938,46631031926646003,465.501,21.869,005,004,3,2,P031,X,X
L,0.98,E,415.195,136.674,"",G12,PD,973,8590,57.879,188.747,039,DE,X,"",X,1,2025,06,S009,154.3,"",C,415.195,100,571784053873947958,136.674,03,20221003,M001,M,30,7080899910,K,S791,47381920211627528,288.201,11.877,004,030,1,10,P028,"",""
L,3.53,E,931.763,219.748,X,G10,ND,124,6126,97.251,39.497,012,DE,"","","",3,2024,01,S050,145.41,"",C,931.763,100,182796285837953328,219.748,03,20251231,M010,W,41,4647393143,K,S817,72286107361694923,95.648,69.385,009,021,2,6,P041,"",""
KG,1.76,F,348.364,118.516,"",G20,ND,115,3160,54.397,164.966,032,US,X,X,X,3,2026,06,S050,48.42,"",B,348.364,100,909116284567791797,118.516,03,20230415,M011,D,8,4744136285,K,S984,70187476747774813,307.637,98.424,003,008,3,8,P019,X,""
L,0.68,F,101.213,37.372,X,G19,VB,998,1166,13.71,136.914,040,CN,X,X,"",1,2026,12,S050,32.77,"",B,101.213,100,815641819985535852,37.372,02,20220506,M007,D,8,6994775327,K,S291,57617438958849481,327.94,55.123,003,011,1,1,P008,X,X
EA,0.44,X,1196.444,367.581,"",G08,PD,251,8664,152.067,105.83,017,US,"",X,"",3,2025,11,S025,174.13,"",A,1196.444,100,497169575033754038,367.581,02,20220924,M010,D,12,5681348661,K,S229,98110887553944311,195.866,0.063,024,014,3,2,P012,"",""
M,3.79,X,1641.182,354.402,"",G02,ND,971,3477,158.022,94.998,007,CN,"","","",2,2024,01,S037,199.95,"",C,1641.182,100,224451691853772728,354.402,02,20230214,M017,M,38,2600110049,K,S219,68346259878778681,190.054,95.702,018,015,1,1,P039,"",X
L,1.62,F,1462.145,347.688,X,G03,ND,721,5760,97.978,49.686,080,CN,X,"","",3,2026,09,S027,48.76,"",C,1462.145,100,705543624424251685,347.688,02,20251017,M012,M,36,6768333092,K,S476,22102416621960353,124.7,11.124,029,006,2,10,P042,X,""
M,4.23,E,461.904,123.697,"",G01,ND,497,1523,39.191,24.993,055,CN,X,"","",3,2022,10,S005,13.01,"",C,461.904,100,553809548536857935,123.697,03,20250416,M017,M,52,7309667136,K,S683,76163712194448506,137.727,64.446,029,025,1,8,P026,X,X
KG,1.47,E,223.325,87.16,X,G07,VB,555,3581,24.711,35.645,079,CN,X,X,"",2,2023,11,S024,125.15,"",A,223.325,100,811660846260823428,87.16,03,20250711,M018,W,12,4531224910,K,S924,31773968988949598,292.104,82.491,008,003,1,2,P023,X,""
M,0.17,X,851.96,329.664,"",G16,VB,937,4301,159.201,62.728,086,IN,X,X,"",1,2023,11,S029,199.33,"",C,851.96,100,905178037004321735,329.664,01,20250425,M005,W,37,5789523920,K,S274,63956665057842749,357.792,17.328,027,001,2,9,P001,"",X
M,2.81,E,572.86,285.167,X,G03,PD,277,1258,139.027,13.478,056,DE,X,X,X,2,2026,03,S035,96.85,"",A,572.86,100,690176638836811555,285.167,01,20251021,M017,D,27,7232277659,K,S863,12765631244628995,50.868,53.722,021,003,2,4,P046,"",X
L,3.69,F,475.57,207.518,"",G19,VB,179,7207,51.107,40.263,051,CN,X,X,"",3,2025,02,S022,41.51,"",B,475.57,100,685288247825689539,207.518,03,20231127,M009,D,42,7388848455,K,S988,80369639669946789,146.851,14.873,013,026,3,1,P030,X,""
KG,4.58,E,585.27,252.005,X,G20,PD,730,9938,72.826,122.964,008,US,X,"",X,2,2022,12,S022,190.12,"",C,585.27,100,886522395444192884,252.005,02,20250317,M016,W,9,2483324694,K,S725,86301015955227840,154.087,80.232,019,018,3,8,P033,"",""
KG,0.17,F,1191.665,330.541,X,G16,PD,128,2886,105.842,168.081,039,CN,"","","",1,2023,09,S005,195.6,"",B,1191.665,100,938417039355368515,330.541,02,20220206,M003,D,34,2222316090,K,S822,95754873369358260,102.453,42.76,019,022,2,5,P013,X,""
KG,1.72,F,250.559,70.818,"",G19,VB,242,7397,24.012,34.525,098,DE,"",X,"",2,2022,09,S044,148.2,"",A,250.559,100,288570659676091287,70.818,03,20220116,M017,W,31,7007303045,K,S327,40752250575293959,131.381,24.254,012,010,2,8,P047,X,""
L,0.57,F,570.463,178.747,X,G02,VB,529,9232,77.414,90.807,090,US,X,X,X,3,2022,11,S014,17.67,"",B,570.463,100,859034000215464506,178.747,03,20250125,M010,W,23,9078341648,K,S905,19234662777292806,180.255,64.58,005,025,3,8,P038,X,""
L,4.04,E,2028.064,411.647,X,G01,VB,846,6451,91.678,196.089,062,DE,X,"",X,1,2023,06,S027,194.89,"",A,2028.064,100,953926682769186881,411.647,02,20220617,M012,W,27,1741887354,K,S754,75387703990500639,125.956,27.069,008,003,2,6,P020,"",""
L,4.01,E,354.82,126.402,"",G16,PD,494,7666,50.429,13.486,071,IN,X,X,"",2,2023,06,S042,76.65,"",C,354.82,100,622777031949427822,126.402,03,20240120,M017,D,31,4756190570,K,S425,87930559035107571,300.058,8.249,005,020,1,6,P049,"",""
L,1.26,X,920.798,194.671,"",G16,ND,256,5551,67.666,135.392,067,CN,X,X,X,2,2026,06,S038,132.88,"",A,920.798,100,781325687361993250,194.671,02,20251022,M013,W,42,3241930762,K,S970,43205787981367735,82.481,51.562,002,028,2,5,P036,"",X
EA,0.14,F,926.926,392.24,X,G10,VB,326,6145,146.008,108.288,056,DE,"","",X,1,2022,04,S037,139.08,"",C,926.926,100,612628376331499187,392.24,01,20240627,M005,D,43,6354334069,K,S714,84128037420631920,76.306,41.745,029,024,2,9,P018,"",""
EA,0.44,F,1283.501,322.93,X,G15,PD,741,9766,87.086,139.289,040,DE,"",X,X,2,2025,10,S034,86.08,"",B,1283.501,100,293504248057670448,322.93,03,20231107,M013,D,11,5553256525,K,S360,18399377759578739,353.261,11.452,008,022,2,4,P042,"",""
EA,4.24,E,1802.772,395.659,X,G19,ND,105,1425,162.156,60.135,021,DE,X,"",X,2,2022,08,S039,127.83,"",C,1802.772,100,308427298063444854,395.659,02,20250731,M013,D,53,1516328912,K,S342,99086194436190492,94.923,42.674,022,025,1,4,P012,X,""
KG,4.55,X,63.81,29.506,"",G07,PD,443,2760,10.873,39.609,010,DE,X,X,"",1,2023,08,S049,13.86,"",A,63.81,100,942427898181005204,29.506,01,20230827,M007,M,49,6497576951,K,S349,43175107803283291,421.131,80.08,004,027,3,3,P047,X,X
EA,4.5,X,1256.382,451.412,"",G11,VB,215,6496,92.141,183.565,036,IN,"","",X,2,2023,05,S041,63.69,"",A,1256.382,100,660178878152885293,451.412,02,20220107,M001,M,29,7501597288,K,S962,72856445336087948,394.405,25.049,001,029,2,7,P007,X,X
L,4.02,X,512.978,134.585,X,G11,PD,545,1196,45.605,172.162,015,US,X,X,X,1,2026,04,S004,22.08,"",A,512.978,100,905111204123317146,134.585,02,20221031,M016,M,52,6445293873,K,S917,19665236515325312,166.479,0.122,026,024,1,1,P021,"",X
L,2.64,F,233.309,66.332,"",G02,VB,811,4061,32.729,92.433,044,IN,X,"",X,1,2025,10,S012,94.98,"",A,233.309,100,277454606557703123,66.332,01,20251224,M002,D,47,2299843906,K,S343,35383925958880904,488.534,84.96,027,012,1,8,P050,X,""
KG,1.81,E,619.695,126.94,X,G11,VB,738,5042,54.119,116.575,045,IN,"","","",1,2025,10,S046,20.44,"",A,619.695,100,488240322752455700,126.94,02,20260129,M020,M,22,3432759093,K,S370,46158254287723855,147.33,62.392,006,015,2,5,P027,"",X
M,2.89,F,812.338,346.077,"",G13,VB,495,5890,130.235,12.561,051,IN,X,"","",1,2025,03,S021,82.35,"",B,812.338,100,665062044551076107,346.077,01,20231127,M016,M,3,9879447161,K,S826,77914767456875022,85.807,55.902,006,010,1,4,P039,X,""
KG,4.89,X,1434.255,489.883,X,G14,VB,221,3334,200.168,141.147,072,IN,X,"",X,2,2023,11,S022,118.28,"",C,1434.255,100,876927817093430883,489.883,03,20240916,M009,M,17,7023736853,K,S229,68669361329885796,463.466,94.993,000,017,2,4,P029,X,X
KG,0.52,F,1300.036,260.039,X,G05,ND,275,2174,55.866,20.138,089,US,X,"","",2,2022,11,S047,75.54,"",B,1300.036,100,661446670079752885,260.039,03,20241229,M007,M,41,3672586860,K,S540,97204950350766873,356.047,65.735,012,018,3,9,P034,X,X
L,3.7,E,786.005,314.716,"",G04,VB,164,1776,136.751,6.815,004,US,"",X,"",3,2022,02,S037,105.55,"",A,786.005,100,450237522504220903,314.716,02,20241105,M001,D,31,6796219244,K,S454,95435150898399100,162.725,53.018,021,028,1,2,P021,X,""
KG,4.49,X,1878.307,432.659,X,G10,ND,282,8655,136.936,99.902,030,CN,X,X,X,2,2025,10,S026,157.44,"",A,1878.307,100,160096469408108995,432.659,01,20240227,M017,W,30,6412521305,K,S732,65328568163380767,452.554,16.512,029,019,1,3,P019,X,""
L,1.9,X,707.956,212.476,"",G03,VB,167,5779,44.832,138.991,069,CN,X,"",X,2,2022,07,S038,187.64,"",B,707.956,100,363994754085288165,212.476,02,20230909,M019,D,32,7410830447,K,S916,67927856709638146,496.836,28.702,002,004,1,6,P023,X,""
M,0.39,X,1660.029,381.361,"",G02,PD,286,4523,128.803,18.244,024,US,"","",X,1,2022,12,S004,141.23,"",C,1660.029,100,570085175972157189,381.361,03,20240408,M004,W,43,8215918171,K,S633,26438799040717334,244.22,11.003,008,012,3,2,P037,"",X
M,0.95,X,134.006,47.13,"",G01,PD,663,2462,16.64,97.771,043,DE,X,"",X,3,2025,04,S026,72.44,"",B,134.006,100,564176685332791253,47.13,03,20240418,M011,D,25,4304080647,K,S249,75015294860954059,266.434,74.405,007,010,2,3,P011,X,""
KG,1.47,E,440.031,109.29,"",G13,ND,381,4163,51.336,67.498,011,CN,X,"","",2,2025,04,S020,100.6,"",A,440.031,100,832250049357025937,109.29,03,20220228,M003,M,25,5607569510,K,S181,83496528125652838,116.911,89.785,015,029,3,1,P046,X,""
L,2.34,X,856.563,223.932,"",G14,VB,983,4943,82.309,78.788,023,CN,X,"","",1,2022,12,S005,72.64,"",C,856.563,100,968317278906545858,223.932,01,20240609,M017,M,44,2028187346,K,S645,32196209492832586,240.296,8.43,024,001,1,5,P007,"",""
KG,4.72,X,332.372,70.111,X,G04,PD,772,1743,29.402,142.744,054,IN,"","","",2,2026,12,S044,25.07,"",B,332.372,100,942964979083072683,70.111,02,20221028,M007,M,35,3141560706,K,S814,87430876764380354,187.589,47.063,022,011,1,10,P030,"",X
EA,4.89,E,1242.815,474.962,"",G12,VB,430,3056,234.608,59.274,093,US,"","","",3,2023,01,S020,122.47,"",B,1242.815,100,944507288800821256,474.962,01,20220415,M003,W,25,3406056934,K,S998,29589709437116376,437.178,76.942,002,016,3,1,P041,X,""
L,3.46,E,433.638,113.558,X,G07,PD,192,3411,22.803,166.609,063,CN,"",X,X,3,2022,10,S028,131.48,"",A,433.638,100,424953007590641955,113.558,03,20241011,M014,W,5,4273131170,K,S940,80962278193663831,192.427,56.757,012,027,2,10,P041,X,""
EA,4.72,F,1106.707,444.103,"",G09,VB,728,6406,117.225,16.462,022,US,X,"","",1,2022,11,S050,21.13,"",B,1106.707,100,811162582661898821,444.103,03,20240702,M016,M,24,1524904912,K,S458,66137231601345035,109.966,86.397,027,024,1,2,P036,"",X
L,0.38,E,116.138,29.346,X,G15,VB,924,1567,11.212,120.143,034,IN,"",X,"",1,2024,11,S029,169.09,"",A,116.138,100,393542151451884821,29.346,03,20240712,M009,D,42,3583368737,K,S471,60121166479371221,447.093,61.395,021,030,3,8,P034,"",""
L,4.85,F,592.722,137.266,"",G16,ND,590,5396,44.911,23.889,091,IN,"","",X,3,2025,01,S028,109.35,"",A,592.722,100,905437945287958083,137.266,03,20220212,M001,M,55,2682680464,K,S758,25730152672696134,385.562,64.805,010,021,2,9,P014,X,X
M,1.56,F,612.162,239.088,"",G06,PD,580,6108,56.203,30.761,018,CN,X,"",X,1,2026,05,S009,148.21,"",A,612.162,100,906480224931251241,239.088,03,20251007,M017,M,50,3982563756,K,S167,96062788517493589,188.298,51.409,028,023,3,7,P049,X,""
KG,0.26,X,962.769,194.133,X,G10,PD,445,3723,45.147,30.518,056,DE,X,X,"",2,2024,01,S043,13.44,"",B,962.769,100,456386448785244384,194.133,02,20251102,M006,W,54,5664786673,K,S382,32257231051602829,164.683,60.946,019,009,1,2,P026,"",""
M,3.87,F,826.033,338.496,"",G01,ND,736,3857,76.201,98.782,058,CN,X,"","",3,2022,11,S037,180.01,"",B,826.033,100,768165329042263137,338.496,01,20220216,M001,D,14,2819084491,K,S277,68071616020466167,139.814,68.59,021,017,3,3,P011,X,""
KG,3.6,X,686.052,187.218,"",G05,PD,867,3514,82.521,131.013,042,DE,"","","",2,2023,12,S028,49.47,"",A,686.052,100,814161636304597750,187.218,02,20220411,M014,D,13,6298447901,K,S112,51128432762553964,189.965,52.102,000,007,2,4,P009,"",""
L,0.03,E,307.375,134.556,X,G05,VB,832,6656,29.88,80.153,098,CN,X,"",X,3,2023,02,S029,190.87,"",A,307.375,100,970948481535404904,134.556,03,20230524,M004,D,40,5182569939,K,S690,63467887369770311,444.573,87.968,010,001,2,8,P036,X,""
EA,1.99,E,1597.455,476.009,X,G07,VB,441,3736,138.517,69.993,031,US,"","",X,2,2025,03,S011,95.02,"",B,1597.455,100,532489634115305529,476.009,01,20240224,M012,D,22,4285829566,K,S631,90591744195357429,481.687,63.322,008,018,2,1,P045,"",""
L,0.24,F,396.806,161.024,X,G12,VB,250,4187,49.48,48.506,076,CN,"",X,X,3,2022,06,S018,167.97,"",C,396.806,100,477311908251471309,161.024,02,20220124,M008,W,8,2286194594,K,S308,65089809079466442,446.941,42.572,010,024,2,7,P002,X,X
L,1.92,F,790.046,227.399,X,G07,VB,967,5465,52.743,99.177,055,DE,X,"","",3,2024,05,S034,189.36,"",C,790.046,100,850903203389748450,227.399,03,20240817,M012,W,36,8033158208,K,S982,45347822287428091,349.541,64.336,007,026,3,4,P049,X,""
EA,3.74,F,2023.543,434.22,X,G13,VB,204,9547,167.48,168.937,009,US,"","","",3,2024,12,S002,164.43,"",B,2023.543,100,379064724927057847,434.22,03,20230217,M007,W,58,9605103895,K,S258,88413499822860800,154.623,2.921,023,025,2,9,P035,"",X
L,3.14,X,850.185,201.162,X,G19,ND,669,5476,46.743,53.787,024,DE,"",X,"",1,2022,10,S041,131.96,"",A,850.185,100,666481108023337624,201.162,01,20230618,M007,M,35,8222488946,K,S547,61760375567901743,154.125,28.139,021,004,1,5,P002,X,""
EA,2.42,E,450.006,157.7,X,G11,ND,250,3610,56.382,67.324,015,US,X,"",X,3,2023,09,S024,41.49,"",A,450.006,100,668886582262197563,157.7,02,20230812,M006,W,48,8433048182,K,S865,59305345175885689,425.046,15.402,012,017,2,6,P008,"",""
EA,4.35,E,547.926,197.2,X,G19,PD,618,6684,58.848,6.474,068,DE,X,"","",2,2026,07,S001,171.78,"",B,547.926,100,949605815149666234,197.2,02,20250823,M018,D,56,3263936804,K,S743,69348852749424993,404.552,47.024,001,006,1,1,P043,X,""
EA,4.87,F,2083.274,455.123,"",G11,PD,779,8600,113.485,182.233,030,DE,X,"","",1,2026,08,S005,20.09,"",A,2083.274,100,795668793952382349,455.123,01,20231202,M009,M,3,4038413671,K,S504,63475046574362377,187.541,25.519,018,024,3,9,P045,"",X
KG,1.64,F,277.886,59.441,X,G20,ND,246,8635,24.211,127.06,045,IN,X,"","",2,2024,02,S039,171.36,"",A,277.886,100,383037712833190029,59.441,02,20240403,M002,M,9,7962766772,K,S267,81757712664807119,58.936,24.763,018,012,1,2,P004,X,""
M,5.0,E,421.932,101.833,"",G03,ND,749,2456,31.165,28.074,042,CN,"","",X,2,2023,01,S033,150.1,"",A,421.932,100,437717744916947115,101.833,02,20240220,M005,D,13,4484071100,K,S117,46163949738216057,386.975,14.434,001,013,1,1,P030,"",X
EA,2.86,E,626.074,133.464,"",G09,VB,385,5152,59.277,61.815,090,DE,X,X,X,3,2026,01,S021,175.95,"",C,626.074,100,555233990940325990,133.464,03,20250618,M015,W,59,2961080321,K,S117,28305304630851467,283.834,95.374,012,012,3,6,P048,X,X
M,2.13,E,387.13,170.76,"",G10,PD,953,4118,48.149,52.878,037,US,"",X,"",1,2026,08,S024,31.85,"",A,387.13,100,715818153396188297,170.76,03,20231010,M008,W,51,5878370531,K,S614,32698493411630741,164.883,70.483,003,005,3,3,P006,"",""
M,0.55,E,842.9,189.249,"",G13,VB,160,2977,61.11,102.545,002,US,"","",X,3,2025,12,S008,22.57,"",B,842.9,100,514217022469360201,189.249,03,20220617,M004,W,2,3980253829,K,S588,50102472492549458,99.89,64.62,014,023,1,1,P050,X,X
KG,1.15,X,1466.962,373.312,"",G08,ND,162,8976,161.531,41.604,045,DE,"","",X,2,2026,11,S042,81.6,"",C,1466.962,100,114765405923333287,373.312,03,20250322,M020,M,33,9596691449,K,S894,90648554342833536,235.655,97.511,008,020,3,9,P033,X,""
L,0.3,F,165.938,34.927,"",G20,VB,626,9968,9.157,151.393,071,DE,X,"",X,2,2026,11,S031,169.97,"",A,165.938,100,677323998530618544,34.927,03,20231020,M004,M,5,4110588982,K,S520,46603495659253659,373.599,70.455,006,024,1,10,P028,"",X
L,0.7,X,350.105,82.488,"",G16,PD,269,5997,31.513,162.976,020,US,X,"","",1,2025,06,S007,21.21,"",C,350.105,100,487825607636127194,82.488,02,20240131,M012,M,58,4945240426,K,S568,90400677045809050,90.751,17.652,021,030,1,4,P035,"",X
L,1.5,F,476.053,196.213,X,G09,PD,427,4308,81.763,110.351,052,US,"","","",2,2024,04,S027,74.01,"",A,476.053,100,422863749496486482,196.213,03,20241114,M001,M,46,1968987417,K,S409,52687327057133211,393.516,74.255,015,026,3,9,P030,"",""
EA,2.27,F,64.021,16.025,"",G15,VB,125,7974,7.486,97.012,052,IN,"","",X,2,2023,01,S003,174.05,"",C,64.021,100,555637912531723321,16.025,03,20250603,M007,D,40,5562586296,K,S127,11413832731656624,54.799,69.049,006,030,2,8,P036,X,""
L,3.37,E,315.624,145.543,"",G08,VB,295,3746,55.848,33.071,091,US,"",X,X,1,2025,03,S036,42.04,"",C,315.624,100,790764437286747064,145.543,03,20220826,M001,M,22,2658202545,K,S645,67016771816722593,81.326,87.242,002,006,3,10,P041,"",X
EA,0.07,F,657.522,288.895,"",G13,PD,735,6758,73.979,151.352,084,IN,X,"","",2,2023,02,S035,25.45,"",B,657.522,100,345983759760876318,288.895,01,20220417,M010,D,7,8717454898,K,S992,59696115598735381,339.12,16.028,024,029,3,8,P014,"",""
M,1.21,X,652.856,176.147,"",G01,PD,309,9783,57.282,46.246,035,IN,"","",X,1,2023,09,S042,15.62,"",B,652.856,100,212793983159355304,176.147,02,20250918,M003,M,41,6662225036,K,S225,21982968211728581,447.719,96.113,026,029,1,4,P019,"",""
M,3.43,F,1876.946,375.648,"",G07,PD,537,8683,159.318,199.661,094,US,X,"",X,3,2025,07,S006,153.88,"",C,1876.946,100,226187423282634080,375.648,01,20220525,M019,W,7,6624372375,K,S408,33147035266774237,481.266,27.924,025,006,1,3,P038,"",""
KG,0.65,X,954.21,420.022,"",G06,VB,905,7480,172.511,141.279,013,CN,"","",X,3,2022,09,S028,118.87,"",A,954.21,100,632703448805314646,420.022,01,20230203,M010,M,8,6877572981,K,S226,54573200419501479,194.742,48.529,009,025,3,3,P019,X,""
KG,1.85,E,38.605,15.157,X,G12,ND,145,6047,7.125,164.651,061,CN,X,X,"",3,2022,03,S019,120.13,"",A,38.605,100,431009057151742439,15.157,01,20220418,M003,W,16,6208812409,K,S358,22957191169330082,320.683,66.777,024,007,2,8,P039,X,X
EA,2.8,E,1690.831,478.845,X,G12,ND,863,2139,202.043,52.932,025,US,"","",X,2,2025,08,S031,90.45,"",B,1690.831,100,739812575392369894,478.845,03,20220314,M006,W,60,1343914776,K,S590,56483215446890903,215.43,33.323,009,008,1,2,P030,"",""
EA,4.69,E,1419.304,343.687,"",G09,PD,895,8080,121.271,158.844,047,IN,"","",X,3,2024,08,S012,156.92,"",B,1419.304,100,600013852585745557,343.687,03,20240214,M009,D,19,6135606295,K,S836,81551464061946061,93.746,58.83,027,024,2,3,P007,X,X
M,4.06,F,1360.767,297.772,"",G16,VB,732,6003,135.872,64.252,085,US,"",X,"",3,2026,01,S011,182.03,"",C,1360.767,100,729355886230210825,297.772,03,20251221,M005,M,18,7075533064,K,S361,55886549310217632,416.199,2.649,004,014,3,8,P038,"",""
EA,3.13,E,1173.388,350.161,X,G12,VB,526,6011,159.374,179.265,052,US,"",X,"",1,2026,09,S030,151.06,"",A,1173.388,100,467467495996408388,350.161,01,20250510,M009,W,16,8416071902,K,S527,97970750302303733,209.726,76.433,013,024,3,2,P013,"",X
M,2.51,X,854.427,173.553,X,G18,PD,336,5780,52.624,122.231,086,DE,X,X,"",1,2022,06,S007,80.28,"",A,854.427,100,715298281056800848,173.553,03,20220715,M004,M,30,6673933751,K,S695,94859594748524870,483.955,80.294,013,027,1,3,P026,"",X
KG,0.12,F,1275.789,269.828,"",G06,VB,890,9763,64.592,162.489,071,CN,X,"",X,2,2022,02,S047,153.52,"",A,1275.789,100,893672523337382368,269.828,01,20240523,M019,W,26,8049870880,K,S227,53119169987339058,56.065,84.194,002,004,1,7,P036,X,""
EA,1.37,E,602.721,188.773,X,G20,VB,149,4947,58.858,122.758,051,CN,X,"",X,3,2026,02,S013,10.83,"",B,602.721,100,218243909547709732,188.773,02,20230203,M011,D,42,6236012480,K,S711,70219185282282452,179.599,58.795,001,019,3,7,P009,"",""
L,3.84,X,1233.414,455.214,X,G01,ND,942,2335,148.716,40.247,092,US,"",X,X,1,2025,04,S008,135.9,"",B,1233.414,100,111892523819006854,455.214,01,20230622,M012,D,14,4883176045,K,S577,55982460452071363,143.89,94.729,026,009,1,5,P001,X,""
L,2.89,E,685.608,145.306,"",G01,VB,154,6516,33.126,109.15,002,DE,"","","",3,2024,04,S048,108.1,"",A,685.608,100,474684649241436507,145.306,02,20250609,M015,D,56,2892675128,K,S850,40482997656180809,446.616,15.019,020,016,3,6,P035,"",""
EA,0.94,E,1275.767,497.855,X,G07,ND,995,9267,188.607,135.29,095,DE,X,X,"",1,2026,09,S020,67.27,"",B,1275.767,100,718983312492671531,497.855,01,20230319,M010,D,25,1445540547,K,S422,76589299090979964,73.263,77.216,004,010,2,5,P007,X,X
L,3.2,F,1049.872,228.11,X,G13,PD,293,2460,66.221,82.074,032,CN,"",X,"",2,2026,01,S041,48.31,"",C,1049.872,100,873690466803086142,228.11,03,20230917,M016,M,35,9544698263,K,S846,53963721152953142,496.457,46.842,004,011,1,3,P038,X,""
M,4.37,E,383.876,112.862,"",G17,VB,626,3640,44.723,187.873,023,IN,X,X,X,3,2023,01,S022,140.65,"",A,383.876,100,485468524730573171,112.862,02,20250122,M016,W,13,9097294024,K,S518,58534799201313012,162.314,83.959,000,020,3,1,P030,X,X
EA,2.89,X,1211.971,264.047,X,G04,PD,897,5506,118.516,177.418,031,CN,"","",X,1,2026,06,S036,76.94,"",C,1211.971,100,704432596170565678,264.047,03,20230920,M014,W,53,8293849474,K,S924,88090743825246610,483.865,11.327,006,003,2,3,P039,X,X
KG,3.06,E,293.125,73.434,X,G08,ND,179,5329,27.579,94.107,078,DE,X,X,X,1,2023,04,S029,139.65,"",B,293.125,100,579954904798961125,73.434,03,20220110,M005,D,25,1815523197,K,S191,66231116625341398,132.17,35.671,023,000,3,1,P031,"",X
L,4.44,E,201.435,54.527,"",G15,VB,224,7891,13.17,8.471,034,US,X,"","",2,2023,02,S004,97.95,"",B,201.435,100,831491370160653381,54.527,03,20230307,M013,M,10,5655588864,K,S820,54035765327000608,321.766,51.23,002,013,2,7,P044,X,X
KG,4.74,F,766.591,377.864,"",G12,PD,958,9948,124.863,126.215,039,DE,"","","",1,2026,12,S008,198.92,"",A,766.591,100,766812877323209947,377.864,01,20241109,M003,M,19,1490640521,K,S220,86367928822506140,357.586,31.036,007,022,2,10,P007,X,X
M,3.41,X,1073.603,280.711,X,G03,ND,512,6051,63.52,13.477,020,IN,X,X,X,2,2022,12,S027,133.86,"",C,1073.603,100,839335157935008664,280.711,02,20220921,M013,D,57,7174078895,K,S160,69906973097348362,476.832,3.498,018,027,1,6,P010,"",""
L,1.0,E,359.943,83.211,"",G10,ND,253,2489,28.036,69.153,095,US,"",X,X,1,2022,05,S034,51.64,"",B,359.943,100,955052533729723800,83.211,03,20230629,M018,W,5,4743674349,K,S635,80202009148918237,472.538,86.062,007,012,2,4,P037,"",X
L,1.55,E,275.523,108.36,"",G09,ND,376,9339,24.64,174.263,055,DE,"",X,"",3,2024,08,S026,101.52,"",A,275.523,100,853290521384817286,108.36,03,20240314,M003,M,21,8820063361,K,S108,25863295522527319,246.065,96.838,007,028,1,6,P001,X,X
L,1.88,E,1669.356,369.882,X,G05,VB,356,8032,181.823,46.917,066,CN,X,"",X,3,2026,02,S034,58.04,"",A,1669.356,100,129736837338193617,369.882,02,20220611,M008,D,11,9801098384,K,S510,34379060504505273,478.426,6.945,000,022,3,9,P050,"",""
KG,0.3,F,744.083,228.11,"",G08,ND,315,2660,49.013,161.675,010,DE,"","","",2,2022,12,S012,71.8,"",A,744.083,100,523156877378897001,228.11,03,20250511,M009,M,20,1189120058,K,S170,18487697771733153,60.268,84.745,024,004,1,1,P009,"",""
EA,4.91,X,848.142,314.612,"",G13,ND,354,3429,108.924,153.636,014,CN,X,X,"",1,2026,09,S002,55.43,"",A,848.142,100,522902961330873428,314.612,03,20240924,M020,D,12,9448809810,K,S593,64758567415359571,54.688,24.491,017,030,1,4,P020,X,X
EA,4.29,F,703.856,331.143,X,G11,VB,448,2526,134.277,171.524,055,US,X,"",X,3,2024,02,S028,25.65,"",A,703.856,100,779869875054416288,331.143,03,20250209,M015,W,16,4647945646,K,S424,71982592447822942,348.969,93.047,003,019,3,2,P020,X,""
EA,3.53,E,871.976,207.717,X,G17,VB,488,9791,52.819,196.358,068,IN,X,"",X,2,2022,01,S033,122.78,"",B,871.976,100,898459541807187810,207.717,03,20240809,M004,M,19,3282783178,K,S789,24173907451324456,442.979,80.957,025,019,2,1,P018,X,X
KG,1.1,X,484.081,122.801,X,G20,ND,772,3505,61.172,194.643,067,US,X,X,"",1,2026,02,S025,93.36,"",B,484.081,100,429796239976283845,122.801,03,20251221,M014,M,52,2161205736,K,S694,69126963231335993,272.265,92.661,021,019,1,2,P043,X,X
L,2.46,E,61.823,15.457,X,G16,ND,241,8672,3.711,92.996,096,IN,X,"",X,3,2025,06,S020,11.23,"",B,61.823,100,663682603812722468,15.457,02,20240725,M008,M,23,9745675391,K,S123,69377139839154815,492.055,63.513,008,030,2,5,P001,X,""
L,2.4,E,93.888,38.214,X,G16,ND,394,8772,17.17,120.209,039,DE,X,"","",2,2026,01,S025,188.54,"",A,93.888,100,785229224695193199,38.214,01,20251222,M019,M,14,2103854001,K,S573,48050572224526316,258.605,86.678,014,001,2,6,P006,"",""
