BDIFP,BUKRS,BWKEY,BWMOD,EFREJ,ERKLAERKOM,FMP_PRFRGR,FMP_PRSFR,MANDT,MLAST,MLASV,MLBWA,MLBWV,MLCCS,PRSFR,UPROF,WBPRO,X2FDO,XBKNG,XEFRE,XEWRX,XLBPD,XVKBW
2.49,1568,V134,0002,2025,X,GR99,"",100,3,"","","","",X,UP02,WB01,"",X,"",X,"",""
0.4,10632,V135,0001,2018,"",GR42,X,100,3,"",X,X,X,X,UP01,WB03,X,X,"",X,"",X
4.79,2531,V136,0003,2015,"",GR83,X,100,2,"",X,"","","",UP01,WB02,"","","","",X,""
2.67,10692,V137,0002,2016,X,GR45,"",100,3,X,X,X,X,"",UP02,WB02,"",X,X,X,X,""
3.02,7694,V138,0001,2020,X,GR64,"",100,2,X,X,"",X,"",UP02,WB03,X,"","","","",X
3.61,6229,V139,0002,2015,X,GR87,"",100,3,"",X,X,X,"",UP02,WB03,"",X,"","","",""
4.25,9194,V140,0004,2024,"",GR31,X,100,2,X,X,"",X,"",UP02,WB01,"","",X,X,"",X
4.78,3418,V141,0002,2015,X,GR77,X,100,"","","",X,"",X,UP02,WB02,X,X,X,X,"",""
3.39,8607,V142,0003,2025,X,GR46,"",100,3,"","","",X,"",UP02,WB02,X,"","",X,X,X
4.29,8829,V143,0002,2018,X,GR35,"",100,"",X,X,X,X,"",UP02,WB03,"","",X,"",X,X
4.12,7958,V144,0004,2024,X,GR97,"",100,"",X,X,X,X,"",UP01,WB01,"",X,"",X,"",""
0.72,3757,V145,0001,2018,X,GR34,X,100,"",X,X,X,"","",UP02,WB03,X,X,"","","",""
4.89,8100,V146,0004,2025,"",GR53,"",100,3,X,X,X,"","",UP01,WB01,"","","","","",""
2.44,9203,V147,0001,2020,"",GR60,X,100,"","",X,X,X,"",UP03,WB03,X,"",X,X,X,""
1.65,1468,V148,0001,2017,"",GR78,X,100,2,"","",X,X,X,UP03,WB01,"","",X,"",X,X
0.03,9022,V149,0001,2023,X,GR51,X,100,2,X,"","","","",UP02,WB02,"","",X,X,X,""
0.69,8515,V150,0001,2020,X,GR46,X,100,"","","",X,X,"",UP02,WB02,X,X,X,X,"",X
3.37,8407,V151,0001,2016,"",GR25,"",100,2,X,"","",X,X,UP01,WB03,"",X,X,X,X,""
0.28,6317,V152,0002,2018,"",GR61,X,100,3,"","","","",X,UP01,WB03,"",X,X,"","",X
1.38,3698,V153,0001,2022,"",GR92,X,100,"","","","","",X,UP01,WB02,X,X,"",X,"",X
2.34,9888,V154,0001,2024,"",GR46,X,100,2,X,"","","","",UP01,WB02,"",X,"","","",""
2.94,1894,V155,0004,2016,"",GR13,X,100,3,"","","","",X,UP03,WB02,X,"","","","",""
1.42,6936,V156,0002,2021,"",GR33,"",100,3,X,X,X,"","",UP01,WB02,"","",X,"","",X
2.45,4745,V157,0001,2016,X,GR36,X,100,"",X,X,"","",X,UP02,WB03,X,"",X,X,X,""
2.08,3969,V158,0004,2017,X,GR71,X,100,"","",X,"","",X,UP01,WB03,X,"",X,X,"",""
1.28,2617,V159,0002,2026,X,GR25,X,100,2,X,"","","",X,UP02,WB02,"",X,X,"",X,""
2.28,6401,V160,0002,2025,X,GR67,X,100,"",X,X,"",X,X,UP02,WB03,"",X,X,"","",X
4.46,5932,V161,0001,2023,X,GR44,"",100,"",X,"","","",X,UP01,WB01,"","","",X,X,""
2.54,9582,V162,0002,2023,"",GR42,"",100,"","","",X,"","",UP03,WB02,"",X,X,X,"",X
2.74,1521,V163,0004,2020,"",GR97,X,100,3,X,"",X,X,"",UP01,WB02,"","",X,X,"",""
4.26,3850,V164,0001,2017,X,GR83,X,100,3,X,"","",X,X,UP03,WB01,"","","",X,"",""
0.94,7833,V165,0004,2020,"",GR44,"",100,2,X,"","","","",UP03,WB03,X,X,X,"",X,""
3.09,8860,V166,0002,2026,X,GR41,"",100,3,"",X,"",X,"",UP01,WB01,X,X,X,"","",""
0.18,9342,V167,0002,2026,"",GR33,X,100,"",X,"",X,"",X,UP02,WB01,"",X,X,X,"",X
1.68,7683,V168,0002,2023,X,GR45,X,100,"",X,X,"",X,"",UP02,WB01,"","",X,X,"",X
3.74,8382,V169,0002,2025,"",GR71,X,100,3,"",X,"",X,"",UP03,WB02,"",X,"",X,X,X
4.32,5925,V170,0002,2019,"",GR83,X,100,"","","","",X,"",UP02,WB02,X,X,X,"",X,""
1.65,7303,V171,0002,2022,X,GR10,"",100,3,"","","","","",UP02,WB02,"",X,"",X,"",""
4.56,6294,V172,0004,2023,X,GR29,"",100,2,X,X,"",X,"",UP01,WB03,"","","",X,"",""
0.32,3890,V173,0002,2021,X,GR41,"",100,"","",X,"",X,X,UP02,WB01,"",X,"",X,X,X
3.67,4061,V174,0001,2017,"",GR77,X,100,2,"",X,X,"",X,UP01,WB02,X,X,X,X,"",X
4.13,3923,V175,0001,2024,"",GR86,X,100,2,X,X,"","","",UP01,WB02,X,X,"","","",X
3.91,7232,V176,0002,2019,"",GR10,X,100,3,X,"",X,X,X,UP02,WB02,X,"","","",X,""
0.41,1303,V177,0002,2021,"",GR87,"",100,3,"","","","","",UP02,WB01,"","","","","",X
4.52,7563,V178,0002,2024,"",GR19,"",100,2,X,"","","",X,UP01,WB03,X,"","","","",""
1.12,6090,V179,0002,2025,"",GR22,"",100,3,"",X,"",X,"",UP03,WB01,X,X,"","","",X
0.43,4534,V180,0002,2025,"",GR79,X,100,"","",X,"",X,"",UP03,WB03,"","","",X,"",""
1.21,7933,V181,0001,2022,X,GR50,"",100,"",X,"",X,"","",UP03,WB02,"",X,X,"",X,X
3.91,8664,V182,0004,2026,"",GR83,"",100,3,X,X,"",X,"",UP01,WB02,"",X,"",X,X,""
0.67,6662,V183,0004,2022,X,GR92,X,100,"",X,"",X,X,"",UP03,WB01,"",X,X,"","",X
4.43,10665,V184,0001,2019,"",GR44,X,100,2,"","",X,X,"",UP03,WB02,"","",X,X,X,""
0.53,1054,V185,0003,2020,X,GR53,X,100,"",X,"",X,X,X,UP01,WB03,"",X,X,"",X,""
0.07,1722,V186,0001,2018,X,GR23,"",100,2,"",X,X,X,"",UP02,WB02,X,"","","","",X
2.87,6339,V187,0002,2016,X,GR74,"",100,"","",X,X,"","",UP01,WB01,X,"","",X,"",X
1.82,5693,V188,0001,2021,X,GR74,X,100,3,X,X,X,"","",UP01,WB03,"",X,X,X,"",""
4.71,8741,V189,0002,2020,X,GR48,"",100,3,"","",X,X,"",UP02,WB02,X,X,"",X,X,X
1.12,6187,V190,0003,2020,"",GR26,X,100,3,X,X,X,X,"",UP02,WB02,"","",X,"","",X
0.63,2748,V191,0002,2022,X,GR16,"",100,2,X,"",X,X,"",UP03,WB02,"","",X,"",X,X
3.34,10148,V192,0001,2018,"",GR68,"",100,2,"","",X,"",X,UP01,WB01,"","","",X,X,""
2.65,4186,V193,0002,2024,"",GR42,"",100,"","",X,"","","",UP03,WB01,X,"","","",X,""
2.08,3602,V194,0003,2020,X,GR17,X,100,"",X,"","","",X,UP02,WB01,X,"",X,X,X,""
2.9,9933,V195,0001,2019,X,GR58,X,100,2,X,X,X,X,"",UP01,WB03,"",X,"","","",""
0.92,1360,V196,0002,2021,X,GR72,X,100,"",X,"","",X,"",UP02,WB03,"",X,"","",X,X
0.48,9887,V197,0002,2023,X,GR97,X,100,3,"","",X,"",X,UP01,WB01,X,"",X,"","",X
3.5,1456,V198,0001,2019,X,GR57,X,100,3,X,X,X,X,"",UP02,WB02,"","",X,X,"",X
0.25,6863,V199,0003,2026,X,GR99,X,100,3,X,"",X,"","",UP03,WB02,X,X,"","",X,""
4.55,8792,V200,0001,2021,"",GR46,"",100,3,X,"","",X,X,UP03,WB02,"","",X,X,"",""
4.18,4917,V201,0004,2026,X,GR55,X,100,3,X,"","",X,"",UP02,WB01,X,"","","",X,""
2.19,1350,V202,0002,2026,"",GR67,"",100,2,X,"","",X,X,UP02,WB02,"",X,X,X,X,X
3.67,6099,V203,0001,2018,"",GR63,"",100,"",X,"","",X,X,UP02,WB02,"","",X,X,X,X
2.43,6803,V204,0001,2024,"",GR25,X,100,3,X,"","","","",UP03,WB02,"","",X,X,X,""
0.75,8351,V205,0001,2026,"",GR21,"",100,"","","",X,"",X,UP03,WB02,X,X,X,"","",""
3.94,1837,V206,0002,2015,X,GR53,X,100,"",X,"",X,X,"",UP03,WB01,X,"","",X,X,""
2.93,7099,V207,0003,2015,"",GR41,X,100,3,"","",X,"","",UP02,WB03,X,"",X,"","",X
0.31,6480,V208,0003,2015,X,GR13,X,100,2,"","","",X,X,UP03,WB03,"","",X,"","",X
1.11,9579,V209,0002,2023,"",GR40,"",100,2,"","",X,X,"",UP01,WB01,"","","",X,X,X
2.64,10032,V210,0003,2016,X,GR99,X,100,"","",X,"",X,"",UP02,WB01,"",X,"",X,X,X
2.32,7376,V211,0002,2024,X,GR45,"",100,"","",X,X,"","",UP03,WB02,"",X,X,"",X,""
1.67,8803,V212,0001,2018,X,GR69,X,100,2,"","",X,"",X,UP03,WB01,X,X,"",X,X,""
4.47,3137,V213,0004,2021,"",GR80,X,100,3,X,"",X,"",X,UP03,WB01,X,"",X,"","",X
4.01,4156,V214,0004,2020,"",GR55,"",100,2,"","",X,"",X,UP01,WB03,X,X,X,X,X,""
4.06,9895,V215,0001,2026,X,GR50,"",100,2,X,"",X,"","",UP03,WB01,X,"","",X,"",""
3.28,10199,V216,0003,2021,"",GR25,X,100,2,"","",X,"",X,UP03,WB02,"","",X,"",X,""
4.42,1090,V217,0001,2020,X,GR49,"",100,"",X,"","",X,X,UP01,WB03,"",X,X,"","",X
2.66,9095,V218,0002,2015,X,GR50,"",100,"",X,"",X,X,"",UP02,WB03,X,X,X,"",X,X
0.23,9885,V219,0002,2025,X,GR16,"",100,2,X,X,X,"","",UP03,WB01,"",X,"","",X,""
2.37,3799,V220,0004,2016,X,GR75,"",100,"","","","","",X,UP03,WB03,X,X,X,X,"",X
4.63,5236,V221,0001,2026,X,GR40,"",100,3,X,"",X,X,"",UP03,WB02,"","","","","",""
2.4,10865,V222,0002,2023,X,GR87,X,100,2,X,"",X,X,"",UP03,WB03,X,X,"",X,"",X
2.18,3237,V223,0003,2021,X,GR16,"",100,2,X,"","",X,"",UP03,WB03,"",X,X,"","",X
4.94,9518,V224,0002,2024,X,GR52,"",100,3,X,"","",X,"",UP02,WB01,X,"",X,"","",X
0.46,10127,V225,0001,2024,X,GR45,"",100,"","","",X,"",X,UP03,WB02,X,"",X,"",X,""
0.37,1265,V226,0003,2022,X,GR28,"",100,"",X,X,"","","",UP02,WB01,"","","",X,"",X
2.23,3897,V227,0001,2015,X,GR64,X,100,"","","","","","",UP03,WB03,X,X,X,X,"",""
3.02,2760,V228,0003,2017,X,GR49,"",100,3,"","","","","",UP01,WB03,X,X,"","","",""
2.85,3426,V229,0001,2021,X,GR59,"",100,"",X,"","",X,"",UP01,WB02,"",X,X,X,"",X
2.33,9040,V230,0001,2015,"",GR15,X,100,2,"",X,X,X,X,UP01,WB02,X,"",X,X,X,X
4.99,2902,V231,0004,2019,X,GR50,X,100,"",X,"","",X,"",UP03,WB03,X,"","","",X,X
1.29,10835,V232,0002,2018,"",GR94,"",100,"",X,X,X,X,"",UP02,WB03,"","","",X,X,X
3.53,5586,V233,0002,2015,"",GR77,"",100,3,X,X,X,X,X,UP01,WB03,X,"","",X,"",""
2.92,7290,V234,0001,2018,X,GR23,"",100,"",X,X,X,"","",UP02,WB03,X,X,"","","",X
2.7,3531,V235,0001,2018,X,GR22,"",100,"","","","","","",UP01,WB01,"","",X,"","",""
0.26,7999,V236,0002,2026,"",GR69,"",100,3,X,"",X,X,X,UP03,WB01,"","",X,"","",""
2.87,9852,V237,0004,2019,X,GR70,"",100,"",X,"",X,X,"",UP01,WB02,X,"","",X,"",X
1.59,10669,V238,0003,2023,"",GR77,"",100,2,X,"","","","",UP02,WB02,"","","",X,"",X
2.04,8972,V239,0003,2015,X,GR41,X,100,"",X,"","","","",UP02,WB01,"","",X,X,X,""
4.61,7778,V240,0004,2019,"",GR53,"",100,"","",X,X,X,X,UP03,WB02,X,X,"",X,X,X
2.04,2331,V241,0001,2021,X,GR47,"",100,3,"","",X,"","",UP02,WB03,"","",X,"",X,X
0.12,2416,V242,0002,2017,X,GR14,X,100,"",X,X,"","","",UP01,WB01,"",X,"",X,"",""
2.0,1543,V243,0001,2019,X,GR42,"",100,3,"",X,"",X,"",UP01,WB03,X,"","",X,X,""
2.88,1581,V244,0002,2021,"",GR52,"",100,"","",X,"",X,X,UP01,WB01,"",X,X,"",X,""
2.22,3624,V245,0001,2018,X,GR19,X,100,"",X,X,"",X,X,UP03,WB02,X,"","","",X,""
2.09,8479,V246,0004,2018,"",GR75,X,100,2,"",X,X,"","",UP02,WB02,"","","","",X,X
4.22,5022,V247,0003,2023,"",GR59,"",100,2,"",X,X,"","",UP01,WB02,"",X,"","","",""
4.75,10097,V248,0001,2015,X,GR46,"",100,"",X,X,"","","",UP02,WB02,X,X,"",X,"",X
1.48,1428,V249,0004,2016,X,GR75,X,100,2,X,"",X,X,X,UP02,WB03,X,X,"",X,X,X
1.03,9288,V250,0004,2025,X,GR20,X,100,2,X,"",X,X,X,UP03,WB02,"",X,X,"","",X
1.11,5282,V251,0004,2022,"",GR58,X,100,3,"","",X,"",X,UP02,WB02,X,"","",X,"",""
3.54,2864,V252,0004,2018,X,GR60,X,100,"","","","",X,"",UP01,WB03,X,X,X,X,X,X
1.96,10544,V253,0003,2026,X,GR29,X,100,"",X,"",X,X,X,UP01,WB03,X,X,"",X,"",X
0.18,9340,V254,0001,2019,X,GR29,X,100,3,X,"",X,X,X,UP01,WB01,"","","",X,"",X
2.56,9382,V255,0001,2021,X,GR46,X,100,"",X,"",X,X,"",UP03,WB01,X,X,X,X,X,""
3.96,7868,V256,0002,2026,"",GR62,X,100,3,X,"","",X,"",UP03,WB02,X,X,X,X,X,""
2.2,7194,V257,0003,2026,X,GR34,"",100,"",X,"",X,X,"",UP03,WB01,X,"",X,"","",""
4.63,3034,V258,0001,2026,X,GR36,X,100,"",X,"","",X,"",UP02,WB02,"",X,"",X,X,X
0.53,3934,V259,0003,2026,X,GR24,"",100,"","",X,X,"","",UP02,WB01,"",X,"",X,"",X
3.18,8125,V260,0003,2016,X,GR12,"",100,"","","",X,X,X,UP03,WB01,X,X,X,X,X,X
0.95,1756,V261,0004,2022,"",GR99,"",100,3,"",X,"",X,"",UP01,WB02,"","","","",X,""
0.91,6995,V262,0002,2024,"",GR42,"",100,"","","","",X,X,UP02,WB01,"",X,X,"",X,X
4.73,5619,V263,0004,2021,"",GR98,X,100,3,"","","","",X,UP03,WB03,X,"",X,X,"",X
0.23,4223,V264,0003,2021,"",GR52,X,100,"","",X,X,X,X,UP02,WB01,"",X,"","","",X
0.96,2215,V265,0001,2017,X,GR12,"",100,"","","",X,"",X,UP02,WB01,X,X,X,X,X,X
4.54,5384,V266,0002,2017,"",GR14,X,100,2,"",X,X,"","",UP03,WB03,X,"","","","",""
1.51,4499,V267,0004,2018,X,GR30,X,100,3,X,"","",X,X,UP01,WB03,X,X,"",X,X,""
0.38,8709,V268,0003,2023,X,GR39,"",100,"","","",X,"","",UP01,WB01,"","","",X,"",""
4.4,1916,V269,0004,2025,X,GR17,X,100,"",X,X,X,X,"",UP03,WB03,"","",X,"",X,""
1.18,1552,V270,0004,2024,X,GR71,X,100,2,X,X,"",X,"",UP03,WB02,"","",X,"","",X
3.37,10980,V271,0002,2016,X,GR57,"",100,2,X,X,X,X,"",UP03,WB03,X,X,X,X,X,""
2.3,5799,V272,0003,2021,"",GR90,"",100,2,"",X,X,"",X,UP02,WB02,X,"",X,"",X,X
0.59,9079,V273,0003,2020,X,GR23,X,100,"",X,X,X,"","",UP02,WB01,X,X,X,X,X,X
3.98,10485,V274,0002,2020,"",GR63,X,100,"","",X,X,"",X,UP03,WB03,X,X,"",X,X,X
3.97,6423,V275,0003,2015,"",GR99,X,100,2,"",X,"","","",UP01,WB02,X,X,"","",X,X
0.17,10073,V276,0003,2020,X,GR99,"",100,"",X,"",X,"",X,UP02,WB01,"","",X,X,X,X
4.77,1431,V277,0004,2022,X,GR73,"",100,2,X,"","",X,X,UP03,WB02,X,X,"",X,X,""
4.05,2203,V278,0004,2017,"",GR40,X,100,3,X,X,"",X,"",UP02,WB03,X,X,"",X,X,""
2.69,5124,V279,0003,2023,X,GR28,X,100,"",X,X,"",X,"",UP03,WB03,X,"","","","",""
0.51,5120,V280,0001,2019,"",GR62,X,100,"","","",X,"",X,UP01,WB02,X,"",X,X,X,""
1.22,5761,V281,0002,2020,"",GR47,"",100,2,"","",X,X,"",UP02,WB02,"",X,"","",X,X
2.01,5951,V282,0003,2024,X,GR17,"",100,"","","","",X,X,UP03,WB03,X,X,"",X,X,""
2.36,3275,V283,0001,2015,"",GR68,X,100,2,X,X,X,X,X,UP01,WB01,X,"","","","",X
3.79,9255,V284,0002,2019,"",GR47,X,100,3,"","",X,"",X,UP02,WB01,"",X,X,X,"",""
1.23,7766,V285,0001,2020,X,GR31,X,100,3,X,X,X,X,"",UP03,WB03,X,"",X,"","",""
4.38,7555,V286,0002,2026,X,GR98,"",100,2,"",X,"","",X,UP03,WB03,"","","","",X,X
0.88,10071,V287,0003,2019,X,GR78,"",100,"","",X,"",X,"",UP03,WB02,X,"","",X,X,X
2.66,7504,V288,0003,2020,X,GR55,"",100,"",X,"",X,X,X,UP03,WB03,X,"",X,"",X,""
1.81,1501,V289,0002,2020,X,GR61,"",100,2,X,"",X,X,X,UP02,WB02,X,X,X,X,X,""
3.79,7798,V290,0002,2022,X,GR89,X,100,2,X,"","","",X,UP01,WB02,X,"",X,"",X,X
1.5,9291,V291,0001,2020,X,GR46,"",100,"","","",X,"","",UP02,WB02,"","","",X,"",""
2.57,3098,V292,0004,2022,X,GR53,"",100,3,"","",X,X,"",UP01,WB03,"","",X,"",X,""
4.16,5434,V293,0003,2023,"",GR59,X,100,2,"",X,"",X,X,UP03,WB02,X,"",X,"","",X
3.67,5081,V294,0002,2026,X,GR11,"",100,3,X,"","","",X,UP02,WB01,X,"","",X,X,""
2.92,4479,V295,0004,2020,"",GR49,"",100,"","","","","",X,UP01,WB03,X,"","",X,"",""
0.13,3757,V296,0001,2020,"",GR27,X,100,3,X,"",X,"","",UP03,WB03,"","","",X,X,""
1.16,1559,V297,0004,2020,X,GR79,X,100,2,X,"","","","",UP03,WB02,"","",X,"","",""
2.5,10207,V298,0001,2020,"",GR42,"",100,"","",X,X,X,X,UP02,WB03,"","","",X,"",X
2.35,2852,V299,0002,2024,X,GR88,X,100,2,X,X,"","",X,UP03,WB02,"","",X,X,X,X
3.74,9462,V300,0003,2026,X,GR48,X,100,2,"","","",X,X,UP02,WB02,X,X,"","","",""
2.75,1377,V301,0003,2015,"",GR44,"",100,"","","","","","",UP01,WB02,"",X,X,"",X,""
4.11,7987,V302,0002,2016,"",GR90,"",100,2,"",X,X,X,"",UP01,WB01,X,"","",X,X,X
0.01,9079,V303,0004,2015,"",GR85,"",100,2,"","",X,"","",UP01,WB02,X,X,"",X,X,X
3.49,3377,V304,0002,2018,X,GR79,"",100,2,"",X,"",X,X,UP03,WB03,X,"","",X,"",X
2.63,9764,V305,0004,2016,"",GR93,X,100,"",X,"",X,"","",UP01,WB01,X,"","","","",""
1.88,10201,V306,0004,2022,X,GR54,"",100,2,X,"",X,X,X,UP03,WB01,"","",X,X,"",X
3.78,5152,V307,0002,2026,X,GR44,X,100,"","",X,"","",X,UP02,WB03,X,X,X,X,X,X
3.63,1159,V308,0004,2025,X,GR87,X,100,3,X,X,X,X,"",UP01,WB02,"","","","","",X
3.61,10370,V309,0001,2026,X,GR86,X,100,3,X,X,X,X,"",UP01,WB03,X,X,"","","",X
3.87,4879,V310,0001,2021,X,GR66,X,100,3,X,X,"","","",UP01,WB02,X,X,"",X,"",""
0.88,9306,V311,0003,2025,"",GR44,"",100,2,"","","","",X,UP02,WB03,"",X,"",X,X,X
3.47,2392,V312,0001,2026,X,GR22,X,100,3,"","","","",X,UP02,WB02,X,"","","","",X
0.47,10246,V313,0002,2022,"",GR80,"",100,2,"",X,"","","",UP01,WB03,"","",X,"","",X
3.38,10198,V314,0004,2018,X,GR23,X,100,2,"","","",X,X,UP02,WB03,X,X,"","",X,""
3.5,2725,V315,0001,2025,X,GR74,X,100,"",X,"","",X,X,UP03,WB03,X,X,"","",X,X
2.23,5923,V316,0001,2015,"",GR55,"",100,2,"",X,"","","",UP03,WB03,"",X,"","","",X
1.3,7265,V317,0002,2018,X,GR22,"",100,3,"","",X,"","",UP02,WB03,"",X,X,X,X,X
2.84,3360,V318,0004,2022,X,GR91,X,100,"","",X,X,"","",UP01,WB01,"","","","","",""
4.95,3196,V319,0002,2016,"",GR48,"",100,3,X,X,"","",X,UP01,WB02,"","","","",X,""
1.55,2583,V320,0004,2015,X,GR30,"",100,3,X,X,X,X,"",UP02,WB03,X,X,"","",X,X
4.99,8912,V321,0004,2018,X,GR84,"",100,"",X,X,X,X,"",UP02,WB02,X,"","","",X,X
3.52,8976,V322,0004,2019,X,GR85,"",100,3,X,"","","","",UP03,WB03,"",X,"","",X,X
2.21,7379,V323,0003,2022,X,GR41,"",100,"","","",X,X,"",UP03,WB02,"",X,X,X,X,""
1.88,8863,V324,0004,2025,"",GR92,"",100,"","","",X,"",X,UP02,WB01,X,"",X,"","",X
1.36,8910,V325,0001,2016,X,GR15,X,100,2,"","","","",X,UP03,WB02,"","","",X,"",X
2.55,4397,V326,0004,2016,"",GR92,"",100,3,X,"","",X,X,UP01,WB01,X,"","",X,"",""
4.74,10662,V327,0001,2022,"",GR21,X,100,3,X,X,"","","",UP02,WB03,"","",X,"","",X
0.69,5917,V328,0003,2016,X,GR14,X,100,"",X,X,"",X,"",UP03,WB03,X,X,X,X,X,X
2.13,5500,V329,0004,2025,"",GR71,"",100,"",X,X,X,"",X,UP03,WB02,X,"",X,X,X,X
0.65,6924,V330,0001,2018,X,GR26,"",100,3,X,X,X,X,X,UP01,WB02,"","",X,"","",""
3.32,10791,V331,0002,2024,"",GR25,"",100,2,"","",X,X,"",UP01,WB02,"","",X,X,"",X
3.05,3467,V332,0001,2019,X,GR43,"",100,"",X,X,X,"","",UP03,WB02,X,X,"",X,"",""
2.16,2186,V333,0004,2024,"",GR19,"",100,3,X,"","","","",UP02,WB03,"",X,"",X,X,""
0.93,9563,V334,0004,2022,X,GR29,"",100,2,X,"",X,"",X,UP03,WB03,"",X,X,X,X,""
1.53,10587,V335,0003,2021,"",GR28,"",100,"",X,"",X,"","",UP01,WB01,X,"",X,X,"",X
1.54,10755,V336,0001,2019,"",GR28,"",100,3,"",X,X,"",X,UP02,WB02,"","",X,"","",""
0.13,10815,V337,0004,2026,X,GR97,"",100,"","","",X,"",X,UP02,WB01,"",X,"","",X,X
4.11,10342,V338,0002,2026,X,GR36,"",100,3,X,X,X,"",X,UP02,WB03,"","","","",X,""
3.16,6541,V339,0004,2015,X,GR23,X,100,3,"","","","","",UP02,WB02,X,"",X,"","",X
1.82,5013,V340,0004,2023,"",GR53,"",100,"","","","","",X,UP03,WB01,"",X,"","","",X
1.47,1799,V341,0004,2021,X,GR39,X,100,3,X,"",X,X,X,UP03,WB03,X,"",X,X,"",X
2.74,3720,V342,0001,2022,X,GR99,"",100,"",X,X,"",X,"",UP03,WB03,"",X,"","","",X
4.04,4152,V343,0002,2022,"",GR52,X,100,"",X,X,"","",X,UP03,WB01,"","",X,X,X,X
2.15,3407,V344,0004,2018,X,GR76,X,100,3,X,X,"","","",UP03,WB02,X,"","","",X,X
3.71,3423,V345,0001,2017,"",GR77,"",100,3,"","",X,X,X,UP02,WB03,"","","",X,X,""
3.53,2014,V346,0001,2021,"",GR66,"",100,3,"",X,X,X,X,UP02,WB01,"","","",X,X,""
4.58,9036,V347,0001,2020,"",GR83,"",100,"",X,X,"",X,X,UP03,WB01,"","",X,X,X,X
2.58,8227,V348,0003,2020,"",GR13,"",100,"",X,X,X,X,X,UP01,WB01,"",X,X,"",X,X
1.28,3619,V349,0002,2020,X,GR58,"",100,"",X,X,"",X,X,UP01,WB03,"","","","","",X
4.46,1782,V350,0004,2017,X,GR30,X,100,"",X,X,"",X,X,UP01,WB02,X,"",X,"",X,X
0.64,10502,V351,0003,2018,X,GR63,X,100,"",X,X,"",X,X,UP02,WB02,X,X,X,X,"",X
3.08,3457,V352,0001,2018,X,GR62,X,100,"","","",X,X,X,UP01,WB02,X,"","","","",""
3.97,9065,V353,0004,2020,X,GR89,"",100,2,X,"","",X,X,UP03,WB02,X,"","","","",""
0.25,1749,V354,0002,2017,"",GR11,"",100,3,"",X,"","",X,UP03,WB02,X,"","",X,X,""
4.66,4818,V355,0003,2019,"",GR23,X,100,"","","","","",X,UP02,WB03,"",X,"","","",X
2.78,3756,V356,0002,2016,X,GR89,X,100,2,X,X,"","","",UP03,WB03,"","","",X,X,""
4.5,8684,V357,0003,2020,"",GR39,X,100,3,"",X,X,X,"",UP01,WB03,"",X,X,"","",X
2.12,4933,V358,0001,2025,"",GR76,"",100,2,X,X,"","","",UP03,WB02,"","",X,X,"",""
0.47,10069,V359,0001,2020,"",GR63,X,100,3,X,X,"",X,X,UP01,WB01,"","",X,X,X,""
4.49,6757,V360,0001,2021,X,GR80,X,100,3,"",X,X,"","",UP01,WB01,"",X,"",X,X,""
0.92,6114,V361,0002,2023,"",GR94,"",100,"",X,"",X,"",X,UP01,WB02,X,X,X,X,X,X
4.55,1772,V362,0001,2015,X,GR11,X,100,2,X,"","","","",UP01,WB02,X,X,X,X,X,X
2.39,9088,V363,0002,2020,X,GR62,"",100,3,X,X,"","","",UP01,WB03,X,X,X,"","",X
2.54,5355,V364,0001,2019,"",GR27,X,100,3,X,"",X,"","",UP03,WB01,"",X,"","",X,X
1.85,7324,V365,0001,2026,"",GR73,X,100,"",X,"","","","",UP02,WB03,"",X,X,"",X,""
3.04,9641,V366,0002,2020,X,GR23,"",100,2,"","",X,X,X,UP02,WB01,X,X,"","","",""
3.24,10615,V367,0001,2015,X,GR27,X,100,2,"",X,"","","",UP02,WB02,X,"","","","",""
3.37,3131,V368,0004,2026,X,GR46,"",100,3,"",X,"","","",UP03,WB02,X,"","","","",""
2.29,10373,V369,0001,2023,"",GR70,X,100,2,X,X,"","","",UP02,WB01,"",X,"","","",""
2.12,1032,V370,0001,2016,"",GR60,"",100,2,"",X,X,"","",UP01,WB03,"",X,"",X,X,""
0.42,9293,V371,0002,2021,X,GR64,X,100,3,"",X,"",X,"",UP02,WB02,"","","","",X,X
2.61,3722,V372,0003,2024,X,GR53,X,100,"","",X,X,"","",UP03,WB01,"",X,"","","",X
3.55,8562,V373,0001,2015,X,GR20,"",100,"","","",X,X,X,UP02,WB02,X,"",X,X,X,X
3.97,5633,V374,0001,2023,X,GR99,"",100,2,"","","",X,X,UP02,WB03,"","","",X,X,""
1.57,2813,V375,0001,2022,"",GR65,"",100,3,"","","",X,X,UP01,WB02,"",X,"","",X,X
2.83,7223,V376,0002,2017,"",GR32,X,100,2,X,X,X,"","",UP02,WB01,X,"",X,X,X,X
3.41,9771,V377,0004,2018,X,GR91,"",100,3,"","",X,"","",UP03,WB02,"",X,"",X,"",X
2.39,8120,V378,0001,2023,X,GR37,"",100,3,X,X,"",X,X,UP01,WB02,"","","",X,X,""
2.04,10603,V379,0003,2022,"",GR60,X,100,"",X,X,"","",X,UP03,WB02,"",X,X,X,X,""
2.19,5058,V380,0002,2020,X,GR64,"",100,3,"",X,X,"","",UP03,WB02,"",X,X,X,X,X
0.05,1643,V381,0003,2025,X,GR38,"",100,"","",X,X,"",X,UP01,WB03,"","","",X,X,""
