ADRNR,BAPOVAR,BUKRS,BUKRS_GLOB,BUTXT,BUVAR,DKWEG,DTAMTC,DTAXR,DTPROV,DTTAXC,DTTDSP,EBUKR,FDBUK,FIKRS,FMHRDATE,FM_DERIVE_ACC,FSTVA,FSTVARE,IMPDA,INFMT,KKBER,KOKFI,KOPIM,KTOP2,KTOPL,LAND1,MANDT,MREGL,MWSKA,MWSKV,OFFSACCT,OPVAR,ORT01,PERIV,PP_PDATE,PST_PER_VAR,RCOMP,SPRAS,STCEG,SURCCM,TXJCD,TXKRS,UMKRS,WAABW,WAERS,WFVAR,WT_NEWWT,XBBBA,XBBBE,XBBBF,XBBKO,XBBSC,XCESSION,XCOS,XCOVR,XEINK,XEXTB,XFDIS,XFDMM,XFDSD,XFMCA,XFMCB,XFMCO,XGJRV,XGSBE,XJVAA,XKDFT,XKKBI,XMWSN,XNEGP,XPROD,XSKFN,XSLTA,XSPLT,XSTDT,XVALV,XVATDATE,XVVWA
455018,01,3563,G3563,Watson-Perry,"","",BA,DT17,AA,CB,DB,3563,3563,FM76,20240203,X,FS73,FR79,X,INF6,CC80,X,X,GRP1,INT1,US,100,RG16,A0,B1,4,PP91,Estestown,K4,2,X,CMP939,F,VAT3517773,3,TAX694,X,TAX26,08,INR,WF74,X,X,"","",X,X,X,"",X,X,X,X,X,"",X,X,X,X,X,X,X,X,X,X,X,"",X,X,"","","",""
973271,01,3564,G3564,"Allen, Lopez and Lewis","","",BC,DT48,AB,CC,DC,3564,3564,FM93,20240919,X,FS10,FR40,X,INF3,CC63,X,"",CORP,GRP1,GB,100,RG18,A0,B1,2,PP56,Lake Diane,CY,2,X,CMP732,D,VAT1052054,3,TAX406,X,TAX81,00,CNY,WF98,X,X,"",X,"","",X,"",X,"","","","",X,"",X,X,"",X,X,X,X,X,X,X,"","",X,X,"",X,X
705031,02,3565,G3565,"Hernandez, Smith and Davi",1,X,BA,DT59,AB,CA,DB,3565,3565,FM74,20241222,X,FS11,FR27,"",INF6,CC36,X,"",CORP,INT1,GB,100,RG50,B1,C2,9,PP87,Schmidtbury,FY,1,"",CMP483,F,VAT4549982,1,TAX889,"",TAX86,07,EUR,WF63,X,"",X,"","","","",X,X,"",X,"","",X,"",X,"",X,"",X,X,X,X,X,X,"","",X,"",X,"",""
604447,02,3566,G3566,Porter Group,"",X,BC,DT62,AA,CB,DB,3566,3566,FM42,20221209,"",FS78,FR26,"",INF8,CC11,X,"",CORP,CORP,CN,100,RG69,C2,B1,8,PP37,West Richard,K4,1,X,CMP463,D,VAT4118296,3,TAX359,"",TAX62,05,INR,WF87,X,X,"",X,X,X,"","",X,X,"",X,X,X,"",X,"","","","",X,X,X,"",X,X,"","",X,X,"",X
629504,01,3567,G3567,Dennis LLC,1,"",BA,DT87,AB,CC,DC,3567,3567,FM47,20230402,"",FS67,FR79,"",INF4,CC91,X,X,CORP,FIN1,GB,100,RG38,C2,C2,7,PP66,South Kathryn,V3,2,"",CMP219,D,VAT9028390,2,TAX455,X,TAX55,05,INR,WF88,"","",X,"",X,X,X,"",X,X,X,X,"","",X,"",X,X,"","",X,"",X,X,X,"",X,"","",X,"",X
248242,01,3568,G3568,Turner Ltd,"","",BC,DT51,AC,CA,DB,3568,3568,FM84,20250515,X,FS48,FR33,"",INF3,CC61,X,"",FIN1,CORP,FR,100,RG56,C2,B1,3,PP12,Port Andrea,FY,2,"",CMP156,D,VAT7042949,3,TAX252,"",TAX16,10,USD,WF77,X,X,"","","","","",X,X,X,X,X,"","","","","",X,"",X,"","","","",X,"",X,X,"","",X,X
103785,02,3569,G3569,Mitchell-Cole,1,"",BC,DT34,AC,CA,DB,3569,3569,FM10,20221022,X,FS38,FR68,"",INF6,CC59,X,X,INT1,FIN1,US,100,RG30,A0,A0,5,PP29,New Matthew,V3,1,"",CMP231,D,VAT5761100,3,TAX180,X,TAX68,05,GBP,WF43,"","","","","",X,X,"",X,X,X,"","","",X,"",X,"",X,X,X,X,"","",X,X,X,"",X,X,X,X
572285,01,3570,G3570,Bullock-Noble,"",X,BA,DT25,AC,CC,DA,3570,3570,FM42,20220423,"",FS47,FR11,X,INF4,CC39,X,X,CORP,INT1,JP,100,RG94,C2,C2,4,PP65,Lake Tammy,FY,2,"",CMP409,F,VAT5604094,2,TAX543,"",TAX37,03,GBP,WF73,"","","",X,"",X,"","","","","","",X,X,X,X,X,"","",X,X,X,X,"",X,X,X,X,X,"","",X
907275,01,3571,G3571,Anderson Group,1,X,BA,DT28,AC,CB,DA,3571,3571,FM38,20240421,"",FS74,FR85,X,INF4,CC37,X,X,INT1,GRP1,DE,100,RG75,C2,C2,8,PP65,Port Marystad,CY,1,X,CMP583,E,VAT7303338,1,TAX371,X,TAX87,01,EUR,WF49,X,"","","","","","",X,X,X,X,X,X,X,"",X,"",X,"","","","","","",X,"",X,"",X,"",X,""
403539,02,3572,G3572,Taylor Inc,"","",BC,DT18,AC,CB,DB,3572,3572,FM73,20220505,X,FS22,FR75,X,INF1,CC53,X,X,GRP1,FIN1,GB,100,RG20,A0,A0,6,PP95,North Briannafort,CY,1,"",CMP259,D,VAT1092316,2,TAX500,X,TAX68,10,CNY,WF47,X,"",X,"","",X,X,"","",X,X,X,"",X,"","",X,X,"","","",X,"","",X,X,X,X,"","",X,X
131856,03,3573,G3573,Woods PLC,"",X,BA,DT89,AB,CA,DC,3573,3573,FM45,20231116,X,FS30,FR71,"",INF3,CC78,X,X,GRP1,FIN1,CN,100,RG53,C2,A0,1,PP10,Johnmouth,CY,2,"",CMP240,F,VAT2641588,2,TAX602,X,TAX22,06,CNY,WF20,X,"","","",X,X,"",X,"",X,"",X,X,X,X,"",X,X,"","",X,"","","",X,X,"","",X,"",X,X
141065,01,3574,G3574,Payne LLC,1,X,BA,DT43,AB,CB,DA,3574,3574,FM53,20250303,X,FS89,FR51,"",INF9,CC33,X,"",INT1,GRP1,FR,100,RG11,C2,C2,2,PP86,East Samuel,CY,1,"",CMP226,E,VAT6561367,3,TAX697,X,TAX69,00,INR,WF69,X,"",X,"",X,"","","","",X,"","","",X,X,X,X,"","","",X,"","","",X,X,X,"","",X,X,X
560768,03,3575,G3575,Davies-Williams,1,"",BA,DT86,AC,CB,DC,3575,3575,FM37,20240109,"",FS94,FR72,"",INF8,CC17,X,"",FIN1,INT1,CN,100,RG86,A0,C2,1,PP28,Port Debra,V3,1,"",CMP736,F,VAT9185112,2,TAX723,X,TAX58,04,USD,WF24,"","",X,X,X,X,X,"",X,X,X,"",X,"",X,X,"",X,X,"","","",X,X,X,"","",X,X,X,"",""
771672,01,3576,G3576,Hill-Rodriguez,"",X,BC,DT23,AB,CA,DA,3576,3576,FM11,20241203,X,FS84,FR37,X,INF5,CC77,"","",CORP,CORP,DE,100,RG89,C2,C2,5,PP14,New Patricia,FY,2,X,CMP117,E,VAT6780111,3,TAX783,"",TAX90,01,EUR,WF69,"",X,X,"","","",X,"","",X,X,"","",X,X,"",X,X,X,"","",X,X,"",X,"",X,"","","","",X
972509,02,3577,G3577,Hardin-Rasmussen,1,"",BC,DT75,AC,CB,DB,3577,3577,FM71,20241211,"",FS11,FR57,"",INF8,CC35,X,"",GRP1,INT1,US,100,RG27,A0,A0,1,PP93,Andrewstad,V3,2,X,CMP406,E,VAT5231727,3,TAX694,X,TAX81,01,JPY,WF91,"",X,X,X,X,X,X,X,"","","",X,"","",X,"",X,"","","",X,X,X,"",X,X,X,"",X,"","",""
492859,01,3578,G3578,Austin and Sons,1,"",BB,DT64,AC,CA,DA,3578,3578,FM87,20251112,"",FS64,FR38,X,INF1,CC58,X,X,CORP,FIN1,JP,100,RG99,A0,C2,7,PP26,New Reginald,FY,2,"",CMP441,D,VAT8095961,1,TAX788,"",TAX58,10,JPY,WF85,X,"",X,X,X,"","","",X,X,X,"","",X,"",X,"","","",X,X,X,X,"",X,"",X,"","","","",X
602469,01,3579,G3579,Larson Inc,1,"",BB,DT44,AB,CB,DA,3579,3579,FM28,20210208,X,FS33,FR24,"",INF2,CC90,X,"",GRP1,GRP1,JP,100,RG21,B1,A0,6,PP87,Braymouth,FY,1,X,CMP142,D,VAT3511869,1,TAX228,"",TAX44,10,USD,WF59,"",X,"",X,X,"","",X,"",X,"","","",X,"","",X,"","",X,X,X,"","",X,X,X,"","","","",X
982437,03,3580,G3580,Cain-Watts,1,X,BC,DT14,AB,CB,DA,3580,3580,FM66,20211125,"",FS43,FR35,X,INF5,CC79,X,X,FIN1,CORP,JP,100,RG70,A0,A0,2,PP94,New Stevenchester,K4,2,"",CMP312,D,VAT7855126,1,TAX622,"",TAX70,07,JPY,WF31,X,X,"","",X,"",X,X,"","","",X,"","","",X,"","",X,"","","",X,"",X,"",X,X,"","","",""
456180,01,3581,G3581,Wells-Middleton,"",X,BA,DT42,AA,CA,DC,3581,3581,FM12,20250724,"",FS54,FR16,"",INF3,CC32,X,X,GRP1,GRP1,US,100,RG18,A0,A0,1,PP71,Castillotown,CY,2,"",CMP171,E,VAT8577127,1,TAX889,"",TAX69,06,USD,WF89,"",X,"","",X,X,X,"",X,X,"","",X,X,X,"","","","","","","","",X,X,"",X,X,"","",X,X
284441,02,3582,G3582,Guerra-Mueller,1,X,BA,DT74,AB,CC,DB,3582,3582,FM47,20220311,X,FS17,FR72,X,INF2,CC41,"",X,INT1,FIN1,GB,100,RG10,A0,B1,9,PP68,Ochoahaven,K4,1,"",CMP227,E,VAT5117235,3,TAX971,"",TAX32,06,USD,WF39,"",X,X,X,X,"",X,"",X,"",X,"","",X,"",X,"",X,X,X,X,"","",X,X,X,X,X,X,X,"",""
983054,01,3583,G3583,Clayton Inc,1,X,BA,DT93,AB,CC,DB,3583,3583,FM58,20250402,"",FS60,FR97,X,INF3,CC21,"",X,INT1,GRP1,US,100,RG50,B1,B1,4,PP17,East Stephanie,K4,1,"",CMP630,F,VAT5326478,1,TAX731,"",TAX66,06,JPY,WF79,X,X,"","",X,X,"",X,"","","",X,"","",X,"",X,"",X,"",X,"","",X,X,"",X,"","","","",""
613853,03,3584,G3584,"Ewing, Burns and White",1,"",BA,DT73,AB,CC,DC,3584,3584,FM44,20250216,X,FS44,FR86,"",INF2,CC33,"","",CORP,GRP1,CN,100,RG82,A0,B1,9,PP31,North Ashley,CY,2,"",CMP755,E,VAT9034115,1,TAX582,X,TAX80,08,INR,WF37,"","",X,X,"",X,X,X,X,X,"",X,"","",X,X,"",X,"","","","",X,X,X,"",X,X,X,X,X,""
715411,01,3585,G3585,Bernard Ltd,"","",BC,DT24,AC,CA,DB,3585,3585,FM70,20220216,X,FS50,FR45,"",INF8,CC51,"",X,INT1,GRP1,JP,100,RG63,B1,A0,8,PP24,East Tina,CY,1,"",CMP537,E,VAT9707071,3,TAX129,X,TAX16,04,CNY,WF70,X,"",X,X,"","",X,X,"",X,"","","","",X,"",X,"","","",X,X,X,"",X,"","","","",X,"",""
570134,01,3586,G3586,"Ortiz, Lucero and Bush","",X,BA,DT79,AB,CB,DB,3586,3586,FM40,20250813,"",FS37,FR16,"",INF6,CC87,"",X,CORP,CORP,IN,100,RG73,A0,C2,2,PP98,Kathrynside,V3,1,X,CMP738,D,VAT5323032,1,TAX143,"",TAX93,04,USD,WF90,"",X,"",X,X,X,"","",X,X,"",X,"","","","",X,X,"",X,X,"","",X,X,X,X,"","","","",X
470074,01,3587,G3587,Daugherty-Garcia,"",X,BC,DT65,AB,CB,DA,3587,3587,FM95,20241127,X,FS61,FR64,X,INF4,CC96,X,"",CORP,GRP1,JP,100,RG80,A0,B1,2,PP79,Gainesfurt,V3,2,X,CMP646,F,VAT4267681,3,TAX744,X,TAX16,07,JPY,WF66,"","","",X,X,"",X,X,"","","","","",X,"","","",X,"","",X,"","",X,X,X,"",X,X,X,X,X
714529,01,3588,G3588,Horn PLC,"",X,BC,DT80,AA,CA,DC,3588,3588,FM98,20230903,"",FS82,FR14,X,INF5,CC58,"","",INT1,GRP1,IN,100,RG39,A0,B1,8,PP91,Marymouth,V3,2,"",CMP561,D,VAT1596266,2,TAX344,"",TAX53,03,INR,WF76,"","",X,"",X,"",X,"",X,"","","",X,X,X,X,X,X,"",X,"","","","",X,X,"",X,"","",X,""
802172,01,3589,G3589,Garrett PLC,1,"",BA,DT82,AC,CB,DC,3589,3589,FM83,20240204,"",FS43,FR40,X,INF2,CC30,X,X,INT1,CORP,GB,100,RG17,B1,A0,4,PP79,North John,K4,1,"",CMP664,F,VAT2978485,1,TAX664,"",TAX99,01,JPY,WF42,X,X,"",X,"",X,"","",X,"","","","",X,X,X,X,X,X,X,X,"",X,X,X,X,X,X,X,"",X,""
387478,03,3590,G3590,Robles Inc,1,"",BA,DT98,AA,CC,DC,3590,3590,FM51,20250712,"",FS64,FR30,"",INF6,CC96,"","",CORP,INT1,FR,100,RG55,C2,C2,5,PP76,West Katherinechester,K4,2,"",CMP962,D,VAT3770912,2,TAX480,"",TAX22,00,GBP,WF45,"",X,X,X,X,X,"","","","","",X,X,"",X,X,X,"",X,X,"",X,"","",X,X,X,"","","",X,""
863161,02,3591,G3591,"Anderson, Garcia and Harr","","",BB,DT23,AB,CA,DA,3591,3591,FM18,20250821,"",FS43,FR24,"",INF8,CC53,"",X,FIN1,CORP,DE,100,RG74,B1,A0,3,PP76,Mooreview,K4,2,"",CMP642,E,VAT5757053,2,TAX972,"",TAX57,03,EUR,WF65,"","","",X,"","",X,"",X,"",X,"","","","",X,X,"",X,"","",X,"","",X,X,X,"",X,X,"",X
146716,02,3592,G3592,Garcia LLC,"",X,BC,DT39,AB,CB,DA,3592,3592,FM83,20200907,"",FS87,FR73,X,INF2,CC96,"",X,CORP,INT1,DE,100,RG37,B1,A0,9,PP73,West Ruthport,FY,2,"",CMP671,F,VAT3070152,1,TAX839,"",TAX82,03,JPY,WF73,X,X,X,X,X,X,"","","",X,X,"","","",X,X,"",X,X,X,"","","",X,X,X,X,X,"",X,X,X
737529,01,3593,G3593,"Velazquez, Thornton and W",1,"",BC,DT30,AB,CC,DA,3593,3593,FM94,20220213,"",FS40,FR75,"",INF8,CC61,"",X,FIN1,FIN1,DE,100,RG11,B1,C2,4,PP23,Leonardport,K4,2,"",CMP667,D,VAT3433971,3,TAX622,X,TAX38,07,EUR,WF53,X,"","","",X,X,"",X,"",X,"","",X,X,"","",X,X,X,"","","","",X,X,X,"","",X,"","",X
798511,01,3594,G3594,Guerra-Smith,"","",BA,DT20,AB,CC,DA,3594,3594,FM39,20230116,"",FS44,FR39,"",INF9,CC56,X,X,GRP1,INT1,FR,100,RG11,A0,C2,8,PP49,Harrisonberg,FY,2,X,CMP244,F,VAT3648636,2,TAX215,"",TAX22,08,EUR,WF59,"","","","","",X,X,"",X,"",X,"",X,X,X,X,"","","",X,X,X,"",X,X,"",X,X,"","",X,X
799772,01,3595,G3595,Thomas-Livingston,"","",BA,DT33,AC,CA,DA,3595,3595,FM54,20210126,X,FS85,FR76,"",INF4,CC61,X,X,GRP1,GRP1,US,100,RG51,A0,C2,7,PP25,Port Michaelside,CY,1,X,CMP749,F,VAT6396326,1,TAX881,X,TAX87,10,GBP,WF52,X,X,X,"",X,X,X,X,"",X,"","",X,X,X,X,"",X,X,X,"",X,"",X,X,X,X,"","","",X,X
675712,03,3596,G3596,Murray-Willis,"","",BA,DT58,AC,CB,DB,3596,3596,FM27,20250405,X,FS34,FR92,"",INF6,CC90,X,X,INT1,FIN1,JP,100,RG22,C2,C2,1,PP24,Davidburgh,V3,1,"",CMP784,F,VAT3229184,3,TAX588,X,TAX94,09,INR,WF59,"","",X,"","",X,"",X,X,X,X,X,"",X,"",X,X,X,"",X,"",X,X,"",X,X,X,X,X,"","",""
610626,01,3597,G3597,Arias-Thompson,1,"",BC,DT59,AC,CC,DA,3597,3597,FM34,20231102,"",FS45,FR69,"",INF8,CC22,X,X,CORP,INT1,JP,100,RG16,A0,B1,3,PP70,Lake Mckenziefurt,FY,1,"",CMP497,F,VAT1108957,2,TAX478,X,TAX17,01,EUR,WF37,X,"",X,"","","","",X,X,"",X,"",X,X,X,"","",X,X,X,"","",X,X,X,X,"","","","","",X
151960,02,3598,G3598,Phillips Inc,"","",BC,DT35,AA,CB,DA,3598,3598,FM56,20210422,X,FS87,FR91,X,INF1,CC34,"",X,INT1,INT1,IN,100,RG20,A0,B1,1,PP80,North Matthew,V3,1,"",CMP641,F,VAT2942310,1,TAX947,X,TAX25,08,CNY,WF14,"","","",X,X,X,X,"","","","","","",X,X,"",X,X,X,X,X,X,X,"",X,X,"","","",X,X,X
171188,02,3599,G3599,Huff Inc,1,X,BB,DT21,AB,CC,DB,3599,3599,FM90,20211211,X,FS53,FR10,"",INF5,CC73,X,X,FIN1,CORP,GB,100,RG57,B1,A0,6,PP58,Lake Latoya,K4,2,"",CMP923,D,VAT1590476,1,TAX316,"",TAX34,02,EUR,WF51,"",X,X,X,"",X,"",X,X,X,"",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,X,""
436103,03,3600,G3600,Hughes Ltd,1,"",BA,DT15,AA,CA,DB,3600,3600,FM28,20260113,X,FS97,FR79,"",INF3,CC64,"",X,CORP,FIN1,US,100,RG35,B1,A0,1,PP72,Mccartyhaven,K4,1,"",CMP901,F,VAT5318814,2,TAX141,"",TAX71,06,EUR,WF16,X,"",X,"","",X,"","",X,"","","","","",X,X,"","","",X,X,"","",X,X,X,"","",X,X,X,""
349223,03,3601,G3601,Donaldson LLC,1,X,BC,DT19,AB,CB,DA,3601,3601,FM80,20220611,X,FS10,FR42,X,INF6,CC99,X,"",CORP,CORP,JP,100,RG40,B1,A0,4,PP28,Davischester,K4,1,"",CMP386,D,VAT7363695,2,TAX140,"",TAX51,00,INR,WF79,X,X,X,X,"","",X,"",X,X,"","","",X,X,"",X,"","","",X,"","","",X,X,X,X,"","","",""
363608,01,3602,G3602,Hernandez-Lam,1,"",BC,DT72,AB,CC,DA,3602,3602,FM15,20220416,X,FS89,FR59,X,INF9,CC40,X,"",FIN1,FIN1,CN,100,RG21,B1,A0,9,PP94,New Elizabethbury,K4,2,"",CMP867,F,VAT5364679,3,TAX751,"",TAX18,06,CNY,WF16,X,"",X,X,X,"","",X,"",X,X,X,"","",X,X,"","",X,"","","",X,"",X,"",X,"","","","",""
428452,03,3603,G3603,Wolf-Sullivan,1,X,BC,DT58,AB,CA,DC,3603,3603,FM60,20240404,X,FS88,FR62,"",INF1,CC94,X,X,FIN1,GRP1,FR,100,RG30,A0,C2,4,PP59,Valerieton,FY,1,X,CMP762,E,VAT9091689,3,TAX909,"",TAX26,03,CNY,WF47,"","","","","",X,"","",X,"",X,X,"","",X,X,X,X,X,X,"","",X,"",X,X,"",X,"",X,"",X
999850,01,3604,G3604,Moore LLC,"",X,BA,DT43,AB,CB,DB,3604,3604,FM99,20230722,X,FS26,FR69,"",INF4,CC74,X,"",GRP1,FIN1,JP,100,RG47,B1,A0,6,PP58,West Patricia,FY,2,"",CMP750,E,VAT4317835,2,TAX681,X,TAX53,07,INR,WF35,"","",X,X,X,"","","",X,X,"",X,"",X,"",X,"","","",X,"","","","",X,"","","","","","",""
272539,01,3605,G3605,Campbell-Mathis,1,X,BC,DT68,AC,CC,DB,3605,3605,FM61,20210606,"",FS13,FR10,X,INF8,CC54,"",X,INT1,FIN1,JP,100,RG32,C2,A0,9,PP42,West Teresafort,CY,1,"",CMP693,D,VAT4079896,3,TAX611,X,TAX78,10,USD,WF55,"",X,"","","",X,"","","","",X,X,"","","","",X,"",X,"",X,"","","",X,"","",X,X,X,X,""
723369,01,3606,G3606,"Taylor, Newton and Mason","","",BC,DT81,AA,CA,DB,3606,3606,FM86,20211110,X,FS37,FR72,X,INF1,CC17,"","",INT1,INT1,FR,100,RG12,A0,C2,3,PP93,Donnaport,CY,1,"",CMP852,E,VAT2067409,1,TAX607,"",TAX60,06,CNY,WF13,"",X,X,X,X,X,"",X,X,X,X,"","","",X,"",X,"",X,"",X,X,X,"",X,X,"","","","","",""
773267,01,3607,G3607,"Garcia, Sullivan and Gonz","",X,BA,DT93,AB,CC,DC,3607,3607,FM46,20251127,X,FS40,FR95,X,INF3,CC71,"",X,GRP1,FIN1,CN,100,RG70,C2,C2,3,PP79,East Evan,K4,2,"",CMP572,D,VAT5264795,3,TAX648,X,TAX49,08,CNY,WF76,"",X,X,X,X,"","",X,"",X,"",X,X,X,X,"","","",X,X,X,X,"",X,X,X,X,X,X,X,"",X
358855,03,3608,G3608,Smith and Sons,1,"",BA,DT84,AA,CB,DA,3608,3608,FM62,20250130,"",FS65,FR58,"",INF9,CC48,X,X,GRP1,INT1,FR,100,RG70,A0,B1,8,PP89,East Timothyfurt,V3,2,"",CMP475,E,VAT8785012,2,TAX213,X,TAX43,03,EUR,WF75,"","",X,"","","","","",X,X,X,X,"",X,"","","","","","",X,X,X,"",X,"","","",X,"","",X
233561,03,3609,G3609,Oneill PLC,1,X,BA,DT52,AB,CB,DB,3609,3609,FM87,20250202,"",FS86,FR42,X,INF9,CC73,X,"",INT1,INT1,DE,100,RG32,A0,A0,4,PP65,Timothyhaven,FY,2,X,CMP344,F,VAT4616340,2,TAX897,X,TAX27,10,EUR,WF80,"",X,"","","",X,X,"",X,"","",X,"","","","","","",X,X,"",X,"",X,X,X,"","","",X,X,X
127092,01,3610,G3610,Turner Ltd,"",X,BC,DT39,AA,CA,DB,3610,3610,FM28,20230403,"",FS18,FR79,"",INF9,CC33,"","",INT1,CORP,DE,100,RG26,C2,A0,2,PP43,South Kimland,K4,1,"",CMP702,E,VAT4502246,2,TAX639,X,TAX93,10,CNY,WF67,"","",X,"","",X,"","","","",X,X,"","",X,X,X,"","","",X,"","","",X,"","",X,"","","",""
475734,03,3611,G3611,"Mcguire, Berry and Adams","",X,BB,DT97,AA,CA,DC,3611,3611,FM21,20250822,"",FS43,FR24,X,INF5,CC91,"","",INT1,INT1,DE,100,RG58,B1,A0,7,PP24,East Douglas,K4,2,X,CMP682,D,VAT1315757,2,TAX985,"",TAX60,05,JPY,WF22,X,X,"",X,"",X,X,X,"","",X,"",X,"","","",X,X,X,"",X,X,"","",X,X,"","","",X,X,X
342324,01,3612,G3612,Harris Ltd,"","",BA,DT23,AA,CB,DC,3612,3612,FM89,20251230,X,FS96,FR77,X,INF1,CC46,X,"",INT1,CORP,CN,100,RG49,C2,A0,9,PP88,Kelleyfurt,FY,2,"",CMP566,D,VAT7334438,1,TAX997,"",TAX38,06,CNY,WF17,X,X,X,X,"","",X,"","",X,"",X,X,"",X,"",X,X,"",X,"","","",X,X,"","","",X,X,"",X
516916,02,3613,G3613,Murphy Ltd,1,X,BB,DT21,AB,CC,DA,3613,3613,FM56,20251204,"",FS39,FR62,"",INF7,CC33,"",X,INT1,INT1,CN,100,RG76,B1,A0,3,PP81,Michaelfurt,V3,2,X,CMP419,E,VAT8753498,2,TAX117,X,TAX54,08,INR,WF60,X,"",X,"",X,X,"","","","",X,X,X,X,"","",X,X,X,"",X,"",X,"",X,X,"",X,"",X,"",X
751800,01,3614,G3614,Owens-Martin,1,X,BA,DT76,AB,CA,DC,3614,3614,FM25,20221225,"",FS63,FR30,X,INF1,CC38,X,"",GRP1,FIN1,US,100,RG21,C2,A0,2,PP43,Connermouth,K4,2,"",CMP664,E,VAT1290275,3,TAX569,X,TAX22,09,CNY,WF86,"","","","",X,"",X,"",X,X,"",X,"","",X,"","",X,"",X,"",X,X,"",X,"",X,X,"",X,"",X
284684,02,3615,G3615,"Robinson, Johnson and Dom","","",BB,DT72,AA,CC,DA,3615,3615,FM37,20230821,X,FS40,FR27,X,INF1,CC76,X,X,FIN1,GRP1,CN,100,RG23,B1,B1,6,PP29,South Alexbury,FY,2,X,CMP476,E,VAT9666054,1,TAX308,X,TAX30,04,USD,WF53,"","","","","","","","","","","","",X,"",X,"",X,"","",X,"","","","",X,X,"","","","",X,""
743885,02,3616,G3616,"George, Roberts and Varga",1,X,BC,DT79,AA,CC,DC,3616,3616,FM32,20220512,"",FS99,FR77,"",INF4,CC57,"",X,FIN1,GRP1,US,100,RG31,A0,A0,8,PP24,Brownville,K4,1,X,CMP612,D,VAT9677476,1,TAX150,X,TAX43,02,EUR,WF31,X,"","",X,X,X,X,X,X,X,X,X,X,"","","",X,"",X,X,"","","",X,X,X,X,X,X,X,"",X
663687,03,3617,G3617,"Baker, Russo and Phillips",1,X,BB,DT62,AA,CB,DB,3617,3617,FM62,20251107,"",FS38,FR26,"",INF6,CC47,X,X,GRP1,CORP,US,100,RG77,B1,A0,9,PP66,Port Joseph,FY,1,X,CMP494,E,VAT1925569,3,TAX966,"",TAX48,01,GBP,WF27,"",X,"",X,"","","","",X,X,X,X,X,"","","",X,"",X,X,"","",X,X,X,"","","","",X,"",X
315757,01,3618,G3618,Spence-Baxter,1,X,BB,DT86,AC,CC,DC,3618,3618,FM22,20241016,X,FS80,FR89,X,INF4,CC94,"",X,GRP1,GRP1,IN,100,RG10,A0,C2,9,PP69,South Ashley,V3,1,X,CMP391,E,VAT8645538,3,TAX139,X,TAX17,05,USD,WF53,X,X,X,X,"",X,X,"","","",X,"",X,X,"",X,"","",X,X,"",X,"",X,X,"",X,X,X,X,X,""
845628,02,3619,G3619,Weaver-Cantu,"","",BB,DT83,AC,CC,DC,3619,3619,FM56,20230406,"",FS10,FR41,"",INF4,CC84,"","",INT1,GRP1,CN,100,RG45,B1,A0,8,PP11,North Martin,K4,1,"",CMP171,F,VAT8696757,3,TAX590,X,TAX77,03,USD,WF23,X,X,X,"","",X,X,X,"",X,"","","",X,X,X,X,X,"","","","",X,"",X,"","","",X,X,X,""
120861,03,3620,G3620,"Kent, Jones and Edwards",1,"",BC,DT21,AC,CC,DC,3620,3620,FM56,20250822,"",FS31,FR45,X,INF3,CC12,X,X,INT1,INT1,GB,100,RG64,C2,C2,1,PP10,Russelltown,V3,2,"",CMP980,E,VAT7374538,3,TAX604,X,TAX60,08,EUR,WF67,X,X,"","","",X,"","","","",X,"",X,"","",X,"","",X,"",X,"",X,X,X,"",X,X,"","","",X
385714,01,3621,G3621,Wilson Group,"",X,BA,DT95,AA,CA,DC,3621,3621,FM21,20221216,"",FS71,FR98,X,INF2,CC93,X,X,CORP,CORP,FR,100,RG33,B1,C2,1,PP71,Sandramouth,V3,1,X,CMP522,F,VAT1520511,1,TAX576,"",TAX84,01,GBP,WF59,"","","","","","",X,"",X,"",X,"","","","","",X,"",X,X,X,"","",X,X,X,"",X,"","",X,""
243480,01,3622,G3622,Lee LLC,"","",BC,DT48,AC,CA,DA,3622,3622,FM33,20220418,"",FS11,FR13,X,INF5,CC60,"",X,CORP,CORP,FR,100,RG58,C2,B1,2,PP15,North Lauren,FY,2,"",CMP140,F,VAT4828757,3,TAX516,"",TAX24,03,USD,WF72,X,X,"","",X,X,X,"",X,"","",X,"",X,"","",X,X,"","","","","",X,X,X,"",X,X,X,X,""
726174,02,3623,G3623,"Wright, Ramirez and Silva","",X,BC,DT35,AB,CC,DB,3623,3623,FM76,20240419,"",FS11,FR22,X,INF5,CC30,X,X,FIN1,INT1,FR,100,RG57,C2,A0,9,PP30,Hobbsmouth,K4,2,X,CMP639,F,VAT4106194,2,TAX454,X,TAX71,04,JPY,WF67,"","","","","",X,"","",X,"",X,X,"","",X,"",X,"","","","","",X,X,X,X,"",X,X,"","",""
876134,02,3624,G3624,"Mccullough, Roberts and H","",X,BA,DT61,AC,CB,DB,3624,3624,FM91,20240124,"",FS87,FR23,X,INF7,CC91,"","",INT1,INT1,FR,100,RG44,B1,A0,1,PP89,Port Amy,V3,1,X,CMP854,D,VAT9585049,1,TAX222,X,TAX71,09,CNY,WF52,"",X,X,X,"","",X,"","","","","",X,"",X,"",X,"","","",X,"","",X,X,X,X,X,X,"","",X
